Trace
Swept SA
A.12.13,N9010A
513 B25 DP2 RTL ,01
Segment,0
Number of Points,1001
Sweep Time,0.044
Start Frequency,6000000
Stop Frequency,14000000
Average Count,0
Average Type,LogPower(Video)
RBW,9100
RBW Filter,Gaussian
RBW Filter BW,3dB
VBW,9100
Sweep Type,Swept
X Axis Scale,Lin
PreAmp State,Off
PreAmp Band,Low
Trigger Source,Periodic
Trigger Level,1
Trigger Slope,Positive
Trigger Delay,0
Phase Noise Optimization,Narrow
Swept If Gain,Low
FFT If Gain,Autorange
RF Coupling,AC
FFT Width,411900
Ext Ref,10000000
Input,RF
RF Calibrator,Off
Attenuation,10
Ref Level Offset,0
External Gain,0
Trace Type,Average
Detector,Sample
Trace Math,Off
Trace Math Oper1,Trace5
Trace Math Oper2,Trace6
Trace Math Offset,0
Trace Name,Trace1
X Axis Units,Hz
Y Axis Units,dBm
DATA
6000000,-74.0606817478392
6008000,-71.0774610519176
6016000,-75.7081859005749
6024000,-72.6698444383711
6032000,-71.667881425468
6040000,-73.4103100045275
6048000,-71.8657371752569
6056000,-73.8128652345881
6064000,-74.2221539602126
6072000,-72.9517690488334
6080000,-73.2018436386415
6088000,-74.0692619835425
6096000,-74.7196255629339
6104000,-71.4704719337226
6112000,-72.6338905320681
6120000,-72.5625223284529
6128000,-71.3653892468323
6136000,-72.1186488129358
6144000,-73.0779618620179
6152000,-75.6727587095865
6160000,-72.9807632103205
6168000,-72.2506569993523
6176000,-71.4959985514104
6184000,-73.0267701609049
6192000,-74.4717201257205
6200000,-77.5816043570448
6208000,-76.8179765982631
6216000,-74.7577939966599
6224000,-73.3025632617096
6232000,-74.9267306916809
6240000,-72.5648012731169
6248000,-71.1325432777146
6256000,-71.5616736843378
6264000,-71.2835712705076
6272000,-72.7414086137604
6280000,-75.3415435962512
6288000,-73.9329821122314
6296000,-72.5628923791853
6304000,-74.6645478152713
6312000,-73.2995238981307
6320000,-71.932043951265
6328000,-71.1333196548104
6336000,-73.1761719155738
6344000,-70.4189482803414
6352000,-71.8740865353866
6360000,-71.9188196070994
6368000,-70.1824529571927
6376000,-74.2494117655372
6384000,-75.4080625164235
6392000,-74.6082527276339
6400000,-75.0221267779142
6408000,-73.2246332130335
6416000,-75.1432487282638
6424000,-72.6384507473814
6432000,-73.5487014325281
6440000,-72.6588036074311
6448000,-70.4851616719156
6456000,-71.8120074089323
6464000,-70.4278956620624
6472000,-72.2510691759203
6480000,-74.0366887575777
6488000,-72.8007190996748
6496000,-71.7113815313253
6504000,-71.7134670444797
6512000,-74.4164183899555
6520000,-75.1236276405593
6528000,-73.1063671189895
6536000,-72.0670449842956
6544000,-70.4384773000245
6552000,-71.4808558379306
6560000,-74.4336293054862
6568000,-73.7893050984926
6576000,-76.7739706998089
6584000,-76.3244381393407
6592000,-78.5605979518071
6600000,-74.283610557627
6608000,-74.2384498620364
6616000,-72.6357870877251
6624000,-72.3596085629807
6632000,-71.2063494259671
6640000,-73.7858384852524
6648000,-72.3074701021305
6656000,-72.6222070483726
6664000,-70.1151952950951
6672000,-71.8571998969224
6680000,-72.7876052491848
6688000,-76.0044216468251
6696000,-75.9547870917374
6704000,-73.9853466278861
6712000,-72.7356182818635
6720000,-73.7219321349683
6728000,-73.7050593991559
6736000,-72.9496901831351
6744000,-71.8996452682652
6752000,-74.4541379457828
6760000,-72.9872776909473
6768000,-72.717251066053
6776000,-73.5298416382998
6784000,-71.8635714616995
6792000,-73.7919293013637
6800000,-74.0968270324891
6808000,-71.6699894697422
6816000,-74.7150526303698
6824000,-72.9992498569387
6832000,-71.4915862709768
6840000,-72.5178790614424
6848000,-72.0217149613635
6856000,-71.4929373954758
6864000,-69.6102504511208
6872000,-70.6640776573037
6880000,-75.2454149155657
6888000,-74.8140434622409
6896000,-76.7170481709983
6904000,-75.5659511783729
6912000,-72.5171632715357
6920000,-70.1333702160187
6928000,-73.1095792201158
6936000,-73.7234675274615
6944000,-72.8371055496796
6952000,-72.2991697970272
6960000,-72.4701661050615
6968000,-73.4668722197198
6976000,-75.7759692179321
6984000,-73.495830266155
6992000,-71.849787027792
7000000,-72.0317313025287
7008000,-70.7113005311548
7016000,-72.7255831648726
7024000,-74.2456712371177
7032000,-73.4358460075018
7040000,-70.9918976377491
7048000,-73.0516268680484
7056000,-75.8735712129594
7064000,-70.8109283782991
7072000,-71.5677067536659
7080000,-73.7912365356787
7088000,-71.7070421211313
7096000,-71.1348677918619
7104000,-73.5358900831042
7112000,-74.4675620669535
7120000,-75.572909647433
7128000,-73.1415990301922
7136000,-70.8441764839657
7144000,-69.0092384939156
7152000,-70.4139578264212
7160000,-71.3211108495721
7168000,-74.856033002335
7176000,-75.4890141963632
7184000,-74.604969108964
7192000,-75.7156378484153
7200000,-74.8407885790123
7208000,-73.4473238299542
7216000,-73.2878927912676
7224000,-72.5455834209781
7232000,-72.6568265378475
7240000,-73.6608805095955
7248000,-72.1290009237335
7256000,-73.4325570160377
7264000,-73.0101609688569
7272000,-73.5929505647861
7280000,-74.3759930244462
7288000,-72.462674649149
7296000,-73.3639750581801
7304000,-73.9179237937355
7312000,-71.7495397068587
7320000,-71.2054149109302
7328000,-71.2775639728046
7336000,-72.5694138215225
7344000,-70.46213798515
7352000,-72.4811620324411
7360000,-72.4909179648657
7368000,-72.9428391934032
7376000,-75.310708527149
7384000,-73.2551215045404
7392000,-72.6146439901898
7400000,-73.6683298600594
7408000,-78.5066405709593
7416000,-77.2342413187955
7424000,-73.7957500890687
7432000,-73.7687901504545
7440000,-72.5647730892421
7448000,-74.825673945553
7456000,-73.5576581841649
7464000,-70.5865887078408
7472000,-72.8069208987193
7480000,-74.5132889805257
7488000,-74.7537005165429
7496000,-74.6105459072812
7504000,-79.4789612132275
7512000,-79.7737011783797
7520000,-76.7898810770911
7528000,-75.2718306735427
