Trace
Swept SA
A.12.13,N9010A
513 B25 DP2 RTL ,01
Segment,0
Number of Points,1001
Sweep Time,0.044
Start Frequency,8000000
Stop Frequency,12000000
Average Count,0
Average Type,LogPower(Video)
RBW,9100
RBW Filter,Gaussian
RBW Filter BW,3dB
VBW,9100
Sweep Type,Swept
X Axis Scale,Lin
PreAmp State,Off
PreAmp Band,Low
Trigger Source,Periodic
Trigger Level,1
Trigger Slope,Positive
Trigger Delay,0
Phase Noise Optimization,Narrow
Swept If Gain,Low
FFT If Gain,Autorange
RF Coupling,AC
FFT Width,411900
Ext Ref,10000000
Input,RF
RF Calibrator,Off
Attenuation,10
Ref Level Offset,0
External Gain,0
Trace Type,Average
Detector,Sample
Trace Math,Off
Trace Math Oper1,Trace5
Trace Math Oper2,Trace6
Trace Math Offset,0
Trace Name,Trace1
X Axis Units,Hz
Y Axis Units,dBm
DATA
8000000,-76.3900129367029
8004000,-76.0553348354584
8008000,-74.6005756071627
8012000,-76.1759049079839
8016000,-72.992892565991
8020000,-71.9691331875621
8024000,-72.9274288003822
8028000,-76.0070202521328
8032000,-73.6593948700506
8036000,-71.3113206284162
8040000,-70.2614648009661
8044000,-68.859960531292
8048000,-69.755096299621
8052000,-73.0224917058696
8056000,-72.3873497812574
8060000,-72.6945023687946
8064000,-71.3768635020267
8068000,-73.3321016331086
8072000,-74.544677310958
8076000,-74.720571529741
8080000,-74.5576994426861
8084000,-74.2653940786868
8088000,-74.3995095319085
8092000,-78.1682752734799
8096000,-73.9130801341774
8100000,-72.258033930984
8104000,-73.07378921502
8108000,-74.983836650385
8112000,-74.7184352806439
8116000,-76.9423747771746
8120000,-72.2304016603427
8124000,-70.271231780713
8128000,-70.222540864095
8132000,-71.4501214149212
8136000,-70.0154824246907
8140000,-70.8385434282059
8144000,-70.3679491405364
8148000,-69.7944442708132
8152000,-71.4035562405633
8156000,-68.0070116106706
8160000,-70.6058544496174
8164000,-70.188532362912
8168000,-71.3507981109852
8172000,-70.6834753397835
8176000,-70.7313841595512
8180000,-73.0141684757391
8184000,-73.8740019229224
8188000,-72.9983791508428
8192000,-75.75075079309
8196000,-74.4810667389571
8200000,-73.2899527004096
8204000,-72.5970358652732
8208000,-79.0802068803713
8212000,-74.9234297086653
8216000,-75.0170357060136
8220000,-74.167513613068
8224000,-73.7345363971903
8228000,-72.3724788163279
8232000,-70.3406605912977
8236000,-70.1497776851717
8240000,-71.5149876775163
8244000,-70.5110876535118
8248000,-69.1857020621284
8252000,-69.6468006628534
8256000,-71.2264906655875
8260000,-69.9710164576381
8264000,-70.1608603858326
8268000,-68.8661130647485
8272000,-72.5605330270571
8276000,-71.8206670538041
8280000,-73.0790565059445
8284000,-71.834080156617
8288000,-72.8813394820264
8292000,-73.9913797896855
8296000,-73.3580806760085
8300000,-72.889194666227
8304000,-74.0839001848312
8308000,-73.4114636169073
8312000,-72.7760548635759
8316000,-73.5065746059461
8320000,-72.6143914217269
8324000,-70.9081370860188
8328000,-70.947319565622
8332000,-71.1981824244221
8336000,-69.9190705702617
8340000,-70.3436847700434
8344000,-70.0296324212569
8348000,-69.1651735487733
8352000,-68.2901371222541
8356000,-68.5458031336771
8360000,-70.5399409181942
8364000,-70.012581354205
8368000,-70.5650258017724
8372000,-70.6382297226972
8376000,-72.321598010054
8380000,-74.9014246391736
8384000,-73.7487352010841
8388000,-72.7627669948431
8392000,-71.8465599912301
8396000,-73.5582323818095
8400000,-74.2295738173034
8404000,-73.0481552113748
8408000,-73.6971221234372
8412000,-74.2986524103211
8416000,-74.9053605520403
8420000,-73.2426938466046
8424000,-72.1331810475459
8428000,-72.0552071973767
8432000,-70.9592153452403
8436000,-71.5895505034321
8440000,-69.1112926334083
8444000,-67.4163574099538
8448000,-69.3189001537251
8452000,-69.0982988065615
8456000,-68.1258102122873
8460000,-69.6161144872364
8464000,-69.5205744395858
8468000,-69.5514727292403
8472000,-71.7300886844577
8476000,-71.6313515015589
8480000,-71.6186014578133
8484000,-71.8769495708141
8488000,-74.1223940708317
8492000,-73.7435256717186
8496000,-73.5497758850009
8500000,-76.9289291977767
8504000,-75.0011674421917
8508000,-73.3930866537887
8512000,-73.4013059493704
8516000,-73.0697921951621
8520000,-71.6699956863617
8524000,-70.9734988879755
8528000,-70.6139143117741
8532000,-69.8190337335026
8536000,-70.9294900648302
8540000,-70.0426921967009
8544000,-69.0501587662664
8548000,-69.3124338671119
8552000,-68.5624082824321
8556000,-68.6602732684004
8560000,-68.2793441095356
8564000,-68.9683297200322
8568000,-68.9973944912264
8572000,-68.7608676641761
8576000,-71.2890704234934
8580000,-73.1592402568968
8584000,-74.210129581438
8588000,-74.6167590898586
8592000,-74.797255174652
8596000,-74.9488757835724
8600000,-74.4495812972583
8604000,-75.4434813566152
8608000,-78.4034428406596
8612000,-74.0787702795694
8616000,-72.4319617626657
8620000,-72.5808387069422
8624000,-71.9493633447411
8628000,-71.1191777766889
8632000,-73.2172362274761
8636000,-71.8809930894972
8640000,-69.4568188792739
8644000,-69.6761341911643
8648000,-71.9812563087327
8652000,-71.113025463176
8656000,-69.1677260866557
8660000,-67.759570251428
8664000,-68.7147265166337
8668000,-68.6570039929532
8672000,-70.4823954354396
8676000,-70.8033744199291
8680000,-71.5885886470776
8684000,-72.1711772277537
8688000,-72.3096273893651
8692000,-72.581006445312
8696000,-75.4889766611262
8700000,-74.5751965211062
8704000,-76.5921892845436
8708000,-73.5198480027237
8712000,-72.3083258116171
8716000,-70.6944646830608
8720000,-72.1025411918959
8724000,-70.7510519665463
8728000,-69.5171380781942
8732000,-69.2178897551362
8736000,-68.2103108318531
8740000,-69.6122289422877
8744000,-67.2473848603297
8748000,-66.7084629413646
8752000,-67.8325846355765
8756000,-67.1132580403779
8760000,-67.4931129887964
8764000,-66.2000873665292
8768000,-69.2139676294041
