Trace
Swept SA
A.12.13,N9010A
513 B25 DP2 RTL ,01
Segment,0
Number of Points,1001
Sweep Time,0.044
Start Frequency,6000000
Stop Frequency,14000000
Average Count,0
Average Type,LogPower(Video)
RBW,9100
RBW Filter,Gaussian
RBW Filter BW,3dB
VBW,9100
Sweep Type,Swept
X Axis Scale,Lin
PreAmp State,Off
PreAmp Band,Low
Trigger Source,Periodic
Trigger Level,1
Trigger Slope,Positive
Trigger Delay,0
Phase Noise Optimization,Narrow
Swept If Gain,Low
FFT If Gain,Autorange
RF Coupling,AC
FFT Width,411900
Ext Ref,10000000
Input,RF
RF Calibrator,Off
Attenuation,10
Ref Level Offset,0
External Gain,0
Trace Type,Average
Detector,Sample
Trace Math,Off
Trace Math Oper1,Trace5
Trace Math Oper2,Trace6
Trace Math Offset,0
Trace Name,Trace1
X Axis Units,Hz
Y Axis Units,dBm
DATA
6000000,-76.2702032686828
6008000,-76.3933777949075
6016000,-75.4054512027279
6024000,-74.8906715287543
6032000,-72.2779369652716
6040000,-72.2927246057033
6048000,-72.4113327664193
6056000,-71.3644164571747
6064000,-73.025793751145
6072000,-73.5834329570535
6080000,-72.6729501831274
6088000,-72.6442378239444
6096000,-70.8427997250915
6104000,-71.7283877197173
6112000,-74.3440848483775
6120000,-70.3640077748327
6128000,-72.6261880721439
6136000,-72.4867058467798
6144000,-74.4813859308201
6152000,-71.8961442591405
6160000,-73.0323807673687
6168000,-74.6141243262051
6176000,-73.7069600849805
6184000,-74.145452873285
6192000,-74.5339213483188
6200000,-74.1282570000529
6208000,-76.8135647391819
6216000,-75.139690551974
6224000,-75.5404033578239
6232000,-75.5453819829316
6240000,-74.2845928175059
6248000,-71.3250479441826
6256000,-71.2701818896361
6264000,-73.5209893655044
6272000,-75.0199478683948
6280000,-74.0696519440233
6288000,-74.7413483164003
6296000,-72.4638618974849
6304000,-73.4432559648013
6312000,-72.5795360322377
6320000,-72.6663022495437
6328000,-73.1423170448902
6336000,-71.7016503397861
6344000,-72.5298609677083
6352000,-70.5984146805893
6360000,-71.9224606956047
6368000,-73.1010992510565
6376000,-71.3969999680991
6384000,-74.4723934786975
6392000,-76.2423479851819
6400000,-75.7483522181225
6408000,-73.5503820205821
6416000,-71.0400335913364
6424000,-70.4639288323323
6432000,-71.2242757098266
6440000,-73.3586870032255
6448000,-73.0674646364801
6456000,-70.2842262716677
6464000,-73.508620719171
6472000,-72.6987359559454
6480000,-71.6945880711836
6488000,-70.9762478387913
6496000,-71.5633375031681
6504000,-75.0921798465341
6512000,-76.4195006376009
6520000,-73.885219535611
6528000,-74.8247309491835
6536000,-72.8583084013704
6544000,-72.0947684760822
6552000,-71.2410574028714
6560000,-73.1879877069228
6568000,-75.7420130267254
6576000,-74.656696465353
6584000,-74.6870003300133
6592000,-73.5175807911538
6600000,-75.1078747416659
6608000,-73.5133197592212
6616000,-77.3569547354861
6624000,-76.2562466890431
6632000,-74.2325796553758
6640000,-74.6571424836049
6648000,-71.0566587898213
6656000,-71.0188762298199
6664000,-72.2882299472527
6672000,-71.0073055558817
6680000,-71.1185987099956
6688000,-72.9342972707959
6696000,-73.2838041183815
6704000,-72.7828242285293
6712000,-71.913570364799
6720000,-72.4337958008544
6728000,-72.883118013086
6736000,-71.2659000122865
6744000,-70.3903639292624
6752000,-71.6047493501692
6760000,-71.5260573390925
6768000,-70.5876142714195
6776000,-72.4505456759847
6784000,-72.1455035308949
6792000,-74.9163744447227
6800000,-73.0013826765041
6808000,-71.7636519720863
6816000,-72.7534056897265
6824000,-73.2128970632108
6832000,-72.474301846555
6840000,-71.0010080764427
6848000,-72.1048784134204
6856000,-70.8858364389519
6864000,-69.3647469932298
6872000,-70.4181583407207
6880000,-71.6837415723012
6888000,-70.3877464117006
6896000,-72.821637259681
6904000,-75.6966643785788
6912000,-73.216724340682
6920000,-72.4392989743841
6928000,-73.3493277824871
6936000,-72.5691232286125
6944000,-69.6765410551462
6952000,-70.1463542395145
6960000,-71.1325193773183
6968000,-70.9816754905022
6976000,-73.5292208172306
6984000,-72.8862141075602
6992000,-73.669948698596
7000000,-72.3501678361762
7008000,-71.5559689552394
7016000,-74.8629685018568
7024000,-71.4366416605929
7032000,-71.541682322347
7040000,-71.7250372491435
7048000,-70.9618737271226
7056000,-71.4591461392568
7064000,-70.6556278405267
7072000,-72.698081246406
7080000,-70.3739475658074
7088000,-72.1290788192768
7096000,-74.0755060237149
7104000,-74.1755298561337
7112000,-73.7537827149685
7120000,-71.2214286208524
7128000,-71.4956416138954
7136000,-72.7037926421126
7144000,-72.1716607255027
7152000,-71.8132414925264
7160000,-73.3310349732585
7168000,-71.9196672565779
7176000,-72.2244658449233
7184000,-72.9375284388254
7192000,-73.2978785345633
7200000,-75.3838233508047
7208000,-72.1081544380019
7216000,-72.6814523575429
7224000,-71.2021621057595
7232000,-71.4566249773531
7240000,-71.4288228437471
7248000,-70.2442726485284
7256000,-72.7488776612872
7264000,-72.4684796601943
7272000,-72.2911944511453
7280000,-76.0502732061142
7288000,-79.1823342960251
7296000,-76.5944673317159
7304000,-73.9696772951797
7312000,-73.7232072927793
7320000,-72.5949523205462
7328000,-71.1447669744426
7336000,-70.935831123875
7344000,-69.9721612765643
7352000,-71.2910477967132
7360000,-71.8929195708129
7368000,-72.1871257310442
7376000,-73.2265944265586
7384000,-77.3372769967346
7392000,-75.8916598332589
7400000,-73.5532965132871
7408000,-73.4146926618526
7416000,-76.3691248416392
7424000,-74.7608287426778
7432000,-71.5524451992947
7440000,-73.2467774349409
7448000,-72.3657713247152
7456000,-70.7178104990072
7464000,-69.4972883763129
7472000,-71.4296014160786
7480000,-74.0648411043112
7488000,-75.9265649071347
7496000,-72.1347887985188
7504000,-71.7948885157518
7512000,-73.903711302941
7520000,-72.5053481193315
7528000,-72.4136737446665
