Trace
Swept SA
A.12.13,N9010A
513 B25 DP2 RTL ,01
Segment,0
Number of Points,1001
Sweep Time,0.11
Start Frequency,9500000
Stop Frequency,10500000
Average Count,0
Average Type,LogPower(Video)
RBW,9100
RBW Filter,Gaussian
RBW Filter BW,3dB
VBW,9100
Sweep Type,Swept
X Axis Scale,Lin
PreAmp State,Off
PreAmp Band,Low
Trigger Source,Ext1
Trigger Level,1
Trigger Slope,Positive
Trigger Delay,0
Phase Noise Optimization,Narrow
Swept If Gain,Low
FFT If Gain,Autorange
RF Coupling,AC
FFT Width,411900
Ext Ref,10000000
Input,RF
RF Calibrator,Off
Attenuation,10
Ref Level Offset,0
External Gain,0
Trace Type,Average
Detector,Sample
Trace Math,Off
Trace Math Oper1,Trace5
Trace Math Oper2,Trace6
Trace Math Offset,0
Trace Name,Trace1
X Axis Units,Hz
Y Axis Units,dBm
DATA
9500000,-67.28034867448
9501000,-62.0141418343716
9502000,-63.4861819202499
9503000,-65.7466137947551
9504000,-66.7275600833451
9505000,-68.1057006311803
9506000,-65.7928236724545
9507000,-67.3873227663591
9508000,-65.9895256667108
9509000,-63.1507692217921
9510000,-62.4447309583466
9511000,-65.5400149558189
9512000,-65.8961348698261
9513000,-64.1126811565671
9514000,-61.2878310900245
9515000,-63.4167644906394
9516000,-65.0624538355844
9517000,-65.0895043651844
9518000,-62.4947259052505
9519000,-66.8861154119858
9520000,-64.4665310823232
9521000,-61.2177564733454
9522000,-65.6413134827249
9523000,-65.065992579192
9524000,-66.3233651015707
9525000,-62.861327780256
9526000,-65.5658605146053
9527000,-70.1186036988035
9528000,-63.5953588902558
9529000,-64.2748511929041
9530000,-65.0212183255082
9531000,-66.4143767775835
9532000,-67.4288053675243
9533000,-67.1518946325452
9534000,-68.4287671502925
9535000,-68.0496177009929
9536000,-64.1776075105742
9537000,-64.888887118707
9538000,-66.9721912650027
9539000,-63.0591103518803
9540000,-63.8134942640505
9541000,-63.0948033042909
9542000,-63.8020416339915
9543000,-64.8566903050816
9544000,-64.0822554471397
9545000,-63.366626266813
9546000,-66.6942176530348
9547000,-66.0141294216602
9548000,-63.0444753074104
9549000,-62.5163382705942
9550000,-60.8906261256983
9551000,-60.525557248788
9552000,-60.4108735002769
9553000,-60.4714325246495
9554000,-60.3848390159476
9555000,-60.7323598121882
9556000,-59.1555132397732
9557000,-58.8300009881601
9558000,-58.7208375778591
9559000,-60.0187754617845
9560000,-56.7445691200701
9561000,-58.8360796111136
9562000,-59.5834038681234
9563000,-60.3482502101274
9564000,-61.978666984236
9565000,-63.3365726299356
9566000,-64.1269667357206
9567000,-63.923329514232
9568000,-64.4745305150601
9569000,-66.2680579302316
9570000,-64.9868328445279
9571000,-67.7027093543711
9572000,-65.8835183061374
9573000,-64.4790032962608
9574000,-64.9178527824355
9575000,-65.2672315388941
9576000,-64.3815826648053
9577000,-62.8812070768208
9578000,-62.2828295979663
9579000,-65.9589303286121
9580000,-64.274904016475
9581000,-62.9965465978038
9582000,-65.2892231102786
9583000,-64.8665247060422
9584000,-65.4599707329415
9585000,-68.3586051290325
9586000,-63.2450814811313
9587000,-63.1743155750844
9588000,-61.9348007899445
9589000,-60.7369246029431
9590000,-63.2607320966677
9591000,-59.0702375794294
9592000,-62.0837651525694
9593000,-68.1360486300702
9594000,-62.4728449611384
9595000,-65.8264154249322
9596000,-64.1134488928078
9597000,-66.3500276479453
9598000,-67.2173726979766
9599000,-66.6450460942249
9600000,-70.2415257391719
9601000,-65.3506025021155
9602000,-67.612458903851
9603000,-64.1483896662185
9604000,-64.6151551771781
9605000,-63.4583264399538
9606000,-66.7475128633505
9607000,-63.6856086876821
9608000,-60.6253033204438
9609000,-60.8624487515454
9610000,-62.1656119870159
9611000,-63.0894496700539
9612000,-61.283159400479
9613000,-64.926915639629
9614000,-64.7109055310492
9615000,-61.4805993174832
9616000,-60.5243407086762
9617000,-59.4060577286519
9618000,-58.9497726309757
9619000,-57.7703655892754
9620000,-62.1691636004027
9621000,-60.5760976898635
9622000,-58.530199797942
9623000,-56.93008069851
9624000,-57.4263731985986
9625000,-57.121614753818
9626000,-57.2835321214528
9627000,-57.484235740907
9628000,-60.6019582361667
9629000,-59.7238941328744
9630000,-60.066802489164
9631000,-61.7938047092611
9632000,-60.9086383157548
9633000,-63.6999965490636
9634000,-64.6239076835836
9635000,-65.0523607698444
9636000,-63.3594812407947
9637000,-62.8346458877995
9638000,-65.5446222544098
9639000,-64.421378178803
9640000,-61.2090946074214
9641000,-61.4787325568584
9642000,-61.2228884266256
9643000,-60.7404285623697
9644000,-59.9041313810591
9645000,-62.3315061415903
9646000,-60.3906277251535
9647000,-61.4532366801673
9648000,-59.9481081580452
9649000,-59.992465824873
9650000,-62.7327200923462
9651000,-58.9973145910713
9652000,-60.6598742791113
9653000,-61.5646317379156
9654000,-62.0401057059729
9655000,-64.8640823298833
9656000,-66.4990237065192
9657000,-62.6699018628111
9658000,-63.1044839312164
9659000,-62.6731344323895
9660000,-66.1410694350719
9661000,-62.7121298356473
9662000,-66.5877247382564
9663000,-65.4047577128865
9664000,-59.752783291332
9665000,-63.4794960493506
9666000,-63.2575169356397
9667000,-65.5748318752525
9668000,-66.3739035327587
9669000,-65.0945876030615
9670000,-65.5801961039946
9671000,-69.0223342209388
9672000,-67.3098277817542
9673000,-66.8061645763557
9674000,-70.5875415104945
9675000,-68.5105209848367
9676000,-66.7380466829837
9677000,-65.9308834914728
9678000,-66.9744752189636
9679000,-67.5283072311047
9680000,-66.0070632331251
9681000,-67.0189168979904
9682000,-64.9564818833351
9683000,-66.1040500005591
9684000,-63.9597332380276
9685000,-64.6709107199045
9686000,-64.0771147022455
9687000,-64.7459388983597
9688000,-64.4367023788909
9689000,-60.1417379542444
9690000,-62.7292538669884
9691000,-60.102824894423
