Trace
Swept SA
A.12.13,N9010A
513 B25 DP2 RTL ,01
Segment,0
Number of Points,1001
Sweep Time,0.11
Start Frequency,8000000
Stop Frequency,12000000
Average Count,0
Average Type,LogPower(Video)
RBW,9100
RBW Filter,Gaussian
RBW Filter BW,3dB
VBW,9100
Sweep Type,Swept
X Axis Scale,Lin
PreAmp State,Off
PreAmp Band,Low
Trigger Source,Ext1
Trigger Level,1
Trigger Slope,Positive
Trigger Delay,0
Phase Noise Optimization,Narrow
Swept If Gain,Low
FFT If Gain,Autorange
RF Coupling,AC
FFT Width,411900
Ext Ref,10000000
Input,RF
RF Calibrator,Off
Attenuation,10
Ref Level Offset,0
External Gain,0
Trace Type,Average
Detector,Sample
Trace Math,Off
Trace Math Oper1,Trace5
Trace Math Oper2,Trace6
Trace Math Offset,0
Trace Name,Trace1
X Axis Units,Hz
Y Axis Units,dBm
DATA
8000000,-68.9232268805226
8004000,-68.2686967205107
8008000,-65.2255598804175
8012000,-65.0356438197658
8016000,-66.7830239981947
8020000,-68.2322403544065
8024000,-69.1375755508909
8028000,-69.4551208918124
8032000,-68.4447047720386
8036000,-69.1096949670864
8040000,-67.7493986731057
8044000,-68.7481979737935
8048000,-69.7012950562713
8052000,-66.8579246277113
8056000,-65.0977478852922
8060000,-64.7500998779158
8064000,-65.8623787918725
8068000,-67.3055429603562
8072000,-68.8798287034742
8076000,-67.2336821517841
8080000,-66.4530306595647
8084000,-67.2052446147337
8088000,-66.8779102114269
8092000,-69.4101361736001
8096000,-70.4855470629137
8100000,-67.3375234560182
8104000,-64.4911087931694
8108000,-62.8427029029252
8112000,-62.4019339831025
8116000,-64.4312284410199
8120000,-68.5380427835905
8124000,-67.7706649781397
8128000,-68.0833782263202
8132000,-67.6138960821349
8136000,-64.9342852239218
8140000,-66.1570877373972
8144000,-68.131376721058
8148000,-66.4508611924877
8152000,-68.3688244211392
8156000,-65.3618340615886
8160000,-67.3130486633482
8164000,-67.0583435568837
8168000,-65.4581375166131
8172000,-66.99314463097
8176000,-64.5609885863397
8180000,-67.8628587589266
8184000,-72.8827735099209
8188000,-71.0935951313331
8192000,-70.7619450565315
8196000,-67.6033774922352
8200000,-68.4647749212515
8204000,-69.8570180958034
8208000,-68.2603214294164
8212000,-71.0149244433834
8216000,-67.8050568199911
8220000,-69.9356814337091
8224000,-69.3431911928449
8228000,-71.2952381874018
8232000,-70.529356569681
8236000,-70.8246019216206
8240000,-64.8564606169064
8244000,-66.2107061408217
8248000,-65.8558137387671
8252000,-68.6952112911241
8256000,-69.4994489056241
8260000,-66.8011522598884
8264000,-66.3103825235137
8268000,-63.1615737198506
8272000,-64.6996594945164
8276000,-68.6747054559032
8280000,-68.1782302741285
8284000,-66.6076386895133
8288000,-66.708700187185
8292000,-64.7166646285198
8296000,-65.1643988634749
8300000,-64.308923803643
8304000,-66.2906927362053
8308000,-68.9266206873102
8312000,-66.012919873533
8316000,-65.7988717683891
8320000,-66.8151793387669
8324000,-67.4195908175439
8328000,-69.0050716142655
8332000,-69.7939149343333
8336000,-70.5517552013574
8340000,-68.0497793813147
8344000,-70.4483296784623
8348000,-69.4866765709718
8352000,-72.3112253964286
8356000,-68.5379538255743
8360000,-69.3038063740183
8364000,-70.2990130385614
8368000,-69.8070291412224
8372000,-67.604176846433
8376000,-68.6212980393542
8380000,-66.5998518760747
8384000,-67.5531260413705
8388000,-69.0532928518633
8392000,-68.6336270552476
8396000,-66.1408400353879
8400000,-67.9598632367914
8404000,-70.2646461541022
8408000,-71.6214217020048
8412000,-69.7096702619653
8416000,-68.6080200805993
8420000,-71.0609459281241
8424000,-66.3429462788213
8428000,-66.8694758568959
8432000,-70.2034706143091
8436000,-68.3963253762662
8440000,-65.1532769909976
8444000,-63.0082143845563
8448000,-64.4458871794407
8452000,-68.0318947345747
8456000,-69.3291366411481
8460000,-67.9646812308496
8464000,-70.4200307508417
8468000,-66.2296197515589
8472000,-67.9357811051006
8476000,-67.8881860011066
8480000,-70.2774556533605
8484000,-69.2949014268072
8488000,-67.74242250556
8492000,-66.0152425748949
8496000,-65.4016284554342
8500000,-65.9124522094378
8504000,-68.090758819182
8508000,-68.280111742474
8512000,-66.8646923010892
8516000,-66.2014715891689
8520000,-65.3354760158081
8524000,-67.0336847554362
8528000,-67.1985074676638
8532000,-67.7814583165853
8536000,-66.6522096448318
8540000,-69.5630514924312
8544000,-69.7277361118833
8548000,-69.6263413854339
8552000,-67.3631596504343
8556000,-67.3595661833066
8560000,-67.0658556315499
8564000,-65.5306986503729
8568000,-68.9523857970499
8572000,-66.9596009264202
8576000,-66.0554395807485
8580000,-65.6361472775138
8584000,-66.9153292275076
8588000,-69.9156410689494
8592000,-69.6696640546803
8596000,-70.7824444400864
8600000,-70.4743357046919
8604000,-66.8951618797591
8608000,-67.1066366579393
8612000,-66.5940064726708
8616000,-68.5248690366866
8620000,-66.869176249501
8624000,-63.3474834997069
8628000,-62.0802803648011
8632000,-63.2570199749814
8636000,-66.4396593170747
8640000,-67.9979435503684
8644000,-65.552856689694
8648000,-63.3950994594308
8652000,-63.5685690943688
8656000,-62.7368563545518
8660000,-63.5491596642922
8664000,-63.5622506162337
8668000,-63.5445453799102
8672000,-61.4644587905508
8676000,-61.4173017015519
8680000,-65.0304640903425
8684000,-69.4686641326409
8688000,-70.7137626243541
8692000,-69.1122750771298
8696000,-69.8406210478023
8700000,-70.192623392883
8704000,-66.6948250252282
8708000,-67.3708223537536
8712000,-66.9553551001043
8716000,-68.8685437321301
8720000,-70.7127987611111
8724000,-70.128882385243
8728000,-71.0239235564811
8732000,-70.2444665457193
8736000,-68.1554869887209
8740000,-66.3682748342785
8744000,-68.4166561225189
8748000,-69.0847773506549
8752000,-69.2043941774223
8756000,-67.6648673185202
8760000,-68.2001013710993
8764000,-67.0757304885275
