Trace
Swept SA
A.12.13,N9010A
513 B25 DP2 RTL ,01
Segment,0
Number of Points,1001
Sweep Time,0.11
Start Frequency,8000000
Stop Frequency,12000000
Average Count,0
Average Type,LogPower(Video)
RBW,9100
RBW Filter,Gaussian
RBW Filter BW,3dB
VBW,9100
Sweep Type,Swept
X Axis Scale,Lin
PreAmp State,Off
PreAmp Band,Low
Trigger Source,Ext1
Trigger Level,1
Trigger Slope,Positive
Trigger Delay,0
Phase Noise Optimization,Narrow
Swept If Gain,Low
FFT If Gain,Autorange
RF Coupling,AC
FFT Width,411900
Ext Ref,10000000
Input,RF
RF Calibrator,Off
Attenuation,10
Ref Level Offset,0
External Gain,0
Trace Type,Average
Detector,Sample
Trace Math,Off
Trace Math Oper1,Trace5
Trace Math Oper2,Trace6
Trace Math Offset,0
Trace Name,Trace1
X Axis Units,Hz
Y Axis Units,dBm
DATA
8000000,-65.6653085548696
8004000,-63.4065487517822
8008000,-61.7971427087383
8012000,-62.4091491229364
8016000,-62.0816535601719
8020000,-60.7493055533055
8024000,-61.1120000276309
8028000,-61.8551348950457
8032000,-64.9957905910963
8036000,-66.2471143245859
8040000,-65.0290882481286
8044000,-64.3519695394878
8048000,-68.9225091677364
8052000,-67.6517246449882
8056000,-63.9403845583691
8060000,-64.9744672549988
8064000,-62.7349424914614
8068000,-65.5047781012588
8072000,-68.7548621479937
8076000,-65.0646869502615
8080000,-62.7325939123177
8084000,-61.9523761855316
8088000,-64.7049619832786
8092000,-65.3303592859056
8096000,-66.2983130328647
8100000,-62.4535522230937
8104000,-60.693246311193
8108000,-57.7464062172054
8112000,-57.2799352514749
8116000,-61.9107411100385
8120000,-66.6914647766027
8124000,-63.5747485562441
8128000,-61.6708471768707
8132000,-62.580898166081
8136000,-63.4697177975319
8140000,-71.3438123011504
8144000,-64.2043109198833
8148000,-63.7669878212774
8152000,-66.5805415597472
8156000,-64.135750718518
8160000,-65.2773774738838
8164000,-67.0158205231985
8168000,-64.2546066054268
8172000,-62.0904446562808
8176000,-63.9918887151486
8180000,-63.7861904932038
8184000,-68.5798862843741
8188000,-70.5550981592814
8192000,-64.4617336315499
8196000,-63.988584232755
8200000,-67.856822560938
8204000,-67.9662649396898
8208000,-68.9185368314115
8212000,-69.5280092636948
8216000,-71.3102893277596
8220000,-66.9183072953328
8224000,-70.8321518228039
8228000,-66.2058081649154
8232000,-69.4295182699237
8236000,-67.7720811505871
8240000,-64.210304504045
8244000,-62.2136213467862
8248000,-61.2153904575094
8252000,-67.7423948693321
8256000,-63.4301254096193
8260000,-60.359024896796
8264000,-60.662016215471
8268000,-59.7537847712561
8272000,-59.9827524264547
8276000,-62.2874314584704
8280000,-67.4396713077229
8284000,-62.8415365971572
8288000,-65.1127703320574
8292000,-63.5702751679201
8296000,-62.3245246758639
8300000,-61.100934793029
8304000,-62.98323148307
8308000,-62.9505960211261
8312000,-65.2011818129166
8316000,-61.8590869062273
8320000,-61.0922334205455
8324000,-60.9986572184188
8328000,-63.2744699162913
8332000,-66.9138609625816
8336000,-67.5246671539359
8340000,-65.5705618528412
8344000,-66.6282838275188
8348000,-67.0730724324038
8352000,-70.7684465414499
8356000,-65.3412611873454
8360000,-64.7438709743137
8364000,-63.7226843780277
8368000,-65.0625219932507
8372000,-61.7496478298948
8376000,-59.2019088932825
8380000,-59.5094485405261
8384000,-60.0150586571641
8388000,-61.4373060944735
8392000,-59.6937756851027
8396000,-61.2207988425828
8400000,-63.666477924334
8404000,-66.7647043643831
8408000,-65.554607899017
8412000,-71.5675808599623
8416000,-68.2694374114415
8420000,-66.5839553195584
8424000,-64.4143569522447
8428000,-63.1030949365969
8432000,-64.8999321589164
8436000,-69.7485914205179
8440000,-65.2787332186315
8444000,-63.2169349111588
8448000,-63.3718777625882
8452000,-71.0609442977121
8456000,-67.0288616335942
8460000,-62.231505274268
8464000,-70.148132402119
8468000,-71.4542182718455
8472000,-66.2531076650477
8476000,-64.3874983811581
8480000,-64.5162097186711
8484000,-64.3377570248514
8488000,-66.544771944184
8492000,-68.1606553074336
8496000,-69.2693285433289
8500000,-64.5440320387617
8504000,-65.3744975840683
8508000,-69.3777321844901
8512000,-74.0838279790219
8516000,-69.2781611574305
8520000,-68.4336462196874
8524000,-66.1716046081479
8528000,-64.2197880070299
8532000,-61.509019242737
8536000,-59.043061233606
8540000,-62.2884171874962
8544000,-65.0175775594865
8548000,-62.9116468565447
8552000,-61.6532770829653
8556000,-62.7918074840064
8560000,-62.9366724310612
8564000,-64.8624855718513
8568000,-60.0468477941342
8572000,-62.1823941431626
8576000,-63.2885789222359
8580000,-63.8351155389187
8584000,-66.9176454967004
8588000,-67.0327356704706
8592000,-71.0284245239614
8596000,-68.710747483008
8600000,-68.5767266248774
8604000,-62.1034376489105
8608000,-62.1564221398481
8612000,-62.6129646000265
8616000,-65.5580592324555
8620000,-62.5152240342357
8624000,-59.5797760361891
8628000,-57.7643698566959
8632000,-58.3911321221214
8636000,-60.4927155574189
8640000,-60.5435487513809
8644000,-58.7971675675853
8648000,-57.5873849793687
8652000,-58.1928139082002
8656000,-59.2004549241388
8660000,-60.9080053307121
8664000,-63.3134588804866
8668000,-65.1152014036855
8672000,-60.3379467462367
8676000,-60.1929165098904
8680000,-65.315461826675
8684000,-65.3564423754429
8688000,-66.2887816785867
8692000,-65.7849092993247
8696000,-68.6425412148448
8700000,-65.8839603405955
8704000,-65.1891442651515
8708000,-63.4833702223155
8712000,-66.8694155493913
8716000,-62.9285184330221
8720000,-74.218923700133
8724000,-72.3813266966334
8728000,-66.1406255905959
8732000,-66.0968174654037
8736000,-63.7554211300542
8740000,-64.5508576421459
8744000,-70.0730652934358
8748000,-70.8596146727418
8752000,-64.8177206691052
8756000,-62.5384500298049
8760000,-64.2081424468454
8764000,-61.7372004120965
