Trace
Swept SA
A.12.13,N9010A
513 B25 DP2 RTL ,01
Segment,0
Number of Points,1001
Sweep Time,0.11
Start Frequency,8000000
Stop Frequency,12000000
Average Count,0
Average Type,LogPower(Video)
RBW,9100
RBW Filter,Gaussian
RBW Filter BW,3dB
VBW,9100
Sweep Type,Swept
X Axis Scale,Lin
PreAmp State,Off
PreAmp Band,Low
Trigger Source,Ext1
Trigger Level,1
Trigger Slope,Positive
Trigger Delay,0
Phase Noise Optimization,Narrow
Swept If Gain,Low
FFT If Gain,Autorange
RF Coupling,AC
FFT Width,411900
Ext Ref,10000000
Input,RF
RF Calibrator,Off
Attenuation,10
Ref Level Offset,0
External Gain,0
Trace Type,Average
Detector,Sample
Trace Math,Off
Trace Math Oper1,Trace5
Trace Math Oper2,Trace6
Trace Math Offset,0
Trace Name,Trace1
X Axis Units,Hz
Y Axis Units,dBm
DATA
8000000,-73.4400801872829
8004000,-73.9632108687334
8008000,-75.1572329953555
8012000,-70.1201475896521
8016000,-71.4435983920414
8020000,-76.2454230404182
8024000,-76.6374844559839
8028000,-74.6951808359755
8032000,-72.3952850047121
8036000,-73.262214994556
8040000,-71.868775179723
8044000,-74.5055097769782
8048000,-71.9859978843171
8052000,-73.8179696796982
8056000,-69.9315864797135
8060000,-72.8620235560757
8064000,-73.7848266652141
8068000,-74.8114566678668
8072000,-71.0974093338688
8076000,-69.1774611710534
8080000,-69.5648240289342
8084000,-69.097369949449
8088000,-69.5311457567907
8092000,-67.0307191533666
8096000,-69.7867166665808
8100000,-69.2779379456088
8104000,-72.8935716738143
8108000,-70.4464122116793
8112000,-67.3155115589957
8116000,-69.1581250916201
8120000,-68.4628359041595
8124000,-74.3071651867082
8128000,-67.5002136677411
8132000,-68.8058098690493
8136000,-73.5463043240467
8140000,-69.8612777411195
8144000,-69.4425235659359
8148000,-73.712177229438
8152000,-78.3876998866659
8156000,-75.578506856033
8160000,-71.5730945618639
8164000,-71.8459459973853
8168000,-74.8338272918329
8172000,-76.4439191977385
8176000,-71.1182730309698
8180000,-72.993067011828
8184000,-72.9196334427972
8188000,-72.8430750753629
8192000,-73.3365904268077
8196000,-74.3061614814064
8200000,-72.4377391777765
8204000,-74.0303466219491
8208000,-75.659450871577
8212000,-74.6599989407949
8216000,-72.708232176448
8220000,-76.1590523779301
8224000,-69.3056531668263
8228000,-74.7441396225158
8232000,-74.7191969240351
8236000,-76.2393029729199
8240000,-76.0684176730558
8244000,-74.5091950537593
8248000,-73.7610291064437
8252000,-72.1105660636822
8256000,-71.2544769748097
8260000,-72.8277112836055
8264000,-70.0087607550799
8268000,-73.6945408314535
8272000,-68.3320926020419
8276000,-70.1514996749881
8280000,-69.8282947736307
8284000,-70.4154565481403
8288000,-69.5237854557315
8292000,-69.1629200338531
8296000,-70.3252724866886
8300000,-71.0389785204598
8304000,-71.6370573632847
8308000,-70.456610317863
8312000,-71.6220778593467
8316000,-70.2097282776314
8320000,-71.443520258679
8324000,-71.3820931105851
8328000,-72.3291090910095
8332000,-73.486385922781
8336000,-75.2191110304986
8340000,-70.7929129241216
8344000,-74.7448559580164
8348000,-75.9927541386414
8352000,-73.7500543965844
8356000,-70.9867578917386
8360000,-70.3092208325967
8364000,-73.4013796972852
8368000,-71.5218171971317
8372000,-70.2209175751897
8376000,-69.7825886303458
8380000,-69.8593136723219
8384000,-70.8533052159369
8388000,-75.7211714169066
8392000,-72.0418550209673
8396000,-74.6661069882836
8400000,-68.3109881218209
8404000,-75.1284700439288
8408000,-69.7209641083654
8412000,-71.0408039039747
8416000,-72.2069570574478
8420000,-72.3794382567421
8424000,-73.5954186411597
8428000,-76.4465024689461
8432000,-76.5946189266788
8436000,-73.571667268341
8440000,-73.2844824914016
8444000,-69.5867725074915
8448000,-74.247868952792
8452000,-73.2619767718689
8456000,-72.7836502211694
8460000,-70.2121166637274
8464000,-69.3813593385082
8468000,-72.0288482671692
8472000,-68.4429946995632
8476000,-70.9334937475262
8480000,-72.9331247238978
8484000,-71.7492122188848
8488000,-69.1813518195431
8492000,-74.6854273261755
8496000,-70.1922282153335
8500000,-70.317686318839
8504000,-70.878442091782
8508000,-72.2633273509766
8512000,-69.0148534037125
8516000,-71.5889432720126
8520000,-73.2342997093235
8524000,-73.2960572104071
8528000,-71.0068570121224
8532000,-72.4265487868302
8536000,-76.2979186700427
8540000,-70.2166214685068
8544000,-69.6383067724994
8548000,-70.8542850551041
8552000,-73.1774643365641
8556000,-73.8547418830656
8560000,-74.714388060621
8564000,-72.3859531153158
8568000,-75.1330375479384
8572000,-71.5669853182184
8576000,-70.7069758236038
8580000,-69.5192182955547
8584000,-73.2672823997409
8588000,-70.9515703688215
8592000,-71.2950080151404
8596000,-72.1635716578284
8600000,-70.856147212011
8604000,-74.7179596033984
8608000,-71.7161384852481
8612000,-70.7548463300595
8616000,-71.7554240794832
8620000,-74.7832457807517
8624000,-69.8320017979513
8628000,-70.4020818797447
8632000,-70.2852585960553
8636000,-71.1859818236762
8640000,-71.9971728835496
8644000,-69.6323483229027
8648000,-72.8839665202386
8652000,-70.7196985616715
8656000,-71.9172644005496
8660000,-70.2208644963873
8664000,-70.2660606028566
8668000,-70.9164544681673
8672000,-68.3538882656643
8676000,-72.4548871140778
8680000,-69.381864285382
8684000,-77.5264969060598
8688000,-69.6839056191175
8692000,-70.1343632190979
8696000,-74.2679566625103
8700000,-72.5702142181637
8704000,-71.0844249836261
8708000,-73.7156874207619
8712000,-80.0011747840739
8716000,-73.4328913242428
8720000,-76.8785652971595
8724000,-74.119897542229
8728000,-72.4393568983069
8732000,-72.5952100738037
8736000,-69.7543370315251
8740000,-70.5356281984193
8744000,-74.3418734402821
8748000,-69.7429570889038
8752000,-71.2349167883283
8756000,-70.9794250202375
8760000,-70.6984293814926
8764000,-73.0181127613478
