Trace
Swept SA
A.12.13,N9010A
513 B25 DP2 RTL ,01
Segment,0
Number of Points,1001
Sweep Time,0.11
Start Frequency,8000000
Stop Frequency,12000000
Average Count,0
Average Type,LogPower(Video)
RBW,9100
RBW Filter,Gaussian
RBW Filter BW,3dB
VBW,9100
Sweep Type,Swept
X Axis Scale,Lin
PreAmp State,Off
PreAmp Band,Low
Trigger Source,Ext1
Trigger Level,1
Trigger Slope,Positive
Trigger Delay,0
Phase Noise Optimization,Narrow
Swept If Gain,Low
FFT If Gain,Autorange
RF Coupling,AC
FFT Width,411900
Ext Ref,10000000
Input,RF
RF Calibrator,Off
Attenuation,10
Ref Level Offset,0
External Gain,0
Trace Type,Average
Detector,Sample
Trace Math,Off
Trace Math Oper1,Trace5
Trace Math Oper2,Trace6
Trace Math Offset,0
Trace Name,Trace1
X Axis Units,Hz
Y Axis Units,dBm
DATA
8000000,-74.8938335369486
8004000,-73.8214785343327
8008000,-72.8012075909767
8012000,-73.8913563500938
8016000,-73.444116239286
8020000,-74.6876381744063
8024000,-74.4025741967288
8028000,-74.2473051123871
8032000,-74.3857999144961
8036000,-74.1391753349515
8040000,-74.0105691296702
8044000,-72.7203881840111
8048000,-74.6668986702672
8052000,-72.2599895838704
8056000,-73.8734682302386
8060000,-71.5690393355204
8064000,-72.2150779478607
8068000,-70.8686677955722
8072000,-71.5128582144221
8076000,-71.0253997322674
8080000,-70.8343894755981
8084000,-70.6513156137762
8088000,-69.3826771050095
8092000,-69.1783135849032
8096000,-69.9764336677512
8100000,-69.640946895552
8104000,-70.8506941289593
8108000,-71.1052672220635
8112000,-70.1617611210173
8116000,-70.9953145654058
8120000,-70.4066660978593
8124000,-72.4440193106495
8128000,-73.7165933722602
8132000,-72.7338380913475
8136000,-72.2930303381458
8140000,-73.938926387023
8144000,-73.407730152463
8148000,-74.5095811509817
8152000,-74.5482273290772
8156000,-76.2342389760762
8160000,-72.3241485159322
8164000,-72.0356352966091
8168000,-73.8633773361572
8172000,-72.0647259028849
8176000,-72.7773750060808
8180000,-74.4990067820978
8184000,-74.2800206432164
8188000,-74.2704499835898
8192000,-73.4333705252543
8196000,-74.0748488494031
8200000,-72.1623394298894
8204000,-72.5719621727224
8208000,-72.9937906084172
8212000,-74.4050704605852
8216000,-74.2792061217463
8220000,-74.1317846921525
8224000,-71.4214928099719
8228000,-72.0223628508756
8232000,-73.5652859116794
8236000,-72.1821618594009
8240000,-71.7919398530458
8244000,-72.068886992211
8248000,-71.9089489851067
8252000,-71.1667632919962
8256000,-71.9415284222272
8260000,-71.4355889435561
8264000,-70.6008637307004
8268000,-69.9479988183154
8272000,-69.1118667028333
8276000,-70.6253649810848
8280000,-71.3654332748151
8284000,-71.9303176562308
8288000,-70.227105852074
8292000,-70.4478489116038
8296000,-69.4724420620479
8300000,-70.019002467383
8304000,-70.8889385709785
8308000,-73.481436113091
8312000,-74.2267986079288
8316000,-71.3819218696995
8320000,-72.5613333329037
8324000,-73.1264194566537
8328000,-74.9778757033346
8332000,-72.408010976502
8336000,-75.0220315978217
8340000,-75.0961846061099
8344000,-74.4404551132
8348000,-75.5107615846533
8352000,-72.2267656443043
8356000,-73.0389687488512
8360000,-73.4115029941462
8364000,-71.4128253537946
8368000,-73.8701533436941
8372000,-73.7366157091759
8376000,-73.5061623279838
8380000,-72.6212963229144
8384000,-71.4434557536146
8388000,-73.5319373056202
8392000,-74.3493549318418
8396000,-73.0677616202155
8400000,-73.0326052202785
8404000,-72.5065347218649
8408000,-75.4159089819212
8412000,-72.717062528637
8416000,-73.4068158057304
8420000,-74.4569582767707
8424000,-73.4541625672071
8428000,-72.4599023215848
8432000,-72.0277807462578
8436000,-71.1510727880731
8440000,-72.586242867836
8444000,-73.1769389727776
8448000,-72.6479222451003
8452000,-72.0337001507913
8456000,-70.8463605135759
8460000,-71.185071160384
8464000,-69.6032918059794
8468000,-71.5843212704259
8472000,-69.1046472258675
8476000,-72.8661971632703
8480000,-70.8392672406225
8484000,-70.093274323206
8488000,-71.5072805779517
8492000,-71.0842632781996
8496000,-74.0665229126119
8500000,-71.7544237740611
8504000,-71.7452468867318
8508000,-70.6561098113198
8512000,-70.4620739882848
8516000,-71.4863635367226
8520000,-73.0923817712068
8524000,-72.3804780558068
8528000,-71.2616951492117
8532000,-74.0090784067053
8536000,-75.0740080569203
8540000,-73.9179076352153
8544000,-70.8012034186508
8548000,-69.9594196816599
8552000,-73.9951691048801
8556000,-72.467874995198
8560000,-73.8854471560561
8564000,-74.5954345902848
8568000,-71.2407262642641
8572000,-73.2217129543619
8576000,-70.6723454399474
8580000,-72.6408909898339
8584000,-72.9301669823293
8588000,-73.5325320414638
8592000,-71.8262644765441
8596000,-71.8049761924581
8600000,-71.8130272897808
8604000,-74.3955377143372
8608000,-70.4007784678336
8612000,-71.9887153813294
8616000,-72.7506269451898
8620000,-71.742135184415
8624000,-70.7707833548341
8628000,-69.9979974081307
8632000,-70.789219536908
8636000,-69.0085611182243
8640000,-71.5330708151347
8644000,-71.4160462074697
8648000,-70.200548111827
8652000,-67.6613100655756
8656000,-65.943272171221
8660000,-66.4695215038
8664000,-67.1562513692907
8668000,-67.396323545227
8672000,-63.2518332760195
8676000,-64.3211997586777
8680000,-67.4107842073249
8684000,-72.4460804922824
8688000,-74.480701051287
8692000,-72.5892913870071
8696000,-74.3958432375921
8700000,-75.346854639004
8704000,-72.5723384608747
8708000,-74.5927059475783
8712000,-74.3613444843191
8716000,-72.02121161587
8720000,-75.9303901136675
8724000,-73.0477732459179
8728000,-73.7891671139289
8732000,-73.6374299962504
8736000,-69.7905581003374
8740000,-72.7003657808916
8744000,-71.77509425515
8748000,-73.4241600264822
8752000,-69.483186840233
8756000,-68.0888001549858
8760000,-69.290943928595
8764000,-71.0063403466012
8768000,-71.9506847362742
