Trace
Swept SA
A.12.13,N9010A
513 B25 DP2 RTL ,01
Segment,0
Number of Points,1001
Sweep Time,0.11
Start Frequency,9740000
Stop Frequency,11740000
Average Count,0
Average Type,LogPower(Video)
RBW,9100
RBW Filter,Gaussian
RBW Filter BW,3dB
VBW,9100
Sweep Type,Swept
X Axis Scale,Lin
PreAmp State,Off
PreAmp Band,Low
Trigger Source,Ext1
Trigger Level,1
Trigger Slope,Positive
Trigger Delay,0
Phase Noise Optimization,Narrow
Swept If Gain,Low
FFT If Gain,Autorange
RF Coupling,AC
FFT Width,411900
Ext Ref,10000000
Input,RF
RF Calibrator,Off
Attenuation,10
Ref Level Offset,0
External Gain,0
Trace Type,Average
Detector,Sample
Trace Math,Off
Trace Math Oper1,Trace5
Trace Math Oper2,Trace6
Trace Math Offset,0
Trace Name,Trace1
X Axis Units,Hz
Y Axis Units,dBm
DATA
9740000,-56.0821132836719
9742000,-55.6140211602068
9744000,-57.6038248485418
9746000,-58.3031228760607
9748000,-61.2084668697784
9750000,-65.0337033637557
9752000,-61.7335668588785
9754000,-59.7843313573675
9756000,-59.1536627652182
9758000,-59.7601948479364
9760000,-62.1093208614399
9762000,-66.3183521751402
9764000,-67.5859093386857
9766000,-68.0917851573977
9768000,-65.5088413592756
9770000,-65.5753241677983
9772000,-66.1762627993815
9774000,-66.3437191826441
9776000,-63.1781184540317
9778000,-59.2391895823876
9780000,-57.9998984294668
9782000,-57.0487820681224
9784000,-57.1234132442501
9786000,-58.3210299374404
9788000,-58.5982789054309
9790000,-59.5711812368152
9792000,-61.5405216945066
9794000,-64.1293348413798
9796000,-65.881394463863
9798000,-63.1022324743765
9800000,-59.4304427283911
9802000,-58.7169457448288
9804000,-59.0280207417681
9806000,-60.4273494630713
9808000,-60.9464768431177
9810000,-62.4920499557346
9812000,-62.8700209896109
9814000,-62.2632813593044
9816000,-60.8522354135316
9818000,-62.5070470853008
9820000,-58.4076349869846
9822000,-52.4516046676761
9824000,-48.8891668336805
9826000,-46.6766181506215
9828000,-45.4467683346173
9830000,-44.9927352321983
9832000,-45.0571046575701
9834000,-45.2881015162912
9836000,-45.5212910099636
9838000,-46.3562112474242
9840000,-48.2036072658873
9842000,-50.8415519865884
9844000,-53.8230970281528
9846000,-58.7378786343922
9848000,-63.9022662829934
9850000,-62.724625451621
9852000,-60.0010313363189
9854000,-60.0970608087923
9856000,-60.5440503523458
9858000,-61.8055428414345
9860000,-63.340836641736
9862000,-62.8272624374468
9864000,-60.320778779272
9866000,-58.8164171584126
9868000,-57.1591234626185
9870000,-55.7799508683079
9872000,-55.412210243572
9874000,-55.6161155488965
9876000,-56.9771149367894
9878000,-58.3396768380584
9880000,-59.8985480455367
9882000,-61.3567509780473
9884000,-60.3908911808134
9886000,-57.254555927894
9888000,-54.1443948506248
9890000,-53.0422637724774
9892000,-54.6663684662768
9894000,-57.8323373933887
9896000,-61.3224446840541
9898000,-57.8382298009626
9900000,-54.6443034956433
9902000,-54.0319092263582
9904000,-53.4095202652385
9906000,-54.3521170700168
9908000,-55.3385681027178
9910000,-57.2114913595498
9912000,-56.1519024940502
9914000,-52.3820997986559
9916000,-49.5629476227444
9918000,-48.641794974262
9920000,-49.3743185566943
9922000,-51.6334874275079
9924000,-56.9165893114404
9926000,-59.9466888902778
9928000,-56.9926947144602
9930000,-53.851325767978
9932000,-52.1104646290239
9934000,-50.4761240405397
9936000,-49.8772842064726
9938000,-50.4544625784542
9940000,-51.7558275361301
9942000,-53.8235341147023
9944000,-54.1903237168667
9946000,-51.7547660138628
9948000,-48.7694773498489
9950000,-46.6716719565549
9952000,-45.6523471967672
9954000,-46.4123382940424
9956000,-49.7653047354191
9958000,-49.2267947417185
9960000,-44.3103054108539
9962000,-42.4860904428057
9964000,-43.1376172721587
9966000,-42.3267745744424
9968000,-36.0388549095026
9970000,-31.9715679715833
9972000,-29.0570420808788
9974000,-26.965225387017
9976000,-24.7686994172605
9978000,-22.7245927413718
9980000,-21.3326528429676
9982000,-20.6216938488716
9984000,-20.5472581504891
9986000,-20.9782478808373
9988000,-20.0322441649862
9990000,-19.5214238165762
9992000,-19.8299164692128
9994000,-21.0733874739423
9996000,-23.4176185950139
9998000,-26.9340967797739
10000000,-27.6881899455434
10002000,-23.5155840796255
10004000,-19.9896379930804
10006000,-17.5159010547194
10008000,-16.0412955208835
10010000,-15.4712262239456
10012000,-15.718742857375
10014000,-16.5527512693053
10016000,-16.1203532202125
10018000,-15.8595983250636
10020000,-16.331955400887
10022000,-17.6157346684013
10024000,-19.707140095472
10026000,-22.6708320502934
10028000,-26.4114315336233
10030000,-29.7689546445673
10032000,-34.3971861757458
10034000,-38.8048705827742
10036000,-36.3244418945722
10038000,-36.4224972624202
10040000,-38.3271992451113
10042000,-42.7810392566705
10044000,-50.2458947452099
10046000,-45.4594983163029
10048000,-44.8126879769197
10050000,-45.8534993797849
10052000,-49.0226566190017
10054000,-53.1046437198113
10056000,-57.8352958456732
10058000,-60.1351221836127
10060000,-62.1985854811575
10062000,-61.4753603132164
10064000,-58.4068693423474
10066000,-58.4944175554913
10068000,-57.9501413252915
10070000,-58.0099064691344
10072000,-60.3548701119963
10074000,-57.2386800199976
10076000,-51.4348614676805
10078000,-48.3832084364825
10080000,-46.4339518000649
10082000,-46.105263377773
10084000,-47.3350721984648
10086000,-49.3174039258297
10088000,-49.2437208723203
10090000,-47.7466707912011
10092000,-47.4999500946617
10094000,-48.5619498483392
10096000,-49.5689117840038
10098000,-51.3988610708866
10100000,-52.3189768463407
10102000,-53.347107102626
10104000,-52.0686046367604
10106000,-50.5595511788197
10108000,-49.8709887681335
10110000,-50.2074694810453
10112000,-52.1585286651562
10114000,-56.3044351261006
10116000,-58.8250342474731
10118000,-54.6135568360352
10120000,-53.1764811022116
10122000,-52.0114592994783
