Trace
Swept SA
A.12.13,N9010A
513 B25 DP2 RTL ,01
Segment,0
Number of Points,1001
Sweep Time,0.11
Start Frequency,9740000
Stop Frequency,11740000
Average Count,0
Average Type,LogPower(Video)
RBW,9100
RBW Filter,Gaussian
RBW Filter BW,3dB
VBW,9100
Sweep Type,Swept
X Axis Scale,Lin
PreAmp State,Off
PreAmp Band,Low
Trigger Source,Ext1
Trigger Level,1
Trigger Slope,Positive
Trigger Delay,0
Phase Noise Optimization,Narrow
Swept If Gain,Low
FFT If Gain,Autorange
RF Coupling,AC
FFT Width,411900
Ext Ref,10000000
Input,RF
RF Calibrator,Off
Attenuation,10
Ref Level Offset,0
External Gain,0
Trace Type,Average
Detector,Sample
Trace Math,Off
Trace Math Oper1,Trace5
Trace Math Oper2,Trace6
Trace Math Offset,0
Trace Name,Trace1
X Axis Units,Hz
Y Axis Units,dBm
DATA
9740000,-64.7688091607317
9742000,-65.1110340461104
9744000,-65.3642709347193
9746000,-63.5197968103492
9748000,-65.6583430788173
9750000,-62.5658895596981
9752000,-63.6356756954548
9754000,-64.5589524702187
9756000,-64.0677962810094
9758000,-65.8946151513286
9760000,-67.0874467536035
9762000,-66.761255364085
9764000,-66.2624910711023
9766000,-66.0156043663839
9768000,-67.5596641172414
9770000,-66.173186191011
9772000,-66.0422236249322
9774000,-65.4545073258211
9776000,-67.1961600328461
9778000,-67.0273957134766
9780000,-65.7891753573927
9782000,-62.6174119923701
9784000,-65.5418787894177
9786000,-65.3970592547211
9788000,-65.4858745649148
9790000,-65.8106881307658
9792000,-64.916259738631
9794000,-64.1495554199322
9796000,-62.8949347710609
9798000,-60.9253228036039
9800000,-60.554858341806
9802000,-63.2461036711836
9804000,-64.5528292824354
9806000,-64.7757051753357
9808000,-61.0149497306698
9810000,-58.8337024756109
9812000,-58.3964831780022
9814000,-58.5150725710573
9816000,-58.2807976632978
9818000,-60.2095645172287
9820000,-59.0780378244748
9822000,-53.3598291694637
9824000,-49.6693447032396
9826000,-47.2373235971741
9828000,-45.6609705515702
9830000,-45.3208653989265
9832000,-44.9202331144902
9834000,-44.6981929529163
9836000,-44.6481524631469
9838000,-45.7496293694454
9840000,-47.5366117473182
9842000,-50.4823222885114
9844000,-55.1443399260313
9846000,-60.4928255867737
9848000,-60.6574638068069
9850000,-64.4047790702783
9852000,-66.2149233691504
9854000,-67.5574397279201
9856000,-66.7024052716955
9858000,-66.7446577771215
9860000,-63.083695261356
9862000,-62.5441800295737
9864000,-61.4368947958536
9866000,-60.5434043889445
9868000,-58.2159013275172
9870000,-55.386551557614
9872000,-54.9500764782707
9874000,-56.5333008366987
9876000,-59.6208080431677
9878000,-60.6678472269211
9880000,-56.9349367314146
9882000,-55.4219190226874
9884000,-56.0759236440892
9886000,-55.5293835123748
9888000,-55.9266523242038
9890000,-54.5225278983451
9892000,-55.080978778269
9894000,-56.8580180633413
9896000,-58.0942858766913
9898000,-59.1051697328452
9900000,-60.7748174554547
9902000,-61.3495388875853
9904000,-54.6374858978468
9906000,-51.2563435638547
9908000,-49.4560749087645
9910000,-48.9178791579823
9912000,-50.8182699369037
9914000,-51.4233965942026
9916000,-50.9525990058176
9918000,-50.9996998108584
9920000,-51.7616469966661
9922000,-54.092309190406
9924000,-56.6987551416039
9926000,-56.6176793772372
9928000,-55.2016311793245
9930000,-53.7994333910635
9932000,-51.2322760117207
9934000,-50.1675287293231
9936000,-51.171094845033
9938000,-53.103913414269
9940000,-57.1341199897545
9942000,-53.759238451283
9944000,-52.1960496387671
9946000,-52.591596781485
9948000,-55.4471085843494
9950000,-50.8428659059656
9952000,-46.9145934457807
9954000,-44.7353334638756
9956000,-44.185901637705
9958000,-45.2098538861983
9960000,-48.1378527761781
9962000,-53.3905112505196
9964000,-49.6171140261007
9966000,-43.6762255597151
9968000,-40.0052352917748
9970000,-37.8037813917785
9972000,-36.6650774048638
9974000,-36.9089360534963
9976000,-37.5117700335706
9978000,-37.3859241955656
9980000,-36.3007836487592
9982000,-36.1150206046282
9984000,-36.8238411586193
9986000,-36.9149264573241
9988000,-34.6220090216394
9990000,-33.2516928609345
9992000,-33.0073937979603
9994000,-33.7342548738673
9996000,-35.5514043794479
9998000,-37.8392385232592
10000000,-37.2274800350916
10002000,-34.3212716817962
10004000,-31.8777301482575
10006000,-30.1065546122849
10008000,-29.7347364464477
10010000,-30.6330907679663
10012000,-33.0949583172153
10014000,-38.3299750336498
10016000,-36.6164596516548
10018000,-34.525158966866
10020000,-34.4909866236148
10022000,-34.3230921845909
10024000,-30.7039615337091
10026000,-28.4939822479661
10028000,-27.573078039443
10030000,-27.8365124945644
10032000,-29.1865206337923
10034000,-31.4924100616732
10036000,-34.7790975576927
10038000,-38.6337285304599
10040000,-44.7928562983721
10042000,-40.04638097461
10044000,-37.4654106568792
10046000,-37.0751925680795
10048000,-38.1929162381488
10050000,-41.5413208905317
10052000,-46.6363557944348
10054000,-52.7334718458584
10056000,-50.5493594739008
10058000,-51.5746318261682
10060000,-55.2377674819492
10062000,-55.2716691028584
10064000,-53.2646928051469
10066000,-52.8332995873446
10068000,-54.1317459458286
10070000,-59.1933155749909
10072000,-59.714572195834
10074000,-55.6194268258654
10076000,-52.4951281520303
10078000,-50.643582893028
10080000,-49.4854549961728
10082000,-49.5842489261409
10084000,-51.5670839175835
10086000,-53.3614482146343
10088000,-50.4162011947488
10090000,-49.6220742411293
10092000,-49.849940637413
10094000,-52.6139412326629
10096000,-54.872817985163
10098000,-51.8127365466212
10100000,-49.8673772808359
10102000,-49.6620735092945
10104000,-49.714284300152
10106000,-49.8548503229021
10108000,-50.0490696160216
10110000,-51.0824128810696
10112000,-53.7426810196039
10114000,-55.3777466628418
10116000,-55.0511483249262
10118000,-53.4859481016036
10120000,-53.2538506961524
10122000,-52.7638296462797
