Trace
Swept SA
A.12.13,N9010A
513 B25 DP2 RTL ,01
Segment,0
Number of Points,1001
Sweep Time,0.11
Start Frequency,9740000
Stop Frequency,11740000
Average Count,0
Average Type,LogPower(Video)
RBW,9100
RBW Filter,Gaussian
RBW Filter BW,3dB
VBW,9100
Sweep Type,Swept
X Axis Scale,Lin
PreAmp State,Off
PreAmp Band,Low
Trigger Source,Ext1
Trigger Level,1
Trigger Slope,Positive
Trigger Delay,0
Phase Noise Optimization,Narrow
Swept If Gain,Low
FFT If Gain,Autorange
RF Coupling,AC
FFT Width,411900
Ext Ref,10000000
Input,RF
RF Calibrator,Off
Attenuation,10
Ref Level Offset,0
External Gain,0
Trace Type,Average
Detector,Sample
Trace Math,Off
Trace Math Oper1,Trace5
Trace Math Oper2,Trace6
Trace Math Offset,0
Trace Name,Trace1
X Axis Units,Hz
Y Axis Units,dBm
DATA
9740000,-65.2607124958559
9742000,-64.048393627698
9744000,-61.8330890101915
9746000,-62.5081530678227
9748000,-61.9192043850423
9750000,-64.1815285604543
9752000,-64.4834440831765
9754000,-66.6370977860443
9756000,-66.8414969030151
9758000,-68.6586410871157
9760000,-68.8341685598906
9762000,-66.6675622854093
9764000,-66.8013011381837
9766000,-66.6815355683284
9768000,-67.3272643559608
9770000,-68.0514567494089
9772000,-68.5640639567644
9774000,-69.3919260322157
9776000,-69.3791566597924
9778000,-69.0080439875273
9780000,-68.4731637198847
9782000,-66.9700282603618
9784000,-64.0352194194672
9786000,-62.6744198579926
9788000,-60.7864943425033
9790000,-60.3128526766874
9792000,-60.8615737452705
9794000,-62.0523776088651
9796000,-63.7556735703503
9798000,-61.7384794782077
9800000,-60.4224711862715
9802000,-58.4219601886848
9804000,-56.6201053958831
9806000,-54.4282149755643
9808000,-54.7533354651005
9810000,-55.0081859919325
9812000,-57.5170380209186
9814000,-60.732693795081
9816000,-57.0695400327591
9818000,-53.4183951641833
9820000,-50.4752614061002
9822000,-48.6896893737266
9824000,-46.8904562384567
9826000,-45.9727123757738
9828000,-46.0995106948898
9830000,-47.1910054377799
9832000,-48.9972748136375
9834000,-48.4932462602604
9836000,-47.2201598014248
9838000,-47.0786107061606
9840000,-47.3650284176439
9842000,-49.0682003460332
9844000,-51.068313846585
9846000,-53.7484710892417
9848000,-57.4647533472307
9850000,-61.6021469524973
9852000,-57.0284671412556
9854000,-54.4943282969464
9856000,-54.0831408804063
9858000,-55.1681130686792
9860000,-57.8957799849358
9862000,-61.6591172423809
9864000,-64.1817641827369
9866000,-61.7356204249788
9868000,-57.7336225004392
9870000,-56.1504682965409
9872000,-55.1002106139061
9874000,-56.3742926830246
9876000,-56.6806574981522
9878000,-57.1312253310245
9880000,-56.9343039447145
9882000,-57.6795254326684
9884000,-59.4932520210109
9886000,-61.0228206042714
9888000,-58.4687795308166
9890000,-56.2453774048868
9892000,-54.6513140372887
9894000,-54.295820206074
9896000,-54.634071119163
9898000,-54.8157618442912
9900000,-56.8349995870402
9902000,-59.1333365754063
9904000,-55.2148562653608
9906000,-52.4242200478383
9908000,-50.6823750442411
9910000,-50.9121997075149
9912000,-53.1332963521787
9914000,-57.1908044570918
9916000,-52.8257465842041
9918000,-51.0811700897963
9920000,-50.3253941384898
9922000,-50.9459703066065
9924000,-51.9558081234574
9926000,-54.0536437538639
9928000,-55.2892437676918
9930000,-55.0459739376593
9932000,-52.1315901374797
9934000,-50.215476022956
9936000,-50.7275200961104
9938000,-52.8511126042236
9940000,-57.2781432629939
9942000,-53.8774028865482
9944000,-50.7399121998761
9946000,-50.9705083540983
9948000,-54.4862140886626
9950000,-51.5659872545627
9952000,-47.7455956176177
9954000,-46.4150697755366
9956000,-47.0795125161087
9958000,-51.474659436746
9960000,-48.8025536756881
9962000,-44.0494121685139
9964000,-41.2045417212113
9966000,-39.713398103476
9968000,-37.507454116873
9970000,-36.4014873515402
9972000,-36.150361296558
9974000,-37.0095716586365
9976000,-35.4340889857273
9978000,-32.0871409850528
9980000,-30.1366156965715
9982000,-29.5697002846948
9984000,-30.5697096547542
9986000,-33.076266468848
9988000,-36.6218370926472
9990000,-34.319833444458
9992000,-33.2140928865724
9994000,-33.6400322551646
9996000,-35.4553976369372
9998000,-38.6951089513834
10000000,-40.5370871476099
10002000,-36.2515316770504
10004000,-32.537119917232
10006000,-30.4812893492944
10008000,-29.5164410320844
10010000,-29.9109800838551
10012000,-31.6679906226975
10014000,-34.1896053950098
10016000,-32.1138968757708
10018000,-31.1236706863388
10020000,-31.885431430286
10022000,-34.1864085596696
10024000,-31.8504668852322
10026000,-29.1626630331571
10028000,-27.972989861401
10030000,-28.0345903771908
10032000,-29.1835612281914
10034000,-31.3394808719533
10036000,-34.089710346012
10038000,-37.0964390682778
10040000,-42.4306814488691
10042000,-42.0086260335634
10044000,-38.5240862733869
10046000,-37.5666305409001
10048000,-38.4311142148455
10050000,-41.0074423199007
10052000,-45.6611807100045
10054000,-52.932962208812
10056000,-54.2306687733335
10058000,-55.7703947203986
10060000,-55.7549291178151
10062000,-51.3562473623786
10064000,-49.6920198128047
10066000,-49.0100934504826
10068000,-50.1413811910855
10070000,-51.9546911825817
10072000,-55.2479241508656
10074000,-56.3909001179173
10076000,-54.1776899248749
10078000,-52.0272353885716
10080000,-50.6926067612351
10082000,-51.0140794244277
10084000,-53.1540973267138
10086000,-54.4509364658764
10088000,-51.1844364684599
10090000,-49.0937319168006
10092000,-49.1573170505216
10094000,-50.7652196427754
10096000,-53.601576066969
10098000,-54.1663043358217
10100000,-53.9328414142461
10102000,-53.0719374820972
10104000,-53.3853811940521
10106000,-53.4333910996057
10108000,-52.9222799964522
10110000,-54.4768232369537
10112000,-56.8145400586582
10114000,-57.3082273493676
10116000,-54.2756567177542
10118000,-52.4702316668542
10120000,-52.2661701676027
10122000,-52.3553609145072
