Trace
Swept SA
A.12.13,N9010A
513 B25 DP2 RTL ,01
Segment,0
Number of Points,1001
Sweep Time,0.11
Start Frequency,9740000
Stop Frequency,11740000
Average Count,0
Average Type,LogPower(Video)
RBW,9100
RBW Filter,Gaussian
RBW Filter BW,3dB
VBW,9100
Sweep Type,Swept
X Axis Scale,Lin
PreAmp State,Off
PreAmp Band,Low
Trigger Source,Ext1
Trigger Level,1
Trigger Slope,Positive
Trigger Delay,0
Phase Noise Optimization,Narrow
Swept If Gain,Low
FFT If Gain,Autorange
RF Coupling,AC
FFT Width,411900
Ext Ref,10000000
Input,RF
RF Calibrator,Off
Attenuation,10
Ref Level Offset,0
External Gain,0
Trace Type,Average
Detector,Sample
Trace Math,Off
Trace Math Oper1,Trace5
Trace Math Oper2,Trace6
Trace Math Offset,0
Trace Name,Trace1
X Axis Units,Hz
Y Axis Units,dBm
DATA
9740000,-62.9563281353961
9742000,-63.7983303955396
9744000,-63.7532334612734
9746000,-64.3339215446312
9748000,-65.8041486114554
9750000,-67.9058976831148
9752000,-67.2647454093815
9754000,-66.9118245417412
9756000,-68.9938019513093
9758000,-68.2350052777232
9760000,-70.6925464561595
9762000,-71.1488615167896
9764000,-71.7761737154855
9766000,-72.5856046898868
9768000,-72.1101789260197
9770000,-71.445161733655
9772000,-71.2703484573418
9774000,-71.5475357365553
9776000,-69.6979491810603
9778000,-69.9359261848963
9780000,-67.8339440325308
9782000,-67.5959138136381
9784000,-70.002298971596
9786000,-68.6794802149928
9788000,-64.9700226616991
9790000,-62.0749782246798
9792000,-59.7757568865883
9794000,-57.3751183107227
9796000,-56.271279893677
9798000,-55.5522896441008
9800000,-55.881984809707
9802000,-58.1407877885697
9804000,-62.3040787626785
9806000,-61.5525701372798
9808000,-57.9954773967725
9810000,-56.3977601270997
9812000,-56.7704396145904
9814000,-57.4880462532665
9816000,-58.3257728196827
9818000,-57.317413370188
9820000,-53.8950114224299
9822000,-50.5785536717166
9824000,-48.3557590357345
9826000,-47.289184965857
9828000,-47.1682245930678
9830000,-48.199527292896
9832000,-50.0094117992278
9834000,-52.1868721708381
9836000,-51.2475650583126
9838000,-50.4415445859269
9840000,-50.3722079117355
9842000,-50.9642964760239
9844000,-51.409329453831
9846000,-52.5912076549512
9848000,-55.0727635627618
9850000,-59.8356190694348
9852000,-59.8668164926787
9854000,-57.2111275805965
9856000,-57.085161765202
9858000,-58.949232587382
9860000,-62.1062509285939
9862000,-65.2679824307943
9864000,-63.4689101258043
9866000,-61.6766343392002
9868000,-60.9477921714263
9870000,-61.0260586618425
9872000,-61.696014431406
9874000,-62.0389367077915
9876000,-61.2584734982216
9878000,-59.3269647720974
9880000,-57.6261225528402
9882000,-57.4800998189479
9884000,-58.5939236177441
9886000,-57.4278591048699
9888000,-55.5068064212845
9890000,-54.0345235639382
9892000,-54.5407787038422
9894000,-56.8431744228023
9896000,-57.8941827516817
9898000,-55.4022204175362
9900000,-53.7990329548229
9902000,-53.1958147708474
9904000,-53.1376035031388
9906000,-52.484844230244
9908000,-52.6995963673226
9910000,-53.8010068256197
9912000,-55.0839688892667
9914000,-52.367897405793
9916000,-50.3298848234144
9918000,-49.5979365722419
9920000,-50.2694036749579
9922000,-52.6233202770968
9924000,-56.560881740134
9926000,-57.0035568928197
9928000,-56.1865047773018
9930000,-55.1775650913392
9932000,-53.2415367706157
9934000,-51.7491174271708
9936000,-51.5952419477249
9938000,-52.4370226118511
9940000,-53.9766123244579
9942000,-55.9730359644436
9944000,-54.2041305058533
9946000,-51.844470067065
9948000,-50.685474204001
9950000,-49.3872569171701
9952000,-48.9198267715697
9954000,-50.0823812802742
9956000,-53.093956322484
9958000,-47.9942437978587
9960000,-44.4885169756823
9962000,-43.3663051723903
9964000,-45.3267647533399
9966000,-42.0509247212785
9968000,-35.6910225835626
9970000,-31.6541702149305
9972000,-28.8674529630487
9974000,-26.9186643607062
9976000,-24.8482266270453
9978000,-22.8621093393904
9980000,-21.4981574891689
9982000,-20.8221823829262
9984000,-20.7633729421581
9986000,-21.1842897275487
9988000,-20.1878211467615
9990000,-19.6349654729725
9992000,-19.9072063156259
9994000,-21.1324535103367
9996000,-23.4376557212687
9998000,-26.7989358573613
10000000,-27.4614322768341
10002000,-23.8418310546326
10004000,-20.3788468719538
10006000,-17.9268550795132
10008000,-16.4414356085288
10010000,-15.8569618933357
10012000,-16.0778676374932
10014000,-16.9217055439843
10016000,-16.4678060859467
10018000,-16.2030905836572
10020000,-16.6423511186837
10022000,-17.8883053464036
10024000,-19.9485809743416
10026000,-22.7998662949552
10028000,-26.3131547635311
10030000,-29.5127835084558
10032000,-34.1640829696831
10034000,-41.2728222307059
10036000,-37.7190260339051
10038000,-36.9899085471303
10040000,-38.5412709133115
10042000,-42.0707814916701
10044000,-48.5224012725213
10046000,-46.1682201158805
10048000,-45.2320987675431
10050000,-46.1771410521435
10052000,-48.2860356182135
10054000,-48.1883781780951
10056000,-48.956228454952
10058000,-49.6386129310452
10060000,-51.073658019533
10062000,-51.9335124036795
10064000,-52.3289884276241
10066000,-53.1364140121124
10068000,-54.0829058201623
10070000,-55.7401778233583
10072000,-59.0054139524385
10074000,-57.1517752823005
10076000,-51.8510342693611
10078000,-48.7787351402974
10080000,-46.7926696415248
10082000,-46.6715316616563
10084000,-47.8470567566065
10086000,-51.2099019257027
10088000,-53.7009478529938
10090000,-51.5992864814387
10092000,-50.3873562249869
10094000,-50.6468146564503
10096000,-51.2809008971757
10098000,-52.8093298628213
10100000,-54.894774992697
10102000,-57.3887155049348
10104000,-57.1962029960712
10106000,-53.9085548652057
10108000,-52.4230102848443
10110000,-53.0459506215632
10112000,-54.9626773015731
10114000,-57.7771784799351
10116000,-55.5375745780625
10118000,-54.0293529997508
10120000,-53.7424235604795
10122000,-54.3681749307325
