Trace
Swept SA
A.12.13,N9010A
513 B25 DP2 RTL ,01
Segment,0
Number of Points,1001
Sweep Time,0.044
Start Frequency,1000000
Stop Frequency,40000000
Average Count,0
Average Type,LogPower(Video)
RBW,9100
RBW Filter,Gaussian
RBW Filter BW,3dB
VBW,9100
Sweep Type,Swept
X Axis Scale,Lin
PreAmp State,Off
PreAmp Band,Low
Trigger Source,Ext1
Trigger Level,1
Trigger Slope,Positive
Trigger Delay,0
Phase Noise Optimization,Fast
Swept If Gain,Low
FFT If Gain,Autorange
RF Coupling,AC
FFT Width,411900
Ext Ref,10000000
Input,RF
RF Calibrator,Off
Attenuation,10
Ref Level Offset,0
External Gain,0
Trace Type,Average
Detector,Sample
Trace Math,Off
Trace Math Oper1,Trace5
Trace Math Oper2,Trace6
Trace Math Offset,0
Trace Name,Trace1
X Axis Units,Hz
Y Axis Units,dBm
DATA
1000000,-59.9985360943842
1039000,-60.9993526240393
1078000,-66.2003532061376
1117000,-63.9273080159995
1156000,-61.9437669295867
1195000,-62.6225534742543
1234000,-64.4901587808432
1273000,-64.0931343841927
1312000,-63.3440593894326
1351000,-64.395974130746
1390000,-65.6914820907802
1429000,-63.0571403045495
1468000,-62.3057534319079
1507000,-63.526419176243
1546000,-62.2455144831113
1585000,-63.1175650124117
1624000,-65.7452298797299
1663000,-65.5124785634516
1702000,-67.5589952262392
1741000,-68.2665150207216
1780000,-66.5508697992913
1819000,-64.929090330327
1858000,-67.5032431801373
1897000,-66.2429790372575
1936000,-73.3126363440127
1975000,-66.9156496832076
2014000,-69.1669932944616
2053000,-67.9605796511321
2092000,-64.9932952512388
2131000,-67.2198599229409
2170000,-70.1940282160775
2209000,-65.4361721368625
2248000,-63.8189871766875
2287000,-62.0437631144314
2326000,-65.0890177010999
2365000,-66.5097658404852
2404000,-69.4152651871848
2443000,-72.3490734345073
2482000,-66.0081506854846
2521000,-70.0836447748028
2560000,-64.1772100234349
2599000,-67.9775792780422
2638000,-65.9250351734222
2677000,-64.7203440943984
2716000,-65.5076709602573
2755000,-62.6474017092695
2794000,-63.2115486904972
2833000,-66.5839300302798
2872000,-64.7505221389295
2911000,-67.7837323243729
2950000,-62.4588550286253
2989000,-62.6639012863328
3028000,-61.808078955129
3067000,-62.6047036955335
3106000,-66.8149682963269
3145000,-61.9204655802789
3184000,-66.488232444966
3223000,-68.2814253633889
3262000,-63.5874674992695
3301000,-68.4574695737425
3340000,-64.6433011539591
3379000,-63.8376091508519
3418000,-64.8280504002697
3457000,-63.3211263556831
3496000,-66.7288120834882
3535000,-63.4957966111376
3574000,-62.8593167034209
3613000,-70.0556652389025
3652000,-67.995616398468
3691000,-66.6622018802883
3730000,-63.6220575640749
3769000,-63.5752327559096
3808000,-64.6760437022443
3847000,-62.3482029213742
3886000,-70.9045356035658
3925000,-67.3802127274168
3964000,-66.6775892889376
4003000,-68.3327208441484
4042000,-63.6761022558146
4081000,-68.8652060698207
4120000,-65.6991188219445
4159000,-65.3534847866158
4198000,-71.3374160061989
4237000,-66.1293972312454
4276000,-69.8292771890397
4315000,-67.2019587127912
4354000,-67.1316650487265
4393000,-69.0774843203308
4432000,-65.1113357154752
4471000,-66.4081562045512
4510000,-65.6113603799053
4549000,-65.8926695538025
4588000,-66.5523250515965
4627000,-64.4253951928067
4666000,-67.7512643831019
4705000,-68.5134869388508
4744000,-66.1714441471731
4783000,-70.7205234154716
4822000,-68.8388956072198
4861000,-72.428887339963
4900000,-68.9382255377317
4939000,-66.3236654100388
4978000,-69.0736028142329
5017000,-68.968520988097
5056000,-66.589925905433
5095000,-66.8957206591257
5134000,-70.3462655440554
5173000,-69.6081387294951
5212000,-72.2001905172674
5251000,-70.0393379081832
5290000,-70.8682980477587
5329000,-72.2400744490328
5368000,-75.6431898163391
5407000,-71.8277410414823
5446000,-68.6078082350548
5485000,-67.0262554588616
5524000,-66.6630077845087
5563000,-70.1953365458371
5602000,-70.9124560361745
5641000,-71.3342695009904
5680000,-70.7232167613706
5719000,-73.3524247951711
5758000,-69.1040201117625
5797000,-69.0389371056372
5836000,-71.0659774535016
5875000,-69.7600969110762
5914000,-68.2309363972701
5953000,-71.1344574676854
5992000,-72.801064915069
6031000,-73.2947529816243
6070000,-68.0267007053683
6109000,-67.5031987248838
6148000,-71.9329332336551
6187000,-69.0013148355167
6226000,-68.9992730496687
6265000,-68.7006764342764
6304000,-70.5301371910645
6343000,-75.3996402053264
6382000,-68.8524926119665
6421000,-72.0076064959942
6460000,-72.7399492224148
6499000,-71.5447972459652
6538000,-74.5525952943039
6577000,-70.6397958665896
6616000,-73.2691550382478
6655000,-67.7968665778499
6694000,-66.8203032671357
6733000,-72.3359976938258
6772000,-66.739810213153
6811000,-70.0922011747266
6850000,-68.9936651622635
6889000,-69.5784337009241
6928000,-69.1246699459094
6967000,-65.183804980891
7006000,-68.3048327340677
7045000,-66.3598373131261
7084000,-68.1196345281248
7123000,-69.1827584942987
7162000,-67.2062273198543
7201000,-69.4528880645185
7240000,-63.9310945743536
7279000,-66.2991392602085
7318000,-67.8783724309434
7357000,-64.1969577544171
7396000,-69.4677633826832
7435000,-64.4115344669851
7474000,-65.248027666819
7513000,-67.8339423653837
7552000,-63.5272446498356
7591000,-68.222344679888
7630000,-63.074497148582
7669000,-66.1462912829526
7708000,-74.1695499361529
7747000,-66.8235218416747
7786000,-69.8933849252442
7825000,-65.5789391039039
7864000,-65.9816328744716
7903000,-67.8447802837499
7942000,-62.0195992246414
7981000,-66.3283724794943
8020000,-62.8279066863904
8059000,-63.8924656320931
8098000,-68.4083886669329
8137000,-63.1280741905947
8176000,-67.5335768067257
8215000,-64.8293503139288
8254000,-66.5985250828338
8293000,-69.3390753016178
8332000,-64.0083534340729
8371000,-69.9066022543402
8410000,-64.6127144726142
8449000,-64.6199640454184
