Trace
Swept SA
A.12.13,N9010A
513 B25 DP2 RTL ,01
Segment,0
Number of Points,1001
Sweep Time,0.044
Start Frequency,6000000
Stop Frequency,14000000
Average Count,0
Average Type,LogPower(Video)
RBW,9100
RBW Filter,Gaussian
RBW Filter BW,3dB
VBW,9100
Sweep Type,Swept
X Axis Scale,Lin
PreAmp State,Off
PreAmp Band,Low
Trigger Source,Ext1
Trigger Level,1
Trigger Slope,Positive
Trigger Delay,0
Phase Noise Optimization,Narrow
Swept If Gain,Low
FFT If Gain,Autorange
RF Coupling,AC
FFT Width,411900
Ext Ref,10000000
Input,RF
RF Calibrator,Off
Attenuation,10
Ref Level Offset,0
External Gain,0
Trace Type,Average
Detector,Sample
Trace Math,Off
Trace Math Oper1,Trace5
Trace Math Oper2,Trace6
Trace Math Offset,0
Trace Name,Trace1
X Axis Units,Hz
Y Axis Units,dBm
DATA
6000000,-58.7594204739673
6008000,-63.1333415221187
6016000,-56.5557097577696
6024000,-59.6115863656612
6032000,-61.6625126002286
6040000,-63.4913927299913
6048000,-63.8643002774953
6056000,-59.7934165470045
6064000,-62.2035629480602
6072000,-64.3403050128634
6080000,-67.3974591897669
6088000,-61.3764509171793
6096000,-58.4799462243581
6104000,-58.2845047586427
6112000,-56.2158376460616
6120000,-61.5522472379501
6128000,-61.2902827552592
6136000,-64.4812807335938
6144000,-65.7167925852531
6152000,-64.0625087788227
6160000,-62.5560821822264
6168000,-59.6441903172335
6176000,-61.3242887571068
6184000,-67.4436883375948
6192000,-69.8617871128564
6200000,-61.311549813956
6208000,-60.4593894421683
6216000,-64.5916161924594
6224000,-66.7205020373167
6232000,-65.23821192279
6240000,-62.860092246659
6248000,-64.4650258718686
6256000,-65.1101887519666
6264000,-62.4709314133636
6272000,-63.0425138897056
6280000,-70.0523421920796
6288000,-66.6672046203531
6296000,-68.937230883998
6304000,-65.2350674141177
6312000,-65.0436775689647
6320000,-63.1714945184553
6328000,-63.5035314120625
6336000,-63.5286814579624
6344000,-64.6551734479084
6352000,-63.1908154380671
6360000,-60.8984266444896
6368000,-65.7543731590309
6376000,-63.2178833787036
6384000,-60.0519698471861
6392000,-67.1227483671027
6400000,-71.2398283228519
6408000,-68.991224474592
6416000,-65.107002416618
6424000,-60.1007728433637
6432000,-59.5385857026445
6440000,-58.7595807254056
6448000,-56.5248123967697
6456000,-58.354910613891
6464000,-59.5055531631116
6472000,-63.1627761981133
6480000,-63.1946286593061
6488000,-66.4391480022681
6496000,-62.3262480906829
6504000,-59.3206500931858
6512000,-64.2878415522493
6520000,-59.7773607188664
6528000,-58.1069003287364
6536000,-57.3184676048596
6544000,-61.6624608866846
6552000,-67.5187715014083
6560000,-63.2501868219204
6568000,-56.7893667799691
6576000,-59.7301333902248
6584000,-60.44901883416
6592000,-58.5634449354947
6600000,-57.743420214129
6608000,-57.0584922327258
6616000,-63.0478848997811
6624000,-67.4284944336068
6632000,-63.3856024113133
6640000,-63.7632925623365
6648000,-64.5459891103622
6656000,-60.0490111667058
6664000,-64.2781855925096
6672000,-65.3653741648736
6680000,-64.1368771888219
6688000,-64.2847590451991
6696000,-63.2574687818984
6704000,-62.3625017743186
6712000,-63.375429744689
6720000,-59.0331501475164
6728000,-59.726259526771
6736000,-63.4539268645887
6744000,-65.5339127179383
6752000,-60.9375463629405
6760000,-65.0928922482526
6768000,-66.5676472471715
6776000,-66.8052560973492
6784000,-62.965709412002
6792000,-66.5072559226835
6800000,-67.4496955615228
6808000,-69.6427189617619
6816000,-66.8696109918698
6824000,-62.2335023237081
6832000,-62.9987739410934
6840000,-64.7434718586569
6848000,-66.1412061208698
6856000,-62.7252950057352
6864000,-60.766082910694
6872000,-62.3641121509307
6880000,-63.3420356859402
6888000,-66.4073464346776
6896000,-61.2829734690741
6904000,-62.5414911909439
6912000,-67.4742452385836
6920000,-66.6301758932403
6928000,-64.5281117542365
6936000,-66.8556203936235
6944000,-56.9653628881976
6952000,-55.9287095505466
6960000,-58.1188808987673
6968000,-62.9843028699556
6976000,-67.7187213591266
6984000,-65.0472270702098
6992000,-65.309639411238
7000000,-64.4185216028908
7008000,-64.5656123257531
7016000,-64.4999078003615
7024000,-62.8472990179561
7032000,-65.0250588575991
7040000,-62.1737272153704
7048000,-61.0386153816025
7056000,-65.5864127376044
7064000,-63.1432396245188
7072000,-63.5662947462185
7080000,-58.4269822795898
7088000,-58.1088645455053
7096000,-60.5297761135096
7104000,-60.8096401984197
7112000,-64.347904927145
7120000,-64.9100478608377
7128000,-64.4549816229551
7136000,-68.2246996970391
7144000,-66.3702299682427
7152000,-68.0394928442193
7160000,-66.581638983611
7168000,-64.0431548360935
7176000,-62.676979968093
7184000,-62.1636195243034
7192000,-63.9006126297932
7200000,-61.3409818786969
7208000,-59.5304863542027
7216000,-61.7772386121279
7224000,-62.8510913521628
7232000,-66.8192801238617
7240000,-74.9951129028371
7248000,-70.2675149102436
7256000,-67.1173273333148
7264000,-65.0760956124439
7272000,-61.8533594899049
7280000,-63.5524965152798
7288000,-65.6458843307597
7296000,-67.17940134973
7304000,-67.7041813986344
7312000,-70.1931890914549
7320000,-62.6779280509042
7328000,-61.978012486337
7336000,-66.7127229827817
7344000,-60.1953386167835
7352000,-62.4238512877162
7360000,-71.0152430620601
7368000,-73.2339599938731
7376000,-65.0509720813952
7384000,-62.3451288195062
7392000,-62.8690400252008
7400000,-67.4276381312537
7408000,-70.6615416254811
7416000,-67.4034642228725
7424000,-67.3825625596584
7432000,-64.067711389322
7440000,-60.44856550871
7448000,-61.2264589115664
7456000,-63.5005462949085
7464000,-65.3138784080547
7472000,-65.4572966540833
7480000,-61.5202192675229
7488000,-58.0878610217285
7496000,-57.5582818686165
7504000,-59.8359334766808
7512000,-65.5710420553444
7520000,-67.3794090181802
7528000,-63.1887288489575
