Trace
Swept SA
A.12.13,N9010A
513 B25 DP2 RTL ,01
Segment,0
Number of Points,1001
Sweep Time,0.044
Start Frequency,1000000
Stop Frequency,40000000
Average Count,0
Average Type,LogPower(Video)
RBW,9100
RBW Filter,Gaussian
RBW Filter BW,3dB
VBW,9100
Sweep Type,Swept
X Axis Scale,Lin
PreAmp State,Off
PreAmp Band,Low
Trigger Source,Ext1
Trigger Level,1
Trigger Slope,Positive
Trigger Delay,0
Phase Noise Optimization,Fast
Swept If Gain,Low
FFT If Gain,Autorange
RF Coupling,AC
FFT Width,411900
Ext Ref,10000000
Input,RF
RF Calibrator,Off
Attenuation,10
Ref Level Offset,0
External Gain,0
Trace Type,Average
Detector,Sample
Trace Math,Off
Trace Math Oper1,Trace5
Trace Math Oper2,Trace6
Trace Math Offset,0
Trace Name,Trace1
X Axis Units,Hz
Y Axis Units,dBm
DATA
1000000,-61.5894521000934
1039000,-63.0866383782343
1078000,-60.3241808462577
1117000,-59.2313728108907
1156000,-61.2806137435463
1195000,-58.5685925088916
1234000,-59.9123202843421
1273000,-63.0172340309264
1312000,-62.8698782360674
1351000,-62.9319230551302
1390000,-63.9456533342292
1429000,-62.5576812653365
1468000,-64.5728138860404
1507000,-64.5077342712944
1546000,-60.1959379074268
1585000,-63.8179800520591
1624000,-64.9481044263298
1663000,-65.8052218374225
1702000,-72.1883283292337
1741000,-66.4042684850867
1780000,-62.275659425218
1819000,-61.5814006518788
1858000,-64.7512332050689
1897000,-64.2909032846767
1936000,-64.2310352239237
1975000,-63.202304619378
2014000,-66.5780563162641
2053000,-64.6118190251571
2092000,-65.9951890640008
2131000,-65.8848040938086
2170000,-64.6861825425593
2209000,-65.2818504831968
2248000,-67.8270911899738
2287000,-69.2647783078123
2326000,-69.1841491493416
2365000,-70.126588358674
2404000,-67.9091921053274
2443000,-68.1593629743146
2482000,-64.7379391197352
2521000,-68.8027138277801
2560000,-65.1668137556852
2599000,-66.9425574694443
2638000,-65.3112635844602
2677000,-62.9608485672692
2716000,-64.7678816868153
2755000,-65.2962774328318
2794000,-66.7218842290184
2833000,-68.7502314556865
2872000,-62.398964325076
2911000,-65.3475067602058
2950000,-67.3743525794795
2989000,-64.3142459356971
3028000,-60.7855467437873
3067000,-63.3278515177156
3106000,-64.650416981294
3145000,-63.0767189832189
3184000,-64.0096473700022
3223000,-69.8799678079837
3262000,-67.6336572180881
3301000,-65.5647670232408
3340000,-64.5928213943349
3379000,-66.0211212290933
3418000,-65.8705372160461
3457000,-67.1637160971094
3496000,-67.1495232890768
3535000,-70.352196157806
3574000,-71.278369377048
3613000,-67.0863208017558
3652000,-65.6437120743246
3691000,-67.1309895983485
3730000,-70.7897793369454
3769000,-72.6715027127161
3808000,-68.2617167392596
3847000,-64.16043859161
3886000,-68.2122119535264
3925000,-66.6521929855729
3964000,-66.0832138362948
4003000,-64.5698771731303
4042000,-63.8957448100402
4081000,-66.0148640751326
4120000,-67.9540379273015
4159000,-65.7928632663334
4198000,-63.6058117637953
4237000,-62.2621519123606
4276000,-64.9035768323116
4315000,-69.0610800612569
4354000,-70.3199221849541
4393000,-68.5729503794043
4432000,-67.2274062574122
4471000,-67.5583046515081
4510000,-67.3364215575575
4549000,-68.4717515063986
4588000,-68.7631714561873
4627000,-69.4572568556896
4666000,-71.2794592495673
4705000,-64.9010027198963
4744000,-65.5595127613904
4783000,-68.5840732109958
4822000,-69.7927222571409
4861000,-72.6672399250453
4900000,-67.7847433755816
4939000,-65.9836288235844
4978000,-66.1910470473249
5017000,-67.2958099800693
5056000,-68.224854905953
5095000,-66.4388392595734
5134000,-67.4923119556
5173000,-68.8075715103073
5212000,-71.7968510720534
5251000,-72.0297782228783
5290000,-72.2416300505594
5329000,-69.2626149653823
5368000,-68.2821712989173
5407000,-68.0147081019343
5446000,-70.1543994351057
5485000,-70.0643282840684
5524000,-71.2493245085451
5563000,-69.238461678854
5602000,-66.6003790012261
5641000,-69.1424815797723
5680000,-71.6208572060603
5719000,-68.7015930542461
5758000,-72.556508572396
5797000,-69.5999620280656
5836000,-67.1376319152489
5875000,-68.9279210758277
5914000,-69.1569036585056
5953000,-69.8368901805663
5992000,-69.6376455049894
6031000,-73.4130767300086
6070000,-72.9073599905226
6109000,-71.1731954703575
6148000,-67.959050552299
6187000,-66.0344463346768
6226000,-65.527014085762
6265000,-70.1591306750528
6304000,-71.2295150737745
6343000,-72.6658183164054
6382000,-70.4296137579796
6421000,-68.3396067291184
6460000,-69.8942980253029
6499000,-67.8005881172172
6538000,-70.0230841539371
6577000,-69.3328996502751
6616000,-69.7434095440607
6655000,-68.5231773559584
6694000,-73.0826091062557
6733000,-69.2245410818587
6772000,-66.0411242850991
6811000,-68.4503720573288
6850000,-68.4451158483811
6889000,-71.090529126623
6928000,-69.018994614588
6967000,-68.696916367828
7006000,-72.0184711796132
7045000,-71.3283263460746
7084000,-70.4011446032601
7123000,-69.1267703253924
7162000,-69.4921080089499
7201000,-76.5798154242109
7240000,-71.6879125373025
7279000,-69.9442663923583
7318000,-71.4288342535412
7357000,-71.1551710033389
7396000,-72.3141859292123
7435000,-68.9855191656094
7474000,-71.5359879098236
7513000,-73.6438836389201
7552000,-66.5577926653189
7591000,-69.4065065271683
7630000,-65.8018897770136
7669000,-65.3408530726807
7708000,-66.5490258966741
7747000,-66.0372085621669
7786000,-72.0384069948436
7825000,-68.6709206124267
7864000,-66.7500861774425
7903000,-66.0616864966908
7942000,-64.8825125011784
7981000,-69.7678491561615
8020000,-65.6347114282534
8059000,-64.4464898603085
8098000,-64.8677721687722
8137000,-63.6878716035922
8176000,-71.415313399903
8215000,-72.2794182207039
8254000,-72.8384748943866
8293000,-68.7723004900839
8332000,-65.4750904921828
8371000,-69.6401320252992
8410000,-66.4892861221035
8449000,-67.0328341256785
