Trace
Swept SA
A.12.13,N9010A
513 B25 DP2 RTL ,01
Segment,0
Number of Points,1001
Sweep Time,0.044
Start Frequency,1000000
Stop Frequency,40000000
Average Count,0
Average Type,LogPower(Video)
RBW,9100
RBW Filter,Gaussian
RBW Filter BW,3dB
VBW,9100
Sweep Type,Swept
X Axis Scale,Lin
PreAmp State,Off
PreAmp Band,Low
Trigger Source,Ext1
Trigger Level,1
Trigger Slope,Positive
Trigger Delay,0
Phase Noise Optimization,Fast
Swept If Gain,Low
FFT If Gain,Autorange
RF Coupling,AC
FFT Width,411900
Ext Ref,10000000
Input,RF
RF Calibrator,Off
Attenuation,10
Ref Level Offset,0
External Gain,0
Trace Type,Average
Detector,Sample
Trace Math,Off
Trace Math Oper1,Trace5
Trace Math Oper2,Trace6
Trace Math Offset,0
Trace Name,Trace1
X Axis Units,Hz
Y Axis Units,dBm
DATA
1000000,-66.2169944303934
1039000,-67.5225670826053
1078000,-68.0517917205466
1117000,-64.4764657750409
1156000,-69.7702749732943
1195000,-67.9481877498529
1234000,-64.8864494813005
1273000,-66.6048509206933
1312000,-69.0548281284364
1351000,-67.1035454100827
1390000,-68.2560629618252
1429000,-66.7376147915889
1468000,-65.5918485883613
1507000,-67.6205922043602
1546000,-74.2166348583338
1585000,-70.3453922058106
1624000,-68.6541147034774
1663000,-68.4798013980429
1702000,-68.6528844437562
1741000,-67.7255460728918
1780000,-71.1720795372724
1819000,-70.5266535864532
1858000,-68.3650628039782
1897000,-66.4414534790472
1936000,-67.4914539906519
1975000,-68.7874661132229
2014000,-68.2726872778675
2053000,-67.2250782800343
2092000,-71.6252180436909
2131000,-68.2411731227711
2170000,-68.2300949704771
2209000,-70.098005284661
2248000,-72.3506278598649
2287000,-71.0605309417256
2326000,-70.0460760281079
2365000,-67.9221805723276
2404000,-69.9157438656916
2443000,-70.8087949601864
2482000,-69.6935424200577
2521000,-70.3253457759902
2560000,-72.5840865108968
2599000,-67.6829471425265
2638000,-66.0937171624082
2677000,-71.0837190163925
2716000,-72.8770896600713
2755000,-71.8290026990968
2794000,-72.7513811188145
2833000,-70.3285097758466
2872000,-69.1415300000218
2911000,-72.5284308715512
2950000,-68.6708467211099
2989000,-69.615236026847
3028000,-67.7726057687519
3067000,-66.9412980480775
3106000,-71.7518065434226
3145000,-69.2131070472828
3184000,-70.4061375249599
3223000,-68.3453277607832
3262000,-64.9978318682587
3301000,-71.7311028443745
3340000,-67.8249665175338
3379000,-69.0504970178044
3418000,-72.7330027735457
3457000,-68.0929479271316
3496000,-72.1787932847284
3535000,-68.1505534883587
3574000,-74.781768273327
3613000,-72.5752188181898
3652000,-68.0877583223631
3691000,-72.8908596891274
3730000,-70.1061781027723
3769000,-69.0330559926815
3808000,-69.3322104996698
3847000,-69.2934542267809
3886000,-72.1236355323891
3925000,-73.5513637870261
3964000,-72.1341245972149
4003000,-74.0616402963023
4042000,-70.3073291281768
4081000,-69.5995865455371
4120000,-71.4475851467186
4159000,-70.9477820150482
4198000,-70.9821903690076
4237000,-65.7560399192597
4276000,-68.5974008856067
4315000,-69.2283194701549
4354000,-68.0447887833677
4393000,-66.9832546711845
4432000,-68.7619355250658
4471000,-74.8386364514322
4510000,-69.8271743466324
4549000,-71.924394485039
4588000,-74.1073210057962
4627000,-68.7976508122039
4666000,-72.2906753442691
4705000,-72.0865980185309
4744000,-68.5569491177993
4783000,-74.6543199493443
4822000,-72.7272643061808
4861000,-71.2480866828477
4900000,-70.4818829676191
4939000,-72.2576622524936
4978000,-73.6563550043792
5017000,-72.0957993294259
5056000,-70.9984684312849
5095000,-69.88801610297
5134000,-70.9709706239685
5173000,-75.1063346719116
5212000,-72.3622792854278
5251000,-76.5100878961517
5290000,-75.9180440602188
5329000,-72.1693544693094
5368000,-71.6964215574291
5407000,-73.2756613330734
5446000,-73.084768327422
5485000,-71.5844638042664
5524000,-76.3792681864669
5563000,-75.0464834940675
5602000,-75.0591766606624
5641000,-72.0050011913078
5680000,-74.5026002730456
5719000,-70.199478658983
5758000,-69.1991674018501
5797000,-71.3882825081543
5836000,-70.5263704625167
5875000,-72.0671147415145
5914000,-71.8449053603375
5953000,-72.1347833843714
5992000,-74.7641086824261
6031000,-77.5649749992512
6070000,-72.8673246115076
6109000,-69.620018909123
6148000,-71.1299898449445
6187000,-69.5299207287207
6226000,-73.3088449094107
6265000,-76.3676421154419
6304000,-73.1525621668283
6343000,-72.5759744520003
6382000,-71.5410479037137
6421000,-75.5627360404413
6460000,-72.9365708303306
6499000,-73.7128901563536
6538000,-70.5159929660597
6577000,-68.0055471444882
6616000,-71.5290422223465
6655000,-69.7104005571827
6694000,-70.1278546929539
6733000,-71.1495513558705
6772000,-67.1634502602559
6811000,-71.0715391316284
6850000,-69.7284000109858
6889000,-68.7035199340499
6928000,-70.1788467375623
6967000,-67.8235234889979
7006000,-71.1415203168032
7045000,-69.075373690668
7084000,-72.6361169620755
7123000,-68.9179395968362
7162000,-64.9627343251662
7201000,-70.8787274708627
7240000,-67.4132946037834
7279000,-68.1161724243685
7318000,-70.2115203823857
7357000,-65.9568462925008
7396000,-70.8035047699266
7435000,-67.2387481695485
7474000,-72.4857201981365
7513000,-71.0859853456474
7552000,-66.9840237318613
7591000,-71.1506031734219
7630000,-64.7396910691393
7669000,-66.0354223563986
7708000,-69.2680317151837
7747000,-66.327685667149
7786000,-72.3858133399417
7825000,-66.7355133912398
7864000,-66.3162173749775
7903000,-73.2438020468008
7942000,-66.8309527381621
7981000,-73.8537477573545
8020000,-68.7790396848445
8059000,-66.8027896160519
8098000,-67.2119981348738
8137000,-64.467719122163
8176000,-72.4497553613507
8215000,-66.1703572097348
8254000,-67.7841596666125
8293000,-70.7781846366181
8332000,-64.4106890498189
8371000,-68.7370691865186
8410000,-65.6419739329827
8449000,-66.1324960514797
