Trace
Swept SA
A.12.13,N9010A
513 B25 DP2 RTL ,01
Segment,0
Number of Points,1001
Sweep Time,0.044
Start Frequency,6000000
Stop Frequency,14000000
Average Count,0
Average Type,LogPower(Video)
RBW,9100
RBW Filter,Gaussian
RBW Filter BW,3dB
VBW,9100
Sweep Type,Swept
X Axis Scale,Lin
PreAmp State,Off
PreAmp Band,Low
Trigger Source,Ext1
Trigger Level,1
Trigger Slope,Positive
Trigger Delay,0
Phase Noise Optimization,Narrow
Swept If Gain,Low
FFT If Gain,Autorange
RF Coupling,AC
FFT Width,411900
Ext Ref,10000000
Input,RF
RF Calibrator,Off
Attenuation,10
Ref Level Offset,0
External Gain,0
Trace Type,Average
Detector,Sample
Trace Math,Off
Trace Math Oper1,Trace5
Trace Math Oper2,Trace6
Trace Math Offset,0
Trace Name,Trace1
X Axis Units,Hz
Y Axis Units,dBm
DATA
6000000,-72.5495493757036
6008000,-71.5667002316552
6016000,-69.1308380134175
6024000,-70.6977621606981
6032000,-67.1691555367865
6040000,-70.3955330388415
6048000,-66.8923596048151
6056000,-64.1377105086006
6064000,-70.9374574789942
6072000,-68.5451838520934
6080000,-70.6108217501801
6088000,-73.7217332466693
6096000,-74.0666422640152
6104000,-71.5069841232173
6112000,-70.1553456131236
6120000,-71.1470975349631
6128000,-69.3514764751573
6136000,-68.8181190533325
6144000,-73.8478379548338
6152000,-65.5075572310275
6160000,-66.3763994978405
6168000,-69.0922218056364
6176000,-67.3806387590282
6184000,-73.2604075240124
6192000,-71.921387781157
6200000,-74.2377528561843
6208000,-75.0957196191326
6216000,-72.9064084562448
6224000,-70.7188717908301
6232000,-65.5798603083692
6240000,-68.1119889554989
6248000,-69.7447070622955
6256000,-64.8249794027416
6264000,-68.2920533304432
6272000,-67.5425855972266
6280000,-72.267264259104
6288000,-74.450458158667
6296000,-77.3972631845047
6304000,-75.0144593245693
6312000,-71.1809304866105
6320000,-72.6466344511245
6328000,-73.0891643120126
6336000,-66.2122711211841
6344000,-67.8934002333858
6352000,-63.9038764221363
6360000,-68.5598506040997
6368000,-73.7848691406535
6376000,-71.4464380753625
6384000,-73.2149151623441
6392000,-75.8008717164993
6400000,-75.7365762416531
6408000,-71.9517718250813
6416000,-69.6426630360617
6424000,-73.9653435173217
6432000,-66.5262029265097
6440000,-68.7095029172785
6448000,-67.2527708604962
6456000,-64.1769615647631
6464000,-68.2615717268194
6472000,-67.3829881790197
6480000,-74.077438005589
6488000,-74.5745994801309
6496000,-71.6568063585799
6504000,-72.6399710342778
6512000,-71.2002303654437
6520000,-72.3351697207805
6528000,-67.493348089232
6536000,-65.2238716655641
6544000,-70.7480535211558
6552000,-67.5384804942148
6560000,-70.03933031856
6568000,-70.8729345891895
6576000,-67.0309773755632
6584000,-69.2364644866268
6592000,-70.888634732668
6600000,-71.2342106167567
6608000,-72.2512256330505
6616000,-70.9904306584016
6624000,-77.9197338759255
6632000,-69.2518955468234
6640000,-71.1381436830118
6648000,-69.0590814986071
6656000,-64.083657445047
6664000,-68.3513799569545
6672000,-66.8338375874375
6680000,-69.7929071820118
6688000,-73.2528874305958
6696000,-75.4461144630639
6704000,-76.0235310426945
6712000,-71.629202118659
6720000,-74.541884935055
6728000,-72.5533655884493
6736000,-66.7884016127442
6744000,-71.3737845205918
6752000,-66.589364291141
6760000,-67.5569087619521
6768000,-68.5613157566719
6776000,-66.2236920715624
6784000,-72.4157962539542
6792000,-75.0055401525047
6800000,-72.418854463412
6808000,-68.5930980760245
6816000,-71.8899741862818
6824000,-76.3914323066971
6832000,-66.886439204101
6840000,-66.931620114555
6848000,-65.4286648045248
6856000,-62.7963140233298
6864000,-68.2974873837196
6872000,-66.7127871147853
6880000,-68.6174101107652
6888000,-76.4718396050336
6896000,-76.1701874485914
6904000,-76.1020484023203
6912000,-71.58271994141
6920000,-71.6804024072901
6928000,-68.2416313328129
6936000,-68.0285088658466
6944000,-71.6664337362285
6952000,-68.1285841145605
6960000,-72.4006810788322
6968000,-69.9092779438498
6976000,-67.1766888068404
6984000,-71.0422751177807
6992000,-73.7707615567856
7000000,-71.2693696639477
7008000,-74.0378809039043
7016000,-70.7958976908207
7024000,-73.4275595736242
7032000,-65.9736848074192
7040000,-66.8463364194411
7048000,-66.816687001845
7056000,-64.5643036839972
7064000,-74.6390914381353
7072000,-70.8936950955001
7080000,-72.0440296303712
7088000,-78.7551760643714
7096000,-73.9008415728408
7104000,-72.6314188985303
7112000,-70.0109379292479
7120000,-74.3214530816467
7128000,-68.8621139649097
7136000,-64.7877834233515
7144000,-72.5180074458737
7152000,-64.9977547625676
7160000,-66.9280496097274
7168000,-72.0838439381421
7176000,-68.4982857993804
7184000,-70.413215589856
7192000,-71.6812303477104
7200000,-72.5361024335436
7208000,-70.8270167892853
7216000,-69.0185038936845
7224000,-76.1388324096056
7232000,-66.8518083112864
7240000,-67.7275858527918
7248000,-66.6598625581964
7256000,-64.7494542816095
7264000,-71.4804620436721
7272000,-68.1921034564137
7280000,-67.4176155327313
7288000,-71.5032842852627
7296000,-72.4220771295682
7304000,-73.975489036645
7312000,-70.3842528184776
7320000,-74.4118083320849
7328000,-70.1521610595695
7336000,-66.4409898885138
7344000,-70.3544354353374
7352000,-65.2104399798361
7360000,-68.3192653762985
7368000,-70.7017001799497
7376000,-65.8774945255293
7384000,-73.1059654744996
7392000,-75.785862937625
7400000,-72.7712492660737
7408000,-69.4532424147521
7416000,-67.9717326161578
7424000,-70.145612508302
7432000,-64.792040785201
7440000,-67.1653882282762
7448000,-66.9134966767673
7456000,-63.256403596294
7464000,-67.8716697471059
7472000,-65.4789983906648
7480000,-66.9155227813225
7488000,-69.2772146261328
7496000,-70.6276548058305
7504000,-71.5682179198066
7512000,-68.3792685588854
7520000,-72.3182345529817
7528000,-71.1784119695068
7536000,-68.0960470130848
