Trace
Swept SA
A.12.13,N9010A
513 B25 DP2 RTL ,01
Segment,0
Number of Points,1001
Sweep Time,0.044
Start Frequency,1000000
Stop Frequency,40000000
Average Count,0
Average Type,LogPower(Video)
RBW,9100
RBW Filter,Gaussian
RBW Filter BW,3dB
VBW,9100
Sweep Type,Swept
X Axis Scale,Lin
PreAmp State,Off
PreAmp Band,Low
Trigger Source,Ext1
Trigger Level,1
Trigger Slope,Positive
Trigger Delay,0
Phase Noise Optimization,Fast
Swept If Gain,Low
FFT If Gain,Autorange
RF Coupling,AC
FFT Width,411900
Ext Ref,10000000
Input,RF
RF Calibrator,Off
Attenuation,10
Ref Level Offset,0
External Gain,0
Trace Type,Average
Detector,Sample
Trace Math,Off
Trace Math Oper1,Trace5
Trace Math Oper2,Trace6
Trace Math Offset,0
Trace Name,Trace1
X Axis Units,Hz
Y Axis Units,dBm
DATA
1000000,-62.8353067784402
1039000,-62.6382848320785
1078000,-63.5973396272903
1117000,-63.3705972607313
1156000,-66.9274581397958
1195000,-66.5802083344609
1234000,-67.4847096509496
1273000,-64.8929976492953
1312000,-65.5405185321654
1351000,-70.8335167641894
1390000,-68.818637550213
1429000,-69.6346057642656
1468000,-72.2789347144633
1507000,-69.4811883995755
1546000,-69.4230365898856
1585000,-67.8684163213516
1624000,-72.4179862092358
1663000,-70.8534785326522
1702000,-72.6126790489035
1741000,-70.7583989504289
1780000,-69.8700635844398
1819000,-70.581961893524
1858000,-69.7122531200863
1897000,-65.9846422572606
1936000,-68.0269913942858
1975000,-71.2489830264381
2014000,-71.3926685124301
2053000,-67.8850048758032
2092000,-68.3995309860219
2131000,-71.672595132332
2170000,-71.6223568152154
2209000,-69.18582366609
2248000,-69.8300251755296
2287000,-71.1239600434113
2326000,-70.3644179251913
2365000,-68.543967252557
2404000,-66.7878483518028
2443000,-66.8897605341658
2482000,-65.441666727735
2521000,-70.679952119392
2560000,-64.9225115281191
2599000,-63.5413856961694
2638000,-68.2494584813371
2677000,-65.7031835299249
2716000,-68.0570197493681
2755000,-66.0322711323702
2794000,-66.415042629931
2833000,-68.8868256641346
2872000,-66.0460268509118
2911000,-68.4677174657904
2950000,-64.3746327324836
2989000,-62.9840497753774
3028000,-67.6813760116742
3067000,-65.0650388008561
3106000,-68.0954259541247
3145000,-64.5690628251364
3184000,-64.8550139652997
3223000,-68.5766387339932
3262000,-63.4111497161101
3301000,-69.5459765921972
3340000,-65.3114943113579
3379000,-65.8890257515215
3418000,-68.5821159543813
3457000,-64.1703150718535
3496000,-66.5555099053565
3535000,-64.071545164016
3574000,-66.787920223726
3613000,-68.6066193029808
3652000,-65.3538071979958
3691000,-68.8117070115301
3730000,-65.1977060078464
3769000,-67.2281919634815
3808000,-69.5638992305098
3847000,-65.8659740319786
3886000,-70.7148521011138
3925000,-65.6203033107094
3964000,-65.9562872564401
4003000,-71.2271313409256
4042000,-65.9368551414104
4081000,-70.1614575571459
4120000,-66.4062983667297
4159000,-67.5051306641259
4198000,-70.5924309163558
4237000,-66.7336437157346
4276000,-70.0321716796997
4315000,-69.6233450787665
4354000,-69.2539344710611
4393000,-69.5197529781958
4432000,-66.973161386274
4471000,-68.801969909351
4510000,-67.9122707930113
4549000,-70.5189857677308
4588000,-70.1729729963538
4627000,-72.0822708059188
4666000,-73.6316699195652
4705000,-69.8147058093603
4744000,-70.6475918067251
4783000,-72.0416593347862
4822000,-71.7032860176885
4861000,-71.4354231336071
4900000,-72.2610675799351
4939000,-73.7454215062168
4978000,-75.5185742837493
5017000,-72.1311489406685
5056000,-76.197686181192
5095000,-72.0575656990143
5134000,-73.5566684768883
5173000,-70.6848861131228
5212000,-68.9804857702092
5251000,-71.4333398589155
5290000,-71.9110478886664
5329000,-75.2818121633565
5368000,-74.5821540984115
5407000,-73.8786888586025
5446000,-74.2901054161229
5485000,-73.9806457939626
5524000,-70.8832778382471
5563000,-73.1775527658574
5602000,-74.0070194281821
5641000,-76.8449214583966
5680000,-74.4061129665156
5719000,-71.252001416369
5758000,-74.21287405691
5797000,-71.4930851963074
5836000,-73.3388036678001
5875000,-76.6076385521737
5914000,-76.6425596603224
5953000,-71.8635226091524
5992000,-68.3487220115173
6031000,-72.6686071703892
6070000,-72.6322755529248
6109000,-73.2481253050279
6148000,-71.9168881971572
6187000,-71.0483670928456
6226000,-74.1403878464134
6265000,-70.6609775236779
6304000,-70.1729026309027
6343000,-74.6229496645233
6382000,-70.9347852948646
6421000,-76.4943525327963
6460000,-72.0172926287246
6499000,-73.9105585174452
6538000,-74.6477431294169
6577000,-71.1284173035829
6616000,-73.4688068286407
6655000,-70.5655828989954
6694000,-69.2163830194068
6733000,-73.7189605609386
6772000,-70.3120307032185
6811000,-72.142294984103
6850000,-69.38621683447
6889000,-69.6109770444266
6928000,-71.5878227403505
6967000,-69.3487196541044
7006000,-74.1487175259333
7045000,-66.7395277370239
7084000,-67.5049147227731
7123000,-67.9697520728038
7162000,-65.962626470254
7201000,-71.526922935975
7240000,-69.796732713902
7279000,-72.116722685848
7318000,-72.4469782496817
7357000,-68.548235832112
7396000,-73.5198382487878
7435000,-70.0522773560836
7474000,-68.4953179322087
7513000,-69.9833011955674
7552000,-67.2074997696589
7591000,-73.4914220159623
7630000,-65.1243765025865
7669000,-67.8258904771669
7708000,-73.2440043707783
7747000,-66.3362692430562
7786000,-71.0555452213185
7825000,-69.993866122681
7864000,-72.0384705922574
7903000,-71.6195779504614
7942000,-67.9185091528725
7981000,-71.8750817690517
8020000,-67.1465252058333
8059000,-66.9279499730268
8098000,-67.1966933630067
8137000,-66.6832331446574
8176000,-73.0686410205669
8215000,-66.4564954510967
8254000,-69.9503100306316
8293000,-69.286678034937
8332000,-66.5995262348833
8371000,-72.5018507040598
8410000,-67.8345991621025
8449000,-67.7304703785904
8488000,-71.3955231038145
