Trace
Swept SA
A.12.13,N9010A
513 B25 DP2 RTL ,01
Segment,0
Number of Points,1001
Sweep Time,0.044
Start Frequency,1000000
Stop Frequency,40000000
Average Count,0
Average Type,LogPower(Video)
RBW,9100
RBW Filter,Gaussian
RBW Filter BW,3dB
VBW,9100
Sweep Type,Swept
X Axis Scale,Lin
PreAmp State,Off
PreAmp Band,Low
Trigger Source,Ext1
Trigger Level,1
Trigger Slope,Positive
Trigger Delay,0
Phase Noise Optimization,Fast
Swept If Gain,Low
FFT If Gain,Autorange
RF Coupling,AC
FFT Width,411900
Ext Ref,10000000
Input,RF
RF Calibrator,Off
Attenuation,10
Ref Level Offset,0
External Gain,0
Trace Type,Average
Detector,Sample
Trace Math,Off
Trace Math Oper1,Trace5
Trace Math Oper2,Trace6
Trace Math Offset,0
Trace Name,Trace1
X Axis Units,Hz
Y Axis Units,dBm
DATA
1000000,-61.5519497793943
1039000,-62.7509169313948
1078000,-62.5925018854668
1117000,-60.9721471554979
1156000,-62.2094916882847
1195000,-62.079892000937
1234000,-67.6779074687523
1273000,-63.6245803946751
1312000,-64.7821347335599
1351000,-66.0081639974515
1390000,-63.053822677842
1429000,-63.5700784578959
1468000,-61.8386791187993
1507000,-59.1083503004761
1546000,-59.3446558975708
1585000,-61.1330426741889
1624000,-63.8627344215477
1663000,-63.8222075721707
1702000,-66.4645629511488
1741000,-67.192045517387
1780000,-64.1274703616
1819000,-66.7821264714062
1858000,-66.3916037228888
1897000,-65.3207151704011
1936000,-64.4487367351647
1975000,-65.8825530622492
2014000,-68.7670738273527
2053000,-64.9546577657952
2092000,-62.8540618885119
2131000,-65.2726163519075
2170000,-65.9109031119649
2209000,-68.274185071247
2248000,-63.275137814754
2287000,-64.5066369513758
2326000,-63.4456803276044
2365000,-62.341347889239
2404000,-62.0649520051448
2443000,-64.8460121728556
2482000,-65.5086360296341
2521000,-65.3537044111492
2560000,-66.8968180878823
2599000,-65.3987936999727
2638000,-64.8536904977716
2677000,-65.89851414836
2716000,-66.3879629499544
2755000,-67.4051182422063
2794000,-68.3824318442919
2833000,-67.4580969691916
2872000,-63.4528968058758
2911000,-60.9982704399349
2950000,-62.3312377038347
2989000,-63.0301743802329
3028000,-65.343453305781
3067000,-65.6437055652803
3106000,-66.2249444882146
3145000,-67.5528324814777
3184000,-70.3696693078614
3223000,-67.5562810067639
3262000,-62.961221519241
3301000,-64.0574172971319
3340000,-64.232465569266
3379000,-66.6426113946595
3418000,-65.6603941800454
3457000,-67.8797227210131
3496000,-68.952331759086
3535000,-67.1375245884266
3574000,-67.2969243846948
3613000,-69.9335763851633
3652000,-70.629102227846
3691000,-66.9458970964521
3730000,-67.5139422805964
3769000,-71.4617068312267
3808000,-69.4751913553346
3847000,-66.2011741106524
3886000,-67.0608774735681
3925000,-66.281671710528
3964000,-68.0192993304029
4003000,-70.4542388637609
4042000,-66.7962561097995
4081000,-71.0319541249685
4120000,-68.3321755110799
4159000,-64.764963406238
4198000,-65.9864759562628
4237000,-68.4611564177803
4276000,-68.8835231892157
4315000,-68.0553007264503
4354000,-69.0302963971482
4393000,-70.9119289829782
4432000,-68.580476546381
4471000,-70.7340238868194
4510000,-69.2652375021739
4549000,-70.0186555196302
4588000,-71.8893799016181
4627000,-69.7919087970578
4666000,-68.0881085819839
4705000,-67.3194469452137
4744000,-69.1430996925332
4783000,-69.0214863587195
4822000,-70.6688667770025
4861000,-72.0878188719544
4900000,-70.3815823912847
4939000,-70.4147998146004
4978000,-68.6088744020114
5017000,-67.6712659632593
5056000,-70.5378669477488
5095000,-66.1763910426487
5134000,-68.528638966369
5173000,-71.4263628855754
5212000,-68.7205431848134
5251000,-68.7559599690525
5290000,-65.5279606809643
5329000,-66.0016444080436
5368000,-72.0733813595389
5407000,-68.2923377067999
5446000,-67.63985076879
5485000,-70.7717958544702
5524000,-67.7068043468892
5563000,-70.6113262710706
5602000,-72.6415191589594
5641000,-75.2780838196563
5680000,-71.2626168853361
5719000,-69.8414352563135
5758000,-68.3379097382567
5797000,-67.6750403036764
5836000,-70.0583618524922
5875000,-72.7420548986474
5914000,-71.3854495796077
5953000,-69.6262805706999
5992000,-70.2200864985514
6031000,-68.9489113171236
6070000,-70.2810857276049
6109000,-68.8200820015875
6148000,-67.3836694435169
6187000,-67.4736256481069
6226000,-71.7159978234762
6265000,-69.4977358946669
6304000,-70.7506043782963
6343000,-72.3585063996362
6382000,-67.3024521513251
6421000,-67.2451392052874
6460000,-69.3726293440548
6499000,-66.3111162953225
6538000,-66.8134074249415
6577000,-69.2468708714147
6616000,-68.6847992038613
6655000,-70.0657086525251
6694000,-72.0055912765643
6733000,-73.9490537542273
6772000,-72.5025036959155
6811000,-74.288777407604
6850000,-66.8727367972095
6889000,-68.1760292036579
6928000,-71.5410476867806
6967000,-71.7964876996996
7006000,-70.5838424031382
7045000,-67.2734492083519
7084000,-67.2554096671779
7123000,-69.2899049147826
7162000,-68.0664731676476
7201000,-71.5862060209322
7240000,-66.2107371814536
7279000,-69.2429700674376
7318000,-68.8474760679932
7357000,-67.5639046087608
7396000,-69.0750292361906
7435000,-65.3441295151525
7474000,-65.8081656267064
7513000,-68.7662506267489
7552000,-69.9623353332877
7591000,-70.6005837846945
7630000,-67.8655022023399
7669000,-68.1195169100495
7708000,-69.0717966667512
7747000,-66.959382487498
7786000,-68.767668031401
7825000,-65.0722410230755
7864000,-67.1872965468963
7903000,-69.031584682093
7942000,-66.4531695082358
7981000,-69.4688854559438
8020000,-67.580595240887
8059000,-69.1352935532015
8098000,-69.3094520204428
8137000,-65.7654600203902
8176000,-68.7405332891382
8215000,-67.8235857156606
8254000,-67.7514751987046
8293000,-68.7890598664781
8332000,-64.2934892174399
8371000,-71.4875909155409
8410000,-70.687134475836
8449000,-66.627812366266
8488000,-67.2431020464838
