Trace
Swept SA
A.12.13,N9010A
513 B25 DP2 RTL ,01
Segment,0
Number of Points,1001
Sweep Time,0.11
Start Frequency,9500000
Stop Frequency,10500000
Average Count,0
Average Type,LogPower(Video)
RBW,9100
RBW Filter,Gaussian
RBW Filter BW,3dB
VBW,9100
Sweep Type,Swept
X Axis Scale,Lin
PreAmp State,Off
PreAmp Band,Low
Trigger Source,Ext2
Trigger Level,1.2
Trigger Slope,Positive
Trigger Delay,0
Phase Noise Optimization,Narrow
Swept If Gain,Low
FFT If Gain,Autorange
RF Coupling,AC
FFT Width,411900
Ext Ref,10000000
Input,RF
RF Calibrator,Off
Attenuation,10
Ref Level Offset,0
External Gain,0
Trace Type,Average
Detector,Sample
Trace Math,Off
Trace Math Oper1,Trace5
Trace Math Oper2,Trace6
Trace Math Offset,0
Trace Name,Trace1
X Axis Units,Hz
Y Axis Units,dBm
DATA
9500000,-72.0603592816336
9501000,-70.1104949505984
9502000,-70.0651913604148
9503000,-71.2118059473926
9504000,-69.750668445239
9505000,-71.374356217227
9506000,-71.0578819403725
9507000,-69.9789584511476
9508000,-71.1719742586395
9509000,-69.0848986494033
9510000,-68.8057536308397
9511000,-70.1340293443567
9512000,-71.0004241048039
9513000,-69.0855334360717
9514000,-70.0774980203908
9515000,-68.0578504115821
9516000,-67.0880348244874
9517000,-69.6412836465999
9518000,-69.0939207841022
9519000,-70.8232295382235
9520000,-69.1162558546744
9521000,-69.3575244801541
9522000,-68.8881433845218
9523000,-66.5746024466929
9524000,-69.6796058196847
9525000,-67.9527965631719
9526000,-70.6772237253407
9527000,-73.2275813780372
9528000,-69.9662954388313
9529000,-72.4611748528452
9530000,-70.8582087807503
9531000,-69.7060631136597
9532000,-70.2325952738028
9533000,-71.1759981605513
9534000,-69.2645916380082
9535000,-70.5411656799881
9536000,-69.4683780027616
9537000,-69.5886815962425
9538000,-71.3441024600192
9539000,-70.2405637530611
9540000,-70.604759464446
9541000,-70.9882173359811
9542000,-70.8094488324506
9543000,-70.9424072452705
9544000,-69.9662351220794
9545000,-73.3263108137732
9546000,-71.5706382514984
9547000,-72.5037862643896
9548000,-69.4809202949341
9549000,-71.6738857876551
9550000,-70.1619620031569
9551000,-70.645532643837
9552000,-71.9023541696548
9553000,-70.1713858009272
9554000,-72.3408630434275
9555000,-71.1298106809248
9556000,-71.6603495175011
9557000,-70.1902131509444
9558000,-70.7732768699249
9559000,-70.1137414443727
9560000,-69.813464735307
9561000,-70.9720118881871
9562000,-71.2886124589319
9563000,-71.9151537492769
9564000,-71.1835139187395
9565000,-72.5629757638632
9566000,-73.2545454665386
9567000,-72.2765685331129
9568000,-73.1092878845493
9569000,-70.9154915075527
9570000,-69.4525576213267
9571000,-71.9813013255147
9572000,-70.4434587444915
9573000,-71.759137053634
9574000,-70.2703175519737
9575000,-69.3130979913657
9576000,-70.8280047253586
9577000,-71.9498854366105
9578000,-71.0506668099039
9579000,-72.6187214298549
9580000,-70.5740800621465
9581000,-68.9162791134138
9582000,-70.5703553902948
9583000,-70.1115976942664
9584000,-70.0864299666202
9585000,-74.1038978182797
9586000,-70.9932702218217
9587000,-71.0410191245686
9588000,-69.8273477900874
9589000,-71.6288464642216
9590000,-71.6709624925616
9591000,-71.5209517380445
9592000,-69.8210460899319
9593000,-69.3418615056202
9594000,-68.5717211392071
9595000,-69.9237033818139
9596000,-69.5767822159905
9597000,-69.6294693531752
9598000,-70.8900227915756
9599000,-68.304267056427
9600000,-69.5681908505988
9601000,-69.1427106193277
9602000,-68.4831098855599
9603000,-71.1977044715903
9604000,-69.0127090419087
9605000,-68.2380423185381
9606000,-70.4866430221448
9607000,-70.1641970190162
9608000,-67.2673942521036
9609000,-70.7780138643712
9610000,-69.9702460766629
9611000,-68.6472016060081
9612000,-68.5491400199433
9613000,-70.5898164250884
9614000,-69.8859968342295
9615000,-71.4681898154937
9616000,-69.2363877504995
9617000,-70.8257430757205
9618000,-68.3604064223594
9619000,-69.5900566468872
9620000,-68.3322107589864
9621000,-69.0010483337338
9622000,-69.1406821217611
9623000,-68.0187105606995
9624000,-69.3623401979679
9625000,-66.5559990936038
9626000,-69.7287609819768
9627000,-70.9342456865337
9628000,-67.7524869789851
9629000,-68.4886269671251
9630000,-69.5109661683275
9631000,-69.6347809351408
9632000,-68.4478755158496
9633000,-71.1656075785371
9634000,-69.4434592665026
9635000,-71.168226022108
9636000,-69.8752909520879
9637000,-68.8688649466578
9638000,-69.5355773535505
9639000,-70.3303911282427
9640000,-70.2742338228967
9641000,-70.9817018534466
9642000,-71.3586783204218
9643000,-70.623539182442
9644000,-70.4796972988832
9645000,-69.5938800109346
9646000,-71.6052394943611
9647000,-69.6531505648316
9648000,-69.538784443412
9649000,-69.7556666856682
9650000,-68.4949127857615
9651000,-71.0614968029757
9652000,-71.4208060083068
9653000,-70.6696626734117
9654000,-70.3572251421681
9655000,-70.6427251547189
9656000,-69.8999564087965
9657000,-68.7066783093588
9658000,-70.9332519852019
9659000,-72.9309963581403
9660000,-70.9999760067661
9661000,-70.6942923844184
9662000,-71.8906574504586
9663000,-70.723807250973
9664000,-72.1904749950421
9665000,-70.6578212162498
9666000,-69.5448880920436
9667000,-71.1301046390311
9668000,-70.6110142299793
9669000,-70.9717410068949
9670000,-69.6048305903528
9671000,-71.8660366353353
9672000,-72.2515428676988
9673000,-69.1304071361234
9674000,-70.9539740729494
9675000,-71.0565257095837
9676000,-71.9643059451604
9677000,-71.0391503405259
9678000,-70.0173584914199
9679000,-71.4283041764439
9680000,-70.05602812594
9681000,-71.4863196079362
9682000,-71.5071325043155
9683000,-72.202363189305
9684000,-70.5001766240976
9685000,-69.4443593522191
9686000,-72.0817289144008
9687000,-70.0870860007571
9688000,-70.6856383713428
9689000,-68.4259268137724
9690000,-68.3041719662967
9691000,-67.8926299166178
