Trace
Swept SA
A.12.13,N9010A
513 B25 DP2 RTL ,01
Segment,0
Number of Points,1001
Sweep Time,0.11
Start Frequency,9000000
Stop Frequency,11000000
Average Count,0
Average Type,LogPower(Video)
RBW,9100
RBW Filter,Gaussian
RBW Filter BW,3dB
VBW,9100
Sweep Type,Swept
X Axis Scale,Lin
PreAmp State,Off
PreAmp Band,Low
Trigger Source,Ext2
Trigger Level,1.2
Trigger Slope,Positive
Trigger Delay,0
Phase Noise Optimization,Narrow
Swept If Gain,Low
FFT If Gain,Autorange
RF Coupling,AC
FFT Width,411900
Ext Ref,10000000
Input,RF
RF Calibrator,Off
Attenuation,10
Ref Level Offset,0
External Gain,0
Trace Type,Average
Detector,Sample
Trace Math,Off
Trace Math Oper1,Trace5
Trace Math Oper2,Trace6
Trace Math Offset,0
Trace Name,Trace1
X Axis Units,Hz
Y Axis Units,dBm
DATA
9000000,-70.3143744432956
9002000,-70.8096095749553
9004000,-71.8327223699082
9006000,-69.4189737900203
9008000,-70.9531069951653
9010000,-68.6981610247061
9012000,-68.2639851038101
9014000,-72.1006207952455
9016000,-71.7809332571403
9018000,-69.0232841812131
9020000,-70.3617874024553
9022000,-68.6382111923426
9024000,-70.5508568798712
9026000,-71.325183550621
9028000,-70.858893644042
9030000,-69.1571512458961
9032000,-69.7581974990632
9034000,-71.269439243491
9036000,-72.6864382939356
9038000,-69.4565823941192
9040000,-70.3747818525626
9042000,-71.7614344922352
9044000,-73.181119043529
9046000,-73.1320092149535
9048000,-70.5299990459101
9050000,-69.2255354672041
9052000,-68.3670896280283
9054000,-69.2450089314593
9056000,-68.4453830787312
9058000,-70.0028111400462
9060000,-69.9460595900267
9062000,-69.5312694170594
9064000,-70.5592365597961
9066000,-72.6450357692792
9068000,-70.8168172736372
9070000,-71.6374315340356
9072000,-68.9833927738002
9074000,-70.9937910627032
9076000,-71.2256788846529
9078000,-69.7796669743617
9080000,-69.3999159682681
9082000,-70.6512111042028
9084000,-68.2938095903256
9086000,-69.7983318370319
9088000,-70.4218723865803
9090000,-70.5446185496028
9092000,-68.1080423312899
9094000,-69.052545213024
9096000,-71.310901230733
9098000,-70.5363522235132
9100000,-70.1481139994982
9102000,-72.3062931822567
9104000,-69.6220266816013
9106000,-70.2735886118499
9108000,-72.1086009425248
9110000,-70.3370611899675
9112000,-67.6205139671559
9114000,-68.0247421864667
9116000,-65.0220124347064
9118000,-64.819768745329
9120000,-67.8412327708133
9122000,-67.3949301036147
9124000,-66.3895091320626
9126000,-68.4910942167478
9128000,-68.7489263370305
9130000,-68.3602874076997
9132000,-70.5224629405163
9134000,-67.5556693342588
9136000,-69.7212091893297
9138000,-70.268991076819
9140000,-70.317368705067
9142000,-71.557890441602
9144000,-69.2539352422471
9146000,-70.1673087295989
9148000,-68.4967509184154
9150000,-69.6921000335244
9152000,-69.1033406771373
9154000,-71.1608686124517
9156000,-70.0951165923596
9158000,-69.8217578673106
9160000,-69.7632390021304
9162000,-70.8514301752718
9164000,-70.6737971549955
9166000,-67.7124020914513
9168000,-69.6066241019199
9170000,-67.2547055483964
9172000,-66.9188709275783
9174000,-69.027726595676
9176000,-72.4341211903767
9178000,-70.7047901585918
9180000,-70.080846308601
9182000,-70.3396367440104
9184000,-71.8785294705544
9186000,-69.5097275441594
9188000,-74.2450104467909
9190000,-72.6554015678878
9192000,-69.5509722170886
9194000,-73.4948949752184
9196000,-71.2786073748304
9198000,-70.6722892370813
9200000,-70.2391135927639
9202000,-70.3979936476729
9204000,-69.5037643745699
9206000,-68.952899332002
9208000,-68.8943749557502
9210000,-69.7967982249675
9212000,-69.4775449270906
9214000,-69.1455248268631
9216000,-68.9994418157582
9218000,-68.8768546211899
9220000,-69.6851529875577
9222000,-68.689418641846
9224000,-69.6510527849318
9226000,-70.0340426452548
9228000,-66.9140774738914
9230000,-67.7356962789975
9232000,-68.2886257981775
9234000,-68.3394290447103
9236000,-68.5295831025889
9238000,-68.9382318866362
9240000,-69.581071943773
9242000,-68.5976399289264
9244000,-71.1320863603422
9246000,-71.1238854846088
9248000,-69.8468866348399
9250000,-70.0395218819349
9252000,-69.5456547290858
9254000,-71.9969668151244
9256000,-70.3405617442636
9258000,-71.9553281542005
9260000,-69.1834146948277
9262000,-69.7737024204361
9264000,-67.5277311037457
9266000,-68.0628171930388
9268000,-71.6130514687994
9270000,-70.0229654200408
9272000,-69.2081613002668
9274000,-71.487671260309
9276000,-69.7215163456713
9278000,-69.677709082178
9280000,-70.4823712877238
9282000,-70.499530160018
9284000,-72.2793884385317
9286000,-69.0368960409107
9288000,-70.8278338634888
9290000,-70.6120409170491
9292000,-69.2939998284177
9294000,-72.333163567203
9296000,-72.4099991322523
9298000,-68.4228494965757
9300000,-68.9738486904789
9302000,-68.4292789227092
9304000,-68.0577761107967
9306000,-68.4095192590128
9308000,-69.4328089658223
9310000,-70.1600531355374
9312000,-70.3298124505148
9314000,-70.486302013676
9316000,-70.311849961643
9318000,-72.1357244762864
9320000,-69.3410250061461
9322000,-69.4667466438483
9324000,-69.691508597583
9326000,-70.9830010028297
9328000,-69.0586736792004
9330000,-68.8594430592971
9332000,-70.0551373522084
9334000,-68.431039299032
9336000,-68.8539243270213
9338000,-69.7524537841189
9340000,-69.7565090353773
9342000,-69.7304897885379
9344000,-71.2713606844894
9346000,-68.094681135679
9348000,-66.1825926869762
9350000,-68.2838644790051
9352000,-68.0083533193203
9354000,-69.9457096444023
9356000,-71.141538143875
9358000,-70.3874127590745
9360000,-69.7226071519797
9362000,-71.61840067026
9364000,-72.2004632019553
9366000,-72.7489886265687
9368000,-70.7217999907885
9370000,-70.4797948501336
9372000,-69.4108009185912
9374000,-70.128589482252
9376000,-68.7499161625233
9378000,-67.5876448941818
9380000,-68.4922038295825
9382000,-64.8231116095088
9384000,-66.826003314911
