Trace
Swept SA
A.12.13,N9010A
513 B25 DP2 RTL ,01
Segment,0
Number of Points,1001
Sweep Time,0.11
Start Frequency,9000000
Stop Frequency,11000000
Average Count,0
Average Type,LogPower(Video)
RBW,9100
RBW Filter,Gaussian
RBW Filter BW,3dB
VBW,9100
Sweep Type,Swept
X Axis Scale,Lin
PreAmp State,Off
PreAmp Band,Low
Trigger Source,Ext2
Trigger Level,1.2
Trigger Slope,Positive
Trigger Delay,0
Phase Noise Optimization,Narrow
Swept If Gain,Low
FFT If Gain,Autorange
RF Coupling,AC
FFT Width,411900
Ext Ref,10000000
Input,RF
RF Calibrator,Off
Attenuation,10
Ref Level Offset,0
External Gain,0
Trace Type,Average
Detector,Sample
Trace Math,Off
Trace Math Oper1,Trace5
Trace Math Oper2,Trace6
Trace Math Offset,0
Trace Name,Trace1
X Axis Units,Hz
Y Axis Units,dBm
DATA
9000000,-69.789680625544
9002000,-70.7686461876014
9004000,-70.7287601089386
9006000,-73.2417417797191
9008000,-73.0243438063454
9010000,-69.3673471554887
9012000,-69.6291706339715
9014000,-68.9403324902647
9016000,-69.2962527167393
9018000,-68.66175020818
9020000,-69.2987041311243
9022000,-68.9576354300959
9024000,-68.7457678898588
9026000,-67.086045191454
9028000,-66.9960962017442
9030000,-69.8150563101503
9032000,-68.4345889289215
9034000,-69.2596380530524
9036000,-69.2651725824465
9038000,-70.3285260726082
9040000,-69.3048626760294
9042000,-68.6031049598116
9044000,-67.6759007113098
9046000,-69.4429666849362
9048000,-69.2214676558922
9050000,-68.0175657245183
9052000,-69.2333297016326
9054000,-68.93178675747
9056000,-68.8497825117007
9058000,-69.2787966682694
9060000,-67.882014231689
9062000,-70.0712402253102
9064000,-67.6428459393517
9066000,-67.2660785267869
9068000,-67.3522699378239
9070000,-69.6443370810822
9072000,-70.2025878704725
9074000,-69.3504928557752
9076000,-70.4610330264897
9078000,-67.7898053040988
9080000,-70.3123162424586
9082000,-71.7322666271339
9084000,-68.7149745679859
9086000,-69.8337517714662
9088000,-69.0478829604791
9090000,-74.4838996648394
9092000,-70.7565330442361
9094000,-71.0669018223833
9096000,-69.8642815511232
9098000,-69.1994925350788
9100000,-69.706356591555
9102000,-69.8614508803408
9104000,-70.4818785472176
9106000,-70.7766462306382
9108000,-69.8704066277107
9110000,-71.1786438348547
9112000,-69.2120283114503
9114000,-70.8590309262024
9116000,-71.6233295362604
9118000,-70.5393764676537
9120000,-68.8661056571911
9122000,-71.9949330850534
9124000,-69.6382665895339
9126000,-70.5118078992134
9128000,-69.5638051999964
9130000,-69.0126102654319
9132000,-69.2521243308263
9134000,-68.7692584067305
9136000,-69.1704837197531
9138000,-69.3072924622032
9140000,-67.7784764509229
9142000,-69.8935139073379
9144000,-67.5911510605915
9146000,-67.8292004900597
9148000,-69.4443260589415
9150000,-69.5131436023769
9152000,-67.1538545638331
9154000,-66.9252324389619
9156000,-69.1223875205628
9158000,-68.9611491597599
9160000,-68.2439356197299
9162000,-68.8483918140058
9164000,-71.9709178472687
9166000,-71.6393974874538
9168000,-71.7739041601994
9170000,-70.0333937920247
9172000,-70.7353938412118
9174000,-67.5510000729485
9176000,-67.4572561593355
9178000,-67.5411450196006
9180000,-65.6561189409517
9182000,-67.397526534954
9184000,-67.3516663682789
9186000,-69.3299111684316
9188000,-68.8140509886105
9190000,-72.9067424707607
9192000,-69.8096463314267
9194000,-68.8405608464919
9196000,-70.1853112154539
9198000,-70.2126804221708
9200000,-69.7907364978029
9202000,-68.8728224737386
9204000,-68.3269400443121
9206000,-69.5262806230348
9208000,-67.7895501240748
9210000,-66.6096621082145
9212000,-67.3963821252867
9214000,-69.4758317282438
9216000,-69.3427917483936
9218000,-71.5718444754946
9220000,-69.3507707041782
9222000,-68.5253849304861
9224000,-70.1146255476038
9226000,-68.0062234563515
9228000,-68.171629297485
9230000,-69.1056155870653
9232000,-69.1949417004755
9234000,-69.2630218078067
9236000,-69.2266519519566
9238000,-71.2065081954157
9240000,-69.6854119723033
9242000,-68.3385254756799
9244000,-67.6650806188391
9246000,-68.3360843197441
9248000,-68.4409179842098
9250000,-68.4515493241944
9252000,-67.4345404782826
9254000,-67.5319237300726
9256000,-64.8994148575442
9258000,-67.9089277954196
9260000,-69.8735208125256
9262000,-68.819516594604
9264000,-69.6017601592626
9266000,-69.573841167922
9268000,-71.0723266169888
9270000,-69.1965595291818
9272000,-69.9258594581255
9274000,-67.726889406123
9276000,-69.8926208353869
9278000,-70.2500275098192
9280000,-68.4487299498618
9282000,-70.2976589860238
9284000,-69.3311168235123
9286000,-68.9802447152613
9288000,-69.83570840606
9290000,-71.4850442102101
9292000,-70.3098092630952
9294000,-70.1688221987728
9296000,-71.2052601293099
9298000,-70.7232920084249
9300000,-69.9908881507306
9302000,-69.1976008030717
9304000,-68.7790586651196
9306000,-70.1216072768503
9308000,-69.3974922807672
9310000,-67.9119471054397
9312000,-67.6341273663328
9314000,-67.2610110655462
9316000,-66.3753306643528
9318000,-65.9816706758986
9320000,-64.870356546532
9322000,-64.2460852202788
9324000,-67.8424167580461
9326000,-66.432741132886
9328000,-68.7136363486937
9330000,-68.4587806940805
9332000,-70.6174126970814
9334000,-69.9964713153451
9336000,-69.8267185895954
9338000,-67.3998415843408
9340000,-66.9359274779195
9342000,-67.1280047638783
9344000,-65.5315108181713
9346000,-66.9915840835979
9348000,-68.7935392629601
9350000,-69.6986412020338
9352000,-68.6554238862572
9354000,-68.5227539165369
9356000,-65.0655470523226
9358000,-66.8004761984692
9360000,-68.2013460018393
9362000,-68.4842145525871
9364000,-66.5851482470624
9366000,-67.4340940443601
9368000,-69.0106430296255
9370000,-70.5738253597147
9372000,-68.2646723560693
9374000,-68.6086539095696
9376000,-70.3244897553705
9378000,-69.6772970197605
9380000,-71.054661754707
9382000,-69.0224303594027
