Trace
Swept SA
A.12.13,N9010A
513 B25 DP2 RTL ,01
Segment,0
Number of Points,1001
Sweep Time,0.11
Start Frequency,9000000
Stop Frequency,11000000
Average Count,0
Average Type,LogPower(Video)
RBW,9100
RBW Filter,Gaussian
RBW Filter BW,3dB
VBW,9100
Sweep Type,Swept
X Axis Scale,Lin
PreAmp State,Off
PreAmp Band,Low
Trigger Source,Ext2
Trigger Level,1.2
Trigger Slope,Positive
Trigger Delay,0
Phase Noise Optimization,Narrow
Swept If Gain,Low
FFT If Gain,Autorange
RF Coupling,AC
FFT Width,411900
Ext Ref,10000000
Input,RF
RF Calibrator,Off
Attenuation,10
Ref Level Offset,0
External Gain,0
Trace Type,Average
Detector,Sample
Trace Math,Off
Trace Math Oper1,Trace5
Trace Math Oper2,Trace6
Trace Math Offset,0
Trace Name,Trace1
X Axis Units,Hz
Y Axis Units,dBm
DATA
9000000,-73.2793707441028
9002000,-73.1948949389838
9004000,-72.6186581534102
9006000,-72.6923762635764
9008000,-70.9476457118337
9010000,-73.3563140164305
9012000,-72.799568824606
9014000,-72.2442520544547
9016000,-73.250128359599
9018000,-73.2635685956657
9020000,-73.6730466774243
9022000,-72.3081720499782
9024000,-73.0228800207577
9026000,-69.9404792634958
9028000,-71.2663334969072
9030000,-70.4741385099376
9032000,-72.724476281404
9034000,-70.1555396736316
9036000,-72.6080213795736
9038000,-73.9458484265939
9040000,-72.4382075893198
9042000,-70.6786243447398
9044000,-70.4949503112414
9046000,-69.9179402784762
9048000,-70.2115777431649
9050000,-71.3419517721455
9052000,-70.2610629282123
9054000,-69.9112998939259
9056000,-73.0583559643415
9058000,-71.1996704711175
9060000,-72.7095438463234
9062000,-70.6183273409229
9064000,-70.1042602532938
9066000,-74.3286986083872
9068000,-71.1930791647952
9070000,-72.0228741609163
9072000,-69.7934170948316
9074000,-70.5282067872995
9076000,-71.3002178465528
9078000,-69.6257175656085
9080000,-71.1835292309791
9082000,-71.7835710066624
9084000,-70.4341801663739
9086000,-72.2711978020495
9088000,-74.8567814152822
9090000,-72.2781533334981
9092000,-70.9243877182535
9094000,-71.9936612407811
9096000,-72.2252166353727
9098000,-72.934856195018
9100000,-72.4861107669752
9102000,-71.8478464890044
9104000,-70.9128232691339
9106000,-72.0444743803905
9108000,-71.9490049897387
9110000,-73.638153670376
9112000,-72.6673284743693
9114000,-74.5878373475415
9116000,-73.8736843478188
9118000,-72.2802051074106
9120000,-72.6781086061629
9122000,-72.2176223574714
9124000,-71.6479677499697
9126000,-70.8455349354862
9128000,-70.6877759197387
9130000,-71.7659592283912
9132000,-69.9066371006668
9134000,-71.651520361621
9136000,-72.623079447439
9138000,-72.0128200930805
9140000,-72.8792150730719
9142000,-70.1388978646195
9144000,-71.7682006328886
9146000,-71.1364183691517
9148000,-69.003386682445
9150000,-70.5817832602352
9152000,-70.9373074022621
9154000,-70.8420206034993
9156000,-71.3065696251855
9158000,-73.0665309932649
9160000,-70.6708876726025
9162000,-69.7645672378931
9164000,-70.1657862069416
9166000,-69.9447360968658
9168000,-69.6134017893615
9170000,-71.7174299646614
9172000,-72.3700195400673
9174000,-71.0386085584692
9176000,-71.1989033534855
9178000,-71.4261409512373
9180000,-71.4015162375003
9182000,-69.3381047985444
9184000,-71.0896493094426
9186000,-70.8530413584633
9188000,-73.4584297589811
9190000,-71.5444652766095
9192000,-72.6345933072073
9194000,-71.1569329133261
9196000,-71.0879654988858
9198000,-71.2280923615273
9200000,-73.2120047906373
9202000,-71.5934675238797
9204000,-72.5335416044918
9206000,-71.2514370976534
9208000,-71.0212055087597
9210000,-70.9703317541688
9212000,-72.7821587056827
9214000,-71.9873981116611
9216000,-72.2526948427622
9218000,-72.82634366498
9220000,-70.7552828381037
9222000,-72.0329342768691
9224000,-71.8341239214122
9226000,-70.6245263378869
9228000,-70.1471875419674
9230000,-71.4374730722143
9232000,-71.0341641022996
9234000,-70.7858909997222
9236000,-73.2693489460721
9238000,-70.8990819890214
9240000,-71.0924641599849
9242000,-69.5578946948115
9244000,-69.8919416725112
9246000,-71.588680129675
9248000,-70.3968405317157
9250000,-71.3453346344982
9252000,-69.5990521753684
9254000,-70.51003262806
9256000,-71.4300003684886
9258000,-70.97697696179
9260000,-69.9611159451438
9262000,-71.4529506134243
9264000,-71.0299222588256
9266000,-71.6263080618162
9268000,-70.996828317001
9270000,-70.3460592476982
9272000,-71.3279560676986
9274000,-71.6914382198601
9276000,-73.2851376129424
9278000,-70.5191266661324
9280000,-71.9863007972629
9282000,-70.9387479637999
9284000,-70.7130231415565
9286000,-73.6259793498996
9288000,-74.3662823558552
9290000,-71.7372760804287
9292000,-71.7889136070543
9294000,-72.5535619060044
9296000,-71.0796811372167
9298000,-73.6977790471664
9300000,-75.0857998987035
9302000,-70.9634863856059
9304000,-69.9134086521128
9306000,-73.3155738567466
9308000,-72.6057135877534
9310000,-73.3034060359198
9312000,-70.8157650881553
9314000,-71.7923235813462
9316000,-70.1059582175699
9318000,-71.0477502760141
9320000,-70.677722327893
9322000,-70.1076740667374
9324000,-70.0729190060668
9326000,-70.6273323871044
9328000,-71.5310718448493
9330000,-70.3875825905558
9332000,-72.234306759848
9334000,-70.0618218089116
9336000,-67.7407625769192
9338000,-69.3960076794914
9340000,-68.9066062915679
9342000,-69.700846512745
9344000,-71.7043310935476
9346000,-71.5076159385383
9348000,-69.3812749906318
9350000,-72.2610391250685
9352000,-70.457485065488
9354000,-70.8045295441398
9356000,-70.0676106096758
9358000,-70.4243372566085
9360000,-70.1050457172092
9362000,-71.7703249284071
9364000,-68.5143499056636
9366000,-71.7988334582219
9368000,-71.4000306752651
9370000,-73.4692274321968
9372000,-72.8955716201013
9374000,-72.1569985221499
9376000,-71.7099172405114
9378000,-71.7197604033284
9380000,-72.7029555172227
9382000,-71.4451610358389
