Trace
Swept SA
A.12.13,N9010A
513 B25 DP2 RTL ,01
Segment,0
Number of Points,1001
Sweep Time,0.11
Start Frequency,9000000
Stop Frequency,11000000
Average Count,0
Average Type,LogPower(Video)
RBW,9100
RBW Filter,Gaussian
RBW Filter BW,3dB
VBW,9100
Sweep Type,Swept
X Axis Scale,Lin
PreAmp State,Off
PreAmp Band,Low
Trigger Source,Ext2
Trigger Level,1.2
Trigger Slope,Positive
Trigger Delay,0
Phase Noise Optimization,Narrow
Swept If Gain,Low
FFT If Gain,Autorange
RF Coupling,AC
FFT Width,411900
Ext Ref,10000000
Input,RF
RF Calibrator,Off
Attenuation,10
Ref Level Offset,0
External Gain,0
Trace Type,Average
Detector,Sample
Trace Math,Off
Trace Math Oper1,Trace5
Trace Math Oper2,Trace6
Trace Math Offset,0
Trace Name,Trace1
X Axis Units,Hz
Y Axis Units,dBm
DATA
9000000,-72.1977685378761
9002000,-71.9838777497906
9004000,-72.8135591903649
9006000,-70.9901358646824
9008000,-70.7789151309945
9010000,-69.6149645612884
9012000,-70.1288881064857
9014000,-68.6714657850321
9016000,-71.9691044818695
9018000,-73.2817747828003
9020000,-71.5119595017998
9022000,-72.3781357337041
9024000,-71.4865524385827
9026000,-69.7986711592966
9028000,-70.6795089457452
9030000,-69.1840075235235
9032000,-69.9378027978474
9034000,-69.0615280544995
9036000,-69.0764138517356
9038000,-67.966483648069
9040000,-69.4672294318961
9042000,-68.9891621245894
9044000,-68.2386885025135
9046000,-69.2848732366938
9048000,-71.2069345223138
9050000,-70.9401536290564
9052000,-69.408588233358
9054000,-68.2503593877339
9056000,-66.9364606837622
9058000,-67.7965630453567
9060000,-68.691536779144
9062000,-68.5850229127808
9064000,-71.2613173338772
9066000,-71.3679824765435
9068000,-70.9501822458241
9070000,-69.9220588949397
9072000,-69.0029112447702
9074000,-69.203295025716
9076000,-70.0527214786593
9078000,-73.3007803129553
9080000,-70.9384500919286
9082000,-71.2759036156659
9084000,-71.3764549210164
9086000,-71.7796740020923
9088000,-72.3173992381138
9090000,-72.6548108693778
9092000,-73.6020046429916
9094000,-72.3372210988473
9096000,-71.9833080588747
9098000,-71.1181191826189
9100000,-71.1852742974013
9102000,-70.3104829100584
9104000,-70.4535752000096
9106000,-70.6424794304272
9108000,-70.4260952581294
9110000,-70.9751440066892
9112000,-71.8213051029209
9114000,-70.1195676626079
9116000,-71.2834807437018
9118000,-71.7132260715636
9120000,-72.4002247250701
9122000,-71.5743121079472
9124000,-72.0732054756593
9126000,-70.2407639144169
9128000,-69.2865839676892
9130000,-71.4194684201784
9132000,-69.8097576985653
9134000,-68.9297191062296
9136000,-69.0245837234733
9138000,-69.7767589016526
9140000,-70.4099433714725
9142000,-68.876457759506
9144000,-67.18942005841
9146000,-69.8488992304565
9148000,-71.3285271975722
9150000,-71.3331781523587
9152000,-68.9826799110527
9154000,-71.3957369630754
9156000,-72.6118763160145
9158000,-70.515383427033
9160000,-69.1398438740612
9162000,-66.0363589839218
9164000,-66.2388041705326
9166000,-66.3664497506767
9168000,-67.8269431947344
9170000,-70.669067366697
9172000,-70.1058407244998
9174000,-68.8086116690639
9176000,-70.7747352753632
9178000,-71.7385915172573
9180000,-73.5227434554536
9182000,-71.3259020928293
9184000,-70.474515435848
9186000,-69.9313404638037
9188000,-71.1338292350545
9190000,-67.6602055311431
9192000,-69.1394636996106
9194000,-68.7809126256666
9196000,-69.3281557283915
9198000,-69.9404993322623
9200000,-70.5938494162064
9202000,-71.7441782376961
9204000,-70.7721708585656
9206000,-71.4429095360457
9208000,-72.8148192725532
9210000,-72.9060906581693
9212000,-72.6310140765757
9214000,-71.1706469586798
9216000,-70.3336488227611
9218000,-70.6450882201248
9220000,-69.4402846378451
9222000,-71.3295455189657
9224000,-72.5448197933361
9226000,-71.1365622419834
9228000,-69.1055138352207
9230000,-68.0179591232802
9232000,-66.7939296795654
9234000,-65.6972399777572
9236000,-66.7405306181857
9238000,-65.0592212207917
9240000,-67.8839973518437
9242000,-69.7282386763286
9244000,-69.349469266393
9246000,-69.4553944524732
9248000,-71.068144191493
9250000,-69.1357336012832
9252000,-69.3006200361776
9254000,-68.2548248206013
9256000,-68.4450442340036
9258000,-68.1605154301745
9260000,-67.7156260116673
9262000,-69.1474514545138
9264000,-68.3399981727539
9266000,-70.7315022037457
9268000,-71.0378811602252
9270000,-70.1024510926101
9272000,-69.6201060713449
9274000,-68.3954772531569
9276000,-72.3281361892063
9278000,-70.4433090330985
9280000,-71.5036237073229
9282000,-70.1835337195337
9284000,-71.3143224711002
9286000,-71.4081337060179
9288000,-70.2374848827243
9290000,-69.5696105517926
9292000,-70.0767705991334
9294000,-71.215782362193
9296000,-72.4989968587958
9298000,-70.8758067628817
9300000,-69.7518622890799
9302000,-70.6300162304151
9304000,-69.2504744090827
9306000,-70.4636377058729
9308000,-71.136285277886
9310000,-68.5698375859081
9312000,-71.2828894843538
9314000,-69.7233796296539
9316000,-70.7174584452958
9318000,-70.2537715899411
9320000,-72.754060332185
9322000,-70.3090760909239
9324000,-70.0700543939792
9326000,-69.3529232861061
9328000,-67.298359087844
9330000,-67.5926187796437
9332000,-68.1512383916858
9334000,-66.284897247558
9336000,-64.7012873046235
9338000,-66.0210271581355
9340000,-65.592482522368
9342000,-65.0490334858918
9344000,-66.9267553823345
9346000,-68.2592639986008
9348000,-70.8020159664219
9350000,-71.3350509588423
9352000,-68.8411569243737
9354000,-70.8371312155114
9356000,-70.1623347849834
9358000,-70.1729036879851
9360000,-69.5745246398218
9362000,-69.8537586408793
9364000,-71.636876312354
9366000,-71.2938519697258
9368000,-71.5399115696956
9370000,-72.9154915178453
9372000,-73.139849574988
9374000,-71.4802177485264
9376000,-71.4633350560544
9378000,-69.2473462731622
9380000,-69.5756415729063
9382000,-66.5531400994484
