Trace
Swept SA
A.12.13,N9010A
513 B25 DP2 RTL ,01
Segment,0
Number of Points,1001
Sweep Time,0.11
Start Frequency,9000000
Stop Frequency,11000000
Average Count,0
Average Type,LogPower(Video)
RBW,9100
RBW Filter,Gaussian
RBW Filter BW,3dB
VBW,9100
Sweep Type,Swept
X Axis Scale,Lin
PreAmp State,Off
PreAmp Band,Low
Trigger Source,Ext2
Trigger Level,1.2
Trigger Slope,Positive
Trigger Delay,0
Phase Noise Optimization,Narrow
Swept If Gain,Low
FFT If Gain,Autorange
RF Coupling,AC
FFT Width,411900
Ext Ref,10000000
Input,RF
RF Calibrator,Off
Attenuation,10
Ref Level Offset,0
External Gain,0
Trace Type,Average
Detector,Sample
Trace Math,Off
Trace Math Oper1,Trace5
Trace Math Oper2,Trace6
Trace Math Offset,0
Trace Name,Trace1
X Axis Units,Hz
Y Axis Units,dBm
DATA
9000000,-74.9883489235005
9002000,-74.8599058623402
9004000,-72.8396527302008
9006000,-71.7748234726412
9008000,-72.1387315349427
9010000,-71.9324979255098
9012000,-74.2878701884579
9014000,-73.7261055695418
9016000,-74.1337377527086
9018000,-72.8148048215208
9020000,-74.0012116391333
9022000,-72.5052891375754
9024000,-71.4997855331069
9026000,-71.0818120500536
9028000,-71.5572376653901
9030000,-71.3227007291014
9032000,-73.3735266200037
9034000,-69.4960438309076
9036000,-73.2536755871143
9038000,-72.5500814276163
9040000,-71.6990336491125
9042000,-71.482681364486
9044000,-72.5606543182863
9046000,-69.6450491122955
9048000,-70.2535823025465
9050000,-71.5727904340733
9052000,-70.9044802082203
9054000,-71.6581245879376
9056000,-71.7168379287554
9058000,-71.0451356002577
9060000,-71.2885190608197
9062000,-70.2033384659108
9064000,-71.2818212332678
9066000,-70.3182091162853
9068000,-72.2002128913482
9070000,-72.2436720675899
9072000,-74.0423371040983
9074000,-71.3163704064024
9076000,-73.8331493504081
9078000,-70.3467407601872
9080000,-71.6241169180521
9082000,-71.4255153297264
9084000,-71.8991876356968
9086000,-74.3878465235075
9088000,-73.3239256727261
9090000,-73.2776852379502
9092000,-72.1489955778193
9094000,-73.4681989447534
9096000,-73.686510529762
9098000,-73.3423926222387
9100000,-71.7075183857255
9102000,-74.6535272615331
9104000,-74.4427440454922
9106000,-73.1998975366285
9108000,-72.0800481504411
9110000,-72.7502533811611
9112000,-73.0415682121667
9114000,-71.8199520140176
9116000,-72.7932792523816
9118000,-70.2384990708921
9120000,-72.4531482952286
9122000,-72.3305864942624
9124000,-71.7051593943414
9126000,-69.9638884657404
9128000,-71.1863847241147
9130000,-69.2346725125789
9132000,-70.780747300149
9134000,-72.2594392794182
9136000,-71.2195418453355
9138000,-69.0628672678398
9140000,-71.998498327853
9142000,-70.9362950475593
9144000,-69.4163701566386
9146000,-68.9447056957496
9148000,-70.7211895167945
9150000,-71.0115698866183
9152000,-71.9687328396333
9154000,-72.981936815564
9156000,-70.1429637571303
9158000,-71.8851941784419
9160000,-70.1994397148442
9162000,-71.7808779942133
9164000,-70.9342807166378
9166000,-70.1277152310662
9168000,-72.0325272314021
9170000,-70.7487759322011
9172000,-69.9573448534819
9174000,-71.8073743775488
9176000,-72.6069162794444
9178000,-73.0650384147829
9180000,-72.5510054167957
9182000,-72.441725950669
9184000,-72.4563478120829
9186000,-73.3802308429732
9188000,-73.5772783689228
9190000,-73.6006529404705
9192000,-71.2710050982446
9194000,-75.2250291198457
9196000,-72.9343441140766
9198000,-74.8179740714716
9200000,-73.3381159792689
9202000,-71.7081801167052
9204000,-72.6016477263772
9206000,-71.6206914202275
9208000,-73.8160361677228
9210000,-75.1229094486304
9212000,-72.9511439344296
9214000,-72.4038929649723
9216000,-70.3769167067388
9218000,-70.7244518583712
9220000,-71.2257439323645
9222000,-71.1669003772943
9224000,-70.1713465396715
9226000,-70.6620400691067
9228000,-69.1408747636269
9230000,-69.715294966959
9232000,-70.5619341271095
9234000,-70.4722125265179
9236000,-69.7620691464169
9238000,-70.4716795035478
9240000,-70.0114549893114
9242000,-72.0723535845581
9244000,-70.5766853502813
9246000,-71.226570425509
9248000,-69.2912339776551
9250000,-71.341474818309
9252000,-70.1212532445283
9254000,-70.4190561679328
9256000,-71.7659176787692
9258000,-71.7351294504083
9260000,-71.4835394919368
9262000,-71.0768229912436
9264000,-70.8752747432189
9266000,-71.1833831663607
9268000,-70.6267810484892
9270000,-71.420556619618
9272000,-72.2666345640989
9274000,-72.9158300888764
9276000,-72.0868417017586
9278000,-72.1092615792061
9280000,-72.1122918488205
9282000,-72.0325642941171
9284000,-73.2910668003589
9286000,-71.7705826388482
9288000,-74.2216192728421
9290000,-71.1885124746488
9292000,-71.1120814278746
9294000,-72.6111913670151
9296000,-72.0577061962078
9298000,-72.5549727809792
9300000,-72.9675188085166
9302000,-71.7234445510113
9304000,-71.7981935713144
9306000,-73.06464113002
9308000,-71.3699002683063
9310000,-70.6523910506968
9312000,-70.5134206965996
9314000,-71.4090221787186
9316000,-71.9040752717539
9318000,-70.7959709101766
9320000,-71.4756701128278
9322000,-69.9389123351698
9324000,-71.7665597517022
9326000,-69.8852716241465
9328000,-68.7534380004974
9330000,-69.1944151068962
9332000,-69.1300842660946
9334000,-70.3636605549833
9336000,-68.6192660450791
9338000,-70.0596511333943
9340000,-69.5877299879763
9342000,-68.4287311145108
9344000,-68.8895477782358
9346000,-71.619729941947
9348000,-69.7578988634696
9350000,-70.9383870391419
9352000,-70.2172504751318
9354000,-70.8065756268914
9356000,-70.5842111123668
9358000,-70.8156041797613
9360000,-69.7371481687245
9362000,-73.1693980253431
9364000,-70.3460928596352
9366000,-72.3179730624978
9368000,-70.7428406619656
9370000,-71.3077869200849
9372000,-72.4867936836326
9374000,-72.9536960663969
9376000,-72.8390061499653
9378000,-74.465672182641
9380000,-73.453388485198
9382000,-71.1321534732711
