Trace
Swept SA
A.12.13,N9010A
513 B25 DP2 RTL ,01
Segment,0
Number of Points,1001
Sweep Time,0.11
Start Frequency,9000000
Stop Frequency,11000000
Average Count,0
Average Type,LogPower(Video)
RBW,9100
RBW Filter,Gaussian
RBW Filter BW,3dB
VBW,9100
Sweep Type,Swept
X Axis Scale,Lin
PreAmp State,Off
PreAmp Band,Low
Trigger Source,Ext2
Trigger Level,1.2
Trigger Slope,Positive
Trigger Delay,0
Phase Noise Optimization,Narrow
Swept If Gain,Low
FFT If Gain,Autorange
RF Coupling,AC
FFT Width,411900
Ext Ref,10000000
Input,RF
RF Calibrator,Off
Attenuation,10
Ref Level Offset,0
External Gain,0
Trace Type,Average
Detector,Sample
Trace Math,Off
Trace Math Oper1,Trace5
Trace Math Oper2,Trace6
Trace Math Offset,0
Trace Name,Trace1
X Axis Units,Hz
Y Axis Units,dBm
DATA
9000000,-72.2966727340906
9002000,-71.8186818134691
9004000,-71.9144317541198
9006000,-71.9095856725443
9008000,-72.25775878774
9010000,-71.7026454808682
9012000,-71.0804312693046
9014000,-69.7512670117336
9016000,-72.3239461772731
9018000,-70.2399852745024
9020000,-69.9977950498568
9022000,-72.2261700445293
9024000,-72.8585655486353
9026000,-72.3414137035195
9028000,-70.7330545898427
9030000,-70.6794050448762
9032000,-72.9290780488987
9034000,-69.6142287100455
9036000,-69.7854190768349
9038000,-67.8198751188562
9040000,-69.816131554457
9042000,-70.2770994033049
9044000,-70.2557955788666
9046000,-68.2443352097193
9048000,-69.6296323526872
9050000,-70.3935955704099
9052000,-68.6254730501221
9054000,-69.059649118117
9056000,-66.8575199698707
9058000,-67.8440876989531
9060000,-70.3260698639354
9062000,-69.0272750557847
9064000,-70.7531337357182
9066000,-70.4176970734164
9068000,-71.6838961146407
9070000,-69.6408717124316
9072000,-70.2688372659204
9074000,-69.7516761780323
9076000,-69.8402413457745
9078000,-71.0001419214164
9080000,-71.9182555351215
9082000,-71.1447333602887
9084000,-70.6255139308447
9086000,-71.1214937150883
9088000,-71.6566949777872
9090000,-70.0024914888032
9092000,-71.73295903282
9094000,-71.6688771720004
9096000,-71.9151375775439
9098000,-69.3204409910524
9100000,-71.1657796475806
9102000,-69.1256342503844
9104000,-71.0328411303799
9106000,-71.1649332851694
9108000,-72.4774743814072
9110000,-71.5888694634213
9112000,-71.8773189041106
9114000,-70.2699496777578
9116000,-70.344130007122
9118000,-72.7429055328038
9120000,-68.4821770693667
9122000,-71.4595884703849
9124000,-70.8155934973044
9126000,-73.577782828885
9128000,-69.9234375645956
9130000,-69.8077679173425
9132000,-68.371655936688
9134000,-69.5127756698085
9136000,-69.0631444932919
9138000,-70.1650013760156
9140000,-69.2420863937964
9142000,-68.3586821755775
9144000,-70.4247425651151
9146000,-72.1199715565449
9148000,-70.9445177908409
9150000,-70.4945060733923
9152000,-72.2748119493551
9154000,-71.8414440309722
9156000,-69.5233407468803
9158000,-70.8981313411964
9160000,-67.4648483082253
9162000,-67.3367232000883
9164000,-66.9978825863595
9166000,-68.8010712897811
9168000,-67.9124391171095
9170000,-69.4194835360278
9172000,-69.1460361028261
9174000,-70.1636677485194
9176000,-69.7656180808742
9178000,-74.2556748951039
9180000,-73.2368937229214
9182000,-73.0278396413223
9184000,-72.7364449058616
9186000,-69.8228818712619
9188000,-69.8250908003993
9190000,-69.1075014060919
9192000,-69.0041949378181
9194000,-71.4662996602894
9196000,-71.9169811814276
9198000,-71.4272368925961
9200000,-71.1053181140461
9202000,-72.7851402644859
9204000,-69.2034327795718
9206000,-72.2477866618345
9208000,-73.3635152407874
9210000,-72.7072940910479
9212000,-72.8717413445178
9214000,-72.0874064051646
9216000,-71.2951949797007
9218000,-72.1750114571357
9220000,-70.6578799198342
9222000,-72.4687219120498
9224000,-72.4124148073121
9226000,-72.2256425509331
9228000,-68.3864953674961
9230000,-68.9753299427439
9232000,-66.6155678224688
9234000,-64.6233911162537
9236000,-66.1515386495273
9238000,-66.9848028364205
9240000,-66.8307682198533
9242000,-69.0014172687112
9244000,-69.9116332339688
9246000,-71.7004958254354
9248000,-71.0721490389984
9250000,-70.029341762623
9252000,-69.7341514168578
9254000,-70.5486814861341
9256000,-67.3078072503993
9258000,-67.5424589752295
9260000,-68.6997415265559
9262000,-66.5682708918353
9264000,-69.7583173904
9266000,-69.720747329037
9268000,-70.1918637880081
9270000,-71.3589473675309
9272000,-70.9228598869456
9274000,-70.4694901292593
9276000,-69.8183722618315
9278000,-70.4671904228399
9280000,-71.0194922783019
9282000,-70.1177141200206
9284000,-71.5494128962662
9286000,-72.1811436455923
9288000,-68.8761290248975
9290000,-70.8829260917493
9292000,-71.2617962772894
9294000,-71.4176666908144
9296000,-73.078414603132
9298000,-70.6330086609028
9300000,-71.1807876748144
9302000,-72.1014116141949
9304000,-71.1617411349141
9306000,-70.1098161339387
9308000,-70.9360268251127
9310000,-68.4610872542021
9312000,-70.9225500008895
9314000,-70.0354125889621
9316000,-70.0297263905889
9318000,-72.7047408064502
9320000,-71.6639079371005
9322000,-71.0714722391547
9324000,-69.2652755138209
9326000,-69.8784856937327
9328000,-68.0317133258009
9330000,-66.8660245290737
9332000,-66.7142877206339
9334000,-65.076205193543
9336000,-65.3026362484158
9338000,-65.5269121388386
9340000,-64.689526821703
9342000,-67.0384147340935
9344000,-69.152404068805
9346000,-69.8813300507524
9348000,-73.2158588187299
9350000,-72.9227754412223
9352000,-70.8028361999202
9354000,-70.701893833003
9356000,-70.3071305675297
9358000,-69.2967755086318
9360000,-72.0076130046298
9362000,-71.1628279345148
9364000,-69.8514096974565
9366000,-70.9570436808457
9368000,-72.4983061128245
9370000,-70.9787727914082
9372000,-72.2628695498429
9374000,-73.0647348436507
9376000,-71.0627970525341
9378000,-69.5188733944782
9380000,-67.8121748309603
9382000,-65.5827230974402
