Trace
Swept SA
A.12.13,N9010A
513 B25 DP2 RTL ,01
Segment,0
Number of Points,1001
Sweep Time,0.11
Start Frequency,9000000
Stop Frequency,11000000
Average Count,0
Average Type,LogPower(Video)
RBW,9100
RBW Filter,Gaussian
RBW Filter BW,3dB
VBW,9100
Sweep Type,Swept
X Axis Scale,Lin
PreAmp State,Off
PreAmp Band,Low
Trigger Source,Ext2
Trigger Level,1.2
Trigger Slope,Positive
Trigger Delay,0
Phase Noise Optimization,Narrow
Swept If Gain,Low
FFT If Gain,Autorange
RF Coupling,AC
FFT Width,411900
Ext Ref,10000000
Input,RF
RF Calibrator,Off
Attenuation,10
Ref Level Offset,0
External Gain,0
Trace Type,Average
Detector,Sample
Trace Math,Off
Trace Math Oper1,Trace5
Trace Math Oper2,Trace6
Trace Math Offset,0
Trace Name,Trace1
X Axis Units,Hz
Y Axis Units,dBm
DATA
9000000,-73.0094857874427
9002000,-72.1609443870963
9004000,-72.8682558811359
9006000,-70.5009413549898
9008000,-71.7711019995148
9010000,-75.7819141795034
9012000,-73.2214154717229
9014000,-71.1706502821293
9016000,-73.4105645086631
9018000,-72.9713317959016
9020000,-71.4855853713701
9022000,-72.8803965422843
9024000,-73.8433192622499
9026000,-71.5184051489967
9028000,-72.0053977842593
9030000,-71.475957363795
9032000,-73.6397041230792
9034000,-72.7560898545052
9036000,-71.5065457877196
9038000,-71.1483944360898
9040000,-71.9084320103211
9042000,-72.7439626876684
9044000,-73.2919482707759
9046000,-73.2716152043426
9048000,-72.4640741673414
9050000,-73.5753227893398
9052000,-71.6406709522555
9054000,-72.3307977968951
9056000,-73.2551704667194
9058000,-72.7712733152244
9060000,-72.0860891086488
9062000,-71.0270956349148
9064000,-72.2066264552191
9066000,-70.6446067040738
9068000,-72.7609127466397
9070000,-71.3612799963242
9072000,-71.861415861838
9074000,-72.091447194819
9076000,-72.2619868274363
9078000,-72.4070703910017
9080000,-71.7065385717851
9082000,-74.0296032877991
9084000,-72.0014033944287
9086000,-71.4190946681137
9088000,-72.423558236593
9090000,-72.3305481032379
9092000,-71.3070538584066
9094000,-70.3905629885765
9096000,-72.9731802121027
9098000,-72.7058138948706
9100000,-70.980607659924
9102000,-72.2363590603639
9104000,-72.2505095954412
9106000,-73.7967858856619
9108000,-71.3981527846539
9110000,-72.3374547262236
9112000,-73.1100289553023
9114000,-71.2789185784666
9116000,-71.0353772732193
9118000,-70.1972224104285
9120000,-71.4659103560604
9122000,-71.8138214584572
9124000,-71.6191989438555
9126000,-73.7815776270247
9128000,-72.5086887080967
9130000,-70.4377991751879
9132000,-71.2959015107797
9134000,-70.9831731546555
9136000,-71.8314226091273
9138000,-73.1710025937971
9140000,-72.2076663681256
9142000,-72.1892247891131
9144000,-71.9674238683558
9146000,-72.1993073429039
9148000,-71.9636492546575
9150000,-73.0661261070949
9152000,-71.4359268997771
9154000,-70.2462545789697
9156000,-71.2845524579838
9158000,-71.4369396667468
9160000,-71.3388138977675
9162000,-72.8297819143401
9164000,-70.0035050707266
9166000,-73.5864377668027
9168000,-73.2967668716511
9170000,-73.0331521048626
9172000,-72.7670179771222
9174000,-72.0447584683034
9176000,-73.0828859199263
9178000,-71.3919000615179
9180000,-72.7906793981213
9182000,-70.9120155701522
9184000,-73.2269811416845
9186000,-71.5901116766812
9188000,-72.61580536346
9190000,-71.332641601599
9192000,-73.0769976833021
9194000,-72.9793868090354
9196000,-72.9570609029616
9198000,-72.6063202854264
9200000,-72.6995586256844
9202000,-71.2583381467366
9204000,-71.3427752534447
9206000,-71.5924300538197
9208000,-72.8140349582241
9210000,-71.4193716378375
9212000,-71.1285827089556
9214000,-72.7995175922871
9216000,-72.5664702084905
9218000,-71.05116703294
9220000,-72.039075870385
9222000,-70.146217262413
9224000,-73.1144400353646
9226000,-71.4874026837011
9228000,-71.317048692046
9230000,-71.9822234956804
9232000,-70.7777612000968
9234000,-72.463799287524
9236000,-71.3336863914275
9238000,-71.9140348613099
9240000,-73.1312886387621
9242000,-71.4578553540732
9244000,-71.3595321684564
9246000,-70.1771201748008
9248000,-71.9383890797444
9250000,-70.0618983690137
9252000,-71.0156722007866
9254000,-70.8200087080918
9256000,-72.3685714683695
9258000,-73.2733868620831
9260000,-71.8450494058308
9262000,-73.208995448036
9264000,-72.7145456726452
9266000,-71.3863007208936
9268000,-72.6342031555646
9270000,-70.8483863498503
9272000,-71.9244648935737
9274000,-72.2375599133365
9276000,-74.0524431003648
9278000,-71.1877537613254
9280000,-70.9307855040831
9282000,-73.8966814161531
9284000,-71.0046538786989
9286000,-71.450915507806
9288000,-71.4605233161384
9290000,-71.2476043026232
9292000,-71.8351867043734
9294000,-72.2709273328562
9296000,-72.9493413562855
9298000,-71.5357290864752
9300000,-72.045191417945
9302000,-72.5349758129022
9304000,-71.4790673301796
9306000,-71.3744298391488
9308000,-72.7636648728642
9310000,-71.7939790735112
9312000,-71.5174136798919
9314000,-69.9815780470129
9316000,-70.7548720560837
9318000,-70.2450494807161
9320000,-70.6160604387796
9322000,-71.8715589110248
9324000,-72.3105547327112
9326000,-70.4748068150334
9328000,-69.810321977815
9330000,-70.6827268607232
9332000,-72.131751860664
9334000,-71.6729591175636
9336000,-71.4135649770645
9338000,-70.4921488736131
9340000,-68.7723312148939
9342000,-70.6470162345787
9344000,-71.60405752929
9346000,-71.1137463502783
9348000,-71.2055628427968
9350000,-71.2315778620214
9352000,-72.6112216584543
9354000,-72.5154608799955
9356000,-71.5040459658913
9358000,-72.0169882610968
9360000,-71.1958353247703
9362000,-71.8741287342032
9364000,-71.1071434128096
9366000,-70.2089814537323
9368000,-71.6497367364728
9370000,-70.3530171392246
9372000,-71.6387436963801
9374000,-73.2610428930801
9376000,-71.8641523630661
9378000,-73.9416651506762
9380000,-72.8031409874923
9382000,-70.8850171412106
