Trace
Swept SA
A.12.13,N9010A
513 B25 DP2 RTL ,01
Segment,0
Number of Points,1001
Sweep Time,0.11
Start Frequency,9000000
Stop Frequency,11000000
Average Count,0
Average Type,LogPower(Video)
RBW,9100
RBW Filter,Gaussian
RBW Filter BW,3dB
VBW,9100
Sweep Type,Swept
X Axis Scale,Lin
PreAmp State,Off
PreAmp Band,Low
Trigger Source,Ext2
Trigger Level,1.2
Trigger Slope,Positive
Trigger Delay,0
Phase Noise Optimization,Narrow
Swept If Gain,Low
FFT If Gain,Autorange
RF Coupling,AC
FFT Width,411900
Ext Ref,10000000
Input,RF
RF Calibrator,Off
Attenuation,10
Ref Level Offset,0
External Gain,0
Trace Type,Average
Detector,Sample
Trace Math,Off
Trace Math Oper1,Trace5
Trace Math Oper2,Trace6
Trace Math Offset,0
Trace Name,Trace1
X Axis Units,Hz
Y Axis Units,dBm
DATA
9000000,-73.8340036314715
9002000,-74.4609426681488
9004000,-74.3443365497645
9006000,-71.8384473382652
9008000,-72.84726336085
9010000,-73.5552995564494
9012000,-69.3207633879881
9014000,-70.3263769144096
9016000,-68.2723669802934
9018000,-68.7974502606459
9020000,-67.6929061617494
9022000,-68.9157714245082
9024000,-70.8785811112137
9026000,-69.974508162977
9028000,-70.5628933659062
9030000,-70.1731072774302
9032000,-70.9254565271482
9034000,-70.4113909095196
9036000,-69.5964874154532
9038000,-68.2902941673826
9040000,-70.898043897876
9042000,-70.9627442339511
9044000,-69.351588968322
9046000,-71.3405636492114
9048000,-70.7765891460708
9050000,-72.6067232537338
9052000,-72.6561143576543
9054000,-73.1372386524297
9056000,-74.609615740656
9058000,-73.2405515244031
9060000,-74.8761148734839
9062000,-71.0864425515895
9064000,-70.9525480754056
9066000,-73.4137313505684
9068000,-72.2750876918728
9070000,-70.5703144820872
9072000,-72.536232135802
9074000,-72.857341808018
9076000,-73.031837870133
9078000,-73.7689315380683
9080000,-74.0320639113908
9082000,-73.8869739283857
9084000,-73.9701848640794
9086000,-73.4616369705741
9088000,-71.9772148923748
9090000,-72.9177001340511
9092000,-74.3968299857707
9094000,-71.5951885864402
9096000,-72.7381684272695
9098000,-72.5660531332556
9100000,-71.0111441705234
9102000,-76.0693695990801
9104000,-73.1907358703915
9106000,-72.7928398476056
9108000,-71.4589095078522
9110000,-72.3469466424246
9112000,-72.0075499709818
9114000,-75.1533633087462
9116000,-74.8501074577131
9118000,-72.7870581949206
9120000,-73.2977829190039
9122000,-73.4415876163499
9124000,-75.4874218472223
9126000,-71.6652407938722
9128000,-74.3403986234209
9130000,-73.7923490485881
9132000,-72.3418165551633
9134000,-71.9935708672521
9136000,-72.9686604758577
9138000,-72.4872713607969
9140000,-71.4511829966224
9142000,-72.4926336113508
9144000,-73.019212298484
9146000,-72.6649072048476
9148000,-71.3692567192736
9150000,-70.9849612061127
9152000,-72.3451351292158
9154000,-71.3343254888132
9156000,-71.1261978826294
9158000,-72.4710990089662
9160000,-75.4051590182532
9162000,-73.135942440072
9164000,-72.3802863400142
9166000,-70.2888816065507
9168000,-73.9290947230682
9170000,-72.0209839850024
9172000,-70.7106341400965
9174000,-71.2982702580704
9176000,-69.8680666795487
9178000,-73.1501234636974
9180000,-72.5884190620615
9182000,-73.0857892801041
9184000,-71.0465082779286
9186000,-73.2052441350622
9188000,-73.5976434175385
9190000,-74.1499343858449
9192000,-73.6709260280287
9194000,-73.6774284552731
9196000,-73.4474266385575
9198000,-72.0789844413634
9200000,-72.6515771372375
9202000,-72.1479006463745
9204000,-73.3541717748243
9206000,-70.6540844379904
9208000,-74.1364655117387
9210000,-72.2011415211162
9212000,-73.2093319857958
9214000,-75.9883488265351
9216000,-73.3943656175703
9218000,-71.4429193690749
9220000,-72.2883361729985
9222000,-72.2908413447512
9224000,-73.3141079164917
9226000,-72.0174918601151
9228000,-71.2059885901834
9230000,-72.7071104780984
9232000,-72.4361199690794
9234000,-71.8226084177146
9236000,-70.6626807425624
9238000,-73.544568130603
9240000,-73.2985081484074
9242000,-71.2514722024184
9244000,-72.2709561296937
9246000,-70.5681844903888
9248000,-73.7056817158742
9250000,-70.6396734442386
9252000,-72.8188559602494
9254000,-72.0577581941683
9256000,-73.0886755374815
9258000,-74.2241037272734
9260000,-72.0672619787182
9262000,-71.8199561891395
9264000,-71.8152680146601
9266000,-71.0886214979109
9268000,-71.9252158057636
9270000,-72.8646695352302
9272000,-74.5509868905173
9274000,-74.5020470944191
9276000,-73.2405214627463
9278000,-72.745420736722
9280000,-74.0618815661026
9282000,-73.9655918287003
9284000,-73.9755352244523
9286000,-73.6005230824166
9288000,-73.5001405030934
9290000,-74.2080568492373
9292000,-73.4344187286351
9294000,-71.7608316203711
9296000,-75.2247835750712
9298000,-73.5778761233077
9300000,-73.69288404632
9302000,-72.8625970967558
9304000,-72.3176504044692
9306000,-73.746687177738
9308000,-71.6554632940679
9310000,-73.3645716446927
9312000,-72.405709339322
9314000,-71.7848146568524
9316000,-72.1159437402467
9318000,-71.6274623293306
9320000,-71.7248841572267
9322000,-73.2425701384433
9324000,-70.9837389236054
9326000,-72.2129628005838
9328000,-73.7694653640668
9330000,-74.0101184910051
9332000,-72.1612647121596
9334000,-73.5926310573685
9336000,-73.8102952018528
9338000,-71.7058945486231
9340000,-71.4150661325327
9342000,-71.8266496787806
9344000,-70.6278969381311
9346000,-71.8526810149825
9348000,-74.5867558994801
9350000,-73.1188838843331
9352000,-71.7730446402846
9354000,-73.0567700050288
9356000,-71.2888986811291
9358000,-72.5978845278302
9360000,-72.7126258894353
9362000,-74.4117313324486
9364000,-71.7026861298947
9366000,-72.2895482290736
9368000,-71.1131793355631
9370000,-73.7777408918088
9372000,-73.2108510974119
9374000,-73.8637732122388
9376000,-72.2114753456373
9378000,-72.175113478383
9380000,-74.8526900694207
9382000,-73.9806396811773
