f_LO,f_LO_in,f_LO_div_16,f_LO_plus_1G_div_16,P_IF-,P_IF+
120,6.666666667,7.5,7.5625,-88.36,-88.36
122.5,6.805555556,7.65625,7.71875,-87.86,-78.56
125,6.944444444,7.8125,7.875,-81.06,-67.66
127.5,7.083333333,7.96875,8.03125,-71.76,-58.56
130,7.222222222,8.125,8.1875,-66.96,-52.86
132.5,7.361111111,8.28125,8.34375,-65.06,-50.56
135,7.5,8.4375,8.5,-64.56,-48.16
137.5,7.638888889,8.59375,8.65625,-64.66,-50.86
140,7.777777778,8.75,8.8125,-66.06,-52.76
142.5,7.916666667,8.90625,8.96875,-73.36,-60.16
145,8.055555556,9.0625,9.125,-81.06,-68.76
147.5,8.194444444,9.21875,9.28125,-85.46,-77.56
150,8.333333333,9.375,9.4375,-88.36,-87.36
