f_LO,f_LO_in,f_LO_div_16,f_LO_plus_1G_div_16,P_IF-,P_IF+
120,6.666666667,7.5,7.5625,-83.16,-79.66
122.5,6.805555556,7.65625,7.71875,-75.46,-68.86
125,6.944444444,7.8125,7.875,-67.46,-58.52
127.5,7.083333333,7.96875,8.03125,-61.56,-50.46
130,7.222222222,8.125,8.1875,-61.66,-45.89
132.5,7.361111111,8.28125,8.34375,-75.56,-48.16
135,7.5,8.4375,8.5,-81.66,-46.51
137.5,7.638888889,8.59375,8.65625,-75.36,-47.56
140,7.777777778,8.75,8.8125,-68.96,-50.66
142.5,7.916666667,8.90625,8.96875,-70.66,-57.46
145,8.055555556,9.0625,9.125,-75.06,-65.06
147.5,8.194444444,9.21875,9.28125,-80.96,-72.76
150,8.333333333,9.375,9.4375,-85.06,-82.16
