Scan Address:,100,,,digital = no pin,analog=pin out,grouped = make array out of it,,,,,,
Prefix:,,,,,,,,,,,,
Channels,4,,,,,,,,,,,
Chain Size,608,,,,,,,,,,,
Chain Direction,in,,,in = to chip,out = from chip,,,,Decimal,,,
,Don't change me:,Don't change me:,,,Don't change me:,Don't change me:,,,Nominal,,,
,Register Name,Width,Bits,Wires,Signal Type,Bus-inator,Bus Width,Bus Addr,Value:,Description:,,Scan Order: <- MSB of First Register : LSB of Last Bit ->
First,,,,,,,,,,,,
303,Dummy,13,13,,,,,,0,Bias current for BB amp,,
299,IB_RFAMP_I_3,4,4,,,,,,4,Bias current for first RF amp,,
295,IB_RFAMP_Q_3,4,4,,,,,,4,Bias current for second RF amp,,
289,VB_MIXER_Q_3,6,6,,,,,,8,Bias current for I mixer buffer,,
283,VB_FC_Q_3,6,6,,,,,,8,Bias current for Q mixer buffer,,
277,VB_GC_Q_3,6,6,,,,,,8,Bias current for active balun common gate,,
271,IB_BBAMP_3,6,6,,,,,,6,Bias current ofr active balun common source,,
267,IB_RFAMP1_3,4,4,,,,,,4,Voltage for Q BB gain control,,
263,IB_RFAMP2_3,4,4,,,,,,4,Voltage for I BB gain control,,
257,VB_GC_I_3,6,6,,,,,,4,Voltage for Q BW control,,
251,VB_FC_I_3,6,6,,,,,,4,Voltge for I BW control,,
245,VB_MIXER_I_3,6,6,,,,,,4,Voltage for I mixer LO port,,
241,IB_CS_3,4,4,,,,,,4,Voltage for Q mixer LO port,,
237,IB_CG_3,4,4,,,,,,4,,,
224,Dummy,13,13,,,,,,0,,,
220,IB_RFAMP_I_2,4,4,,,,,,4,,,
216,IB_RFAMP_Q_2,4,4,,,,,,4,,,
210,VB_MIXER_Q_2,6,6,,,,,,8,,,
204,VB_FC_Q_2,6,6,,,,,,8,,,
198,VB_GC_Q_2,6,6,,,,,,8,,,
192,IB_BBAMP_2,6,6,,,,,,6,,,
188,IB_RFAMP1_2,4,4,,,,,,4,,,
184,IB_RFAMP2_2,4,4,,,,,,4,,,
178,VB_GC_I_2,6,6,,,,,,4,,,
172,VB_FC_I_2,6,6,,,,,,4,,,
166,VB_MIXER_I_2,6,6,,,,,,4,,,
162,IB_CS_2,4,4,,,,,,4,,,
158,IB_CG_2,4,4,,,,,,4,,,
145,Dummy,13,13,,,,,,0,,,
141,IB_RFAMP_I_1,4,4,,,,,,4,,,
137,IB_RFAMP_Q_1,4,4,,,,,,4,,,
131,VB_MIXER_Q_1,6,6,,,,,,8,,,
125,VB_FC_Q_1,6,6,,,,,,8,,,
119,VB_GC_Q_1,6,6,,,,,,8,,,
113,IB_BBAMP_1,6,6,,,,,,6,,,
109,IB_RFAMP1_1,4,4,,,,,,4,,,
105,IB_RFAMP2_1,4,4,,,,,,4,,,
99,VB_GC_I_1,6,6,,,,,,4,,,
93,VB_FC_I_1,6,6,,,,,,4,,,
87,VB_MIXER_I_1,6,6,,,,,,4,,,
83,IB_CS_1,4,4,,,,,,4,,,
79,IB_CG_1,4,4,,,,,,4,,,
66,Dummy,13,13,,,,,,0,,,
62,IB_RFAMP_I_0,4,4,,,,,,4,,,
58,IB_RFAMP_Q_0,4,4,,,,,,4,,,
52,VB_MIXER_Q_0,6,6,,,,,,8,,,
46,VB_FC_Q_0,6,6,,,,,,8,,,
40,VB_GC_Q_0,6,6,,,,,,8,,,
34,IB_BBAMP_0,6,6,,,,,,6,,,
30,IB_RFAMP1_0,4,4,,,,,,4,,,
26,IB_RFAMP2_0,4,4,,,,,,4,,,
20,VB_GC_I_0,6,6,,,,,,4,,,
14,VB_FC_I_0,6,6,,,,,,4,,,
8,VB_MIXER_I_0,6,6,,,,,,4,,,
4,IB_CS_0,4,4,,,,,,4,,,
0,IB_CG_0,4,4,,,,,,4,,,
