LSB_Index,MSB_Index,Domain,Signal_Name,Bit_Width,Decimal_Value,Bits,Comment
540,639,Padding,extra_padding,100,0,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,
522,539,TX,tx_padding,18,0,000000000000000000,
516,521,TX,i_bias_tx_comm_amp_s3,6,12,001100,
510,515,TX,i_bias_tx_comm_amp_s2,6,12,001100,
504,509,TX,i_bias_tx_comm_amp_s1,6,12,001100,
498,503,TX,i_bias_tx_split1_amp_s2,6,12,001100,
492,497,TX,i_bias_tx_split1_amp_s1,6,12,001100,
486,491,TX,i_bias_tx_split2_ch3_amp_s2,6,12,001100,
480,485,TX,i_bias_tx_split2_ch3_amp_s1,6,12,001100,
474,479,TX,i_bias_tx_split2_ch4_amp_s1,6,12,001100,
468,473,TX,i_bias_tx_split2_ch4_amp_s2,6,12,001100,
462,467,TX,i_bias_tx_split2_ch1_amp_s2,6,12,001100,
456,461,TX,i_bias_tx_split2_ch1_amp_s1,6,12,001100,
450,455,TX,i_bias_tx_split2_ch2_amp_s1,6,12,001100,
444,449,TX,i_bias_tx_split2_ch2_amp_s2,6,12,001100,
438,443,TX,i_bias_tx_ch4_ps,6,12,001100,
432,437,TX,i_bias_tx_ch4_amp_s3,6,10,001010,
426,431,TX,i_bias_tx_ch4_amp_s2,6,10,001010,
420,425,TX,i_bias_tx_ch4_amp_s1,6,12,001100,
417,419,TX,cntr_tx_ch4_ps_i_n,3,0,000,
414,416,TX,cntr_tx_ch4_ps_i_p,3,7,111,
411,413,TX,cntr_tx_ch4_ps_q_n,3,0,000,
408,410,TX,cntr_tx_ch4_ps_q_p,3,0,000,
402,407,TX,i_bias_tx_ch3_ps,6,12,001100,
396,401,TX,i_bias_tx_ch3_amp_s3,6,10,001010,
390,395,TX,i_bias_tx_ch3_amp_s2,6,10,001010,
384,389,TX,i_bias_tx_ch3_amp_s1,6,12,001100,
381,383,TX,cntr_tx_ch3_ps_i_n,3,0,000,
378,380,TX,cntr_tx_ch3_ps_i_p,3,7,111,
375,377,TX,cntr_tx_ch3_ps_q_n,3,0,000,
372,374,TX,cntr_tx_ch3_ps_q_p,3,0,000,
366,371,TX,i_bias_tx_ch2_ps,6,12,001100,
360,365,TX,i_bias_tx_ch2_amp_s3,6,10,001010,
354,359,TX,i_bias_tx_ch2_amp_s2,6,10,001010,
348,353,TX,i_bias_tx_ch2_amp_s1,6,12,001100,
345,347,TX,cntr_tx_ch2_ps_i_n,3,0,000,
342,344,TX,cntr_tx_ch2_ps_i_p,3,7,111,
339,341,TX,cntr_tx_ch2_ps_q_n,3,0,000,
336,338,TX,cntr_tx_ch2_ps_q_p,3,0,000,
330,335,TX,i_bias_tx_ch1_ps,6,12,001100,
324,329,TX,i_bias_tx_ch1_pa_s3,6,10,001010,
318,323,TX,i_bias_tx_ch1_pa_s2,6,10,001010,
312,317,TX,i_bias_tx_ch1_pa_s1,6,12,001100,
309,311,TX,cntr_tx_ch1_ps_i_n,3,0,000,
306,308,TX,cntr_tx_ch1_ps_i_p,3,7,111,
303,305,TX,cntr_tx_ch1_ps_q_n,3,0,000,
300,302,TX,cntr_tx_ch1_ps_q_p,3,0,000,
