LSB_Index,Domain,Signal_Name,Bit_Width,Decimal_Value,Bits,Comment
591,LO_MID_TX,LO_MID_TX_IB_QH_GM_BOT_L_BOT,6,8,001000,
585,LO_MID_TX,LO_MID_TX_IB_QH_GM_BOT_L_TOP,6,8,001000,
579,LO_MID_TX,LO_MID_TX_IB_THIRD_SPLIT_GM_BOT_L,6,8,001000,
573,LO_MID_TX,LO_MID_TX_IB_DOUBLER_BOT_L,6,8,001000,
567,LO_MID_TX,LO_MID_TX_IB_DOUBLER_PREDRIVER_BOT_L,6,8,001000,
561,LO_IQ_RX,LO_IQ_RX_IB_BUF3_Q_GM_RX0,6,8,001000,
555,LO_IQ_RX,LO_IQ_RX_IB_BUF3_I_GM_RX0,6,8,001000,
549,LO_IQ_RX,LO_IQ_RX_IB_BUF2_I_GM_RX0,6,8,001000,
543,LO_IQ_RX,LO_IQ_RX_IB_BUF1_Q_GM_RX0,6,8,001000,
537,LO_IQ_RX,LO_IQ_RX_IB_BUF1_I_GM_RX0,6,8,001000,
531,LO_IQ_TX,LO_IQ_TX_IB_BUF2_Q_GM_TX0,6,8,001000,
525,LO_IQ_TX,LO_IQ_TX_IB_BUF2_I_GM_TX0,6,8,001000,
519,LO_IQ_TX,LO_IQ_TX_IB_BUF1_Q_GM_TX0,6,8,001000,
513,LO_IQ_TX,LO_IQ_TX_IB_BUF1_I_GM_TX0,6,8,001000,
512,LO_FIRST,LO_FIRST_ILO_CS_BUF_EN,1,1,1,
506,LO_FIRST,LO_FIRST_VCM_ILO_CS,6,32,100000,
505,LO_FIRST,LO_FIRST_ILO_INJ_BUF_EN,1,1,1,
499,LO_FIRST,LO_FIRST_VCM_ILO_INJ,6,4,000100,
493,LO_FIRST,LO_FIRST_IB_SECOND_SPLIT_RX_GM,6,4,000100,
487,LO_FIRST,LO_FIRST_IB_SECOND_SPLIT_TX_GM,6,4,000100,
481,LO_FIRST,LO_FIRST_IB_FIRST_SPLIT_GM,6,16,010000,
475,LO_FIRST,LO_FIRST_IB_ILO_DRIVER,6,16,010000,
474,LO_SECOND,LO_SECOND_ILO_CS_BUF_EN,1,1,1,
468,LO_SECOND,LO_SECOND_VCM_ILO_CS,6,32,100000,
467,LO_SECOND,LO_SECOND_ILO_INJ_BUF_EN,1,1,1,
461,LO_SECOND,LO_SECOND_VCM_ILO_INJ,6,4,000100,
455,LO_SECOND,LO_SECOND_IB_SECOND_SPLIT_RX_GM,6,4,000100,
449,LO_SECOND,LO_SECOND_IB_SECOND_SPLIT_TX_GM,6,4,000100,
443,LO_SECOND,LO_SECOND_IB_FIRST_SPLIT_GM,6,16,010000,
437,LO_SECOND,LO_SECOND_IB_ILO_DRIVER,6,16,010000,
431,LO_MID_RX,LO_MID_RX_IB_QH_GM_TOP_L_BOT,6,8,001000,
425,LO_MID_RX,LO_MID_RX_IB_QH_GM_TOP_L_TOP,6,8,001000,
419,LO_MID_RX,LO_MID_RX_IB_THIRD_SPLIT_GM_TOP_L,6,8,001000,
413,LO_MID_RX,LO_MID_RX_IB_DOUBLER_TOP_L,6,8,001000,
407,LO_MID_RX,LO_MID_RX_IB_BUF2_Q_GM_RX0,6,8,001000,
401,LO_MID_RX,LO_MID_RX_IB_DOUBLER_PREDRIVER_TOP_L,6,8,001000,
399,IREF,IREF,2,0,00,
393,LO_IQ_VM,LO_IQ_VM_IB_BUF2_Q_GM_TX1,6,8,001000,
387,LO_IQ_VM,LO_IQ_VM_IB_BUF2_I_GM_TX1,6,8,001000,
381,LO_IQ_VM,LO_IQ_VM_IB_BUF1_Q_GM_TX1,6,8,001000,
