LSB_Index,Domain,Signal_Name,Bit_Width,Decimal_Value,Bits,Off_Bits,Comment
591,LO_MID_TX,LO_MID_TX_IB_QH_GM_BOT_L_BOT,6,32,100000,0,
585,LO_MID_TX,LO_MID_TX_IB_QH_GM_BOT_L_TOP,6,0,000000,0,
579,LO_MID_TX,LO_MID_TX_IB_THIRD_SPLIT_GM_BOT_L,6,8,001000,0,
573,LO_MID_TX,LO_MID_TX_IB_DOUBLER_BOT_L,6,6,000110,0,
567,LO_MID_TX,LO_MID_TX_IB_DOUBLER_PREDRIVER_BOT_L,6,4,000100,0,
561,LO_IQ_RX,LO_IQ_RX_IB_BUF3_Q_GM_RX0,6,4,000100,0,
555,LO_IQ_RX,LO_IQ_RX_IB_BUF3_I_GM_RX0,6,4,000100,0,
549,LO_IQ_RX,LO_IQ_RX_IB_BUF2_Q_GM_RX0,6,4,000100,0,
543,LO_IQ_RX,LO_IQ_RX_IB_BUF2_I_GM_RX0,6,4,000100,0,
537,LO_IQ_RX,LO_IQ_RX_IB_BUF1_Q_GM_RX0,6,4,000100,0,
531,LO_IQ_RX,LO_IQ_RX_IB_BUF1_I_GM_RX0,6,4,000100,0,
525,LO_IQ_TX,LO_IQ_TX_IB_BUF2_I_GM_TX0,6,4,000100,0,
519,LO_IQ_TX,LO_IQ_TX_IB_BUF2_Q_GM_TX0,6,4,000100,0,
513,LO_IQ_TX,LO_IQ_TX_IB_BUF1_I_GM_TX0,6,4,000100,0,
507,LO_IQ_TX,LO_IQ_TX_IB_BUF1_Q_GM_TX0,6,4,000100,0,
506,LO_FIRST,LO_FIRST_ILO_CS_BUF_EN,1,1,1,0,
500,LO_FIRST,LO_FIRST_VCM_ILO_CS,6,34,100010,0,
499,LO_FIRST,LO_FIRST_ILO_INJ_BUF_EN,1,1,1,0,
493,LO_FIRST,LO_FIRST_VCM_ILO_INJ,6,12,001100,0,
487,LO_FIRST,LO_FIRST_IB_SECOND_SPLIT_RX_GM,6,4,000100,0,
481,LO_FIRST,LO_FIRST_IB_SECOND_SPLIT_TX_GM,6,4,000100,0,
475,LO_FIRST,LO_FIRST_IB_FIRST_SPLIT_GM,6,5,000101,0,
469,LO_FIRST,LO_FIRST_IB_ILO_DRIVER,6,16,010000,0,
468,LO_SECOND,LO_SECOND_ILO_CS_BUF_EN,1,1,1,0,
462,LO_SECOND,LO_SECOND_VCM_ILO_CS,6,34,100010,0,
461,LO_SECOND,LO_SECOND_ILO_INJ_BUF_EN,1,1,1,0,
455,LO_SECOND,LO_SECOND_VCM_ILO_INJ,6,12,001100,0,
449,LO_SECOND,LO_SECOND_IB_SECOND_SPLIT_RX_GM,6,4,000100,0,
443,LO_SECOND,LO_SECOND_IB_SECOND_SPLIT_TX_GM,6,4,000100,0,
437,LO_SECOND,LO_SECOND_IB_FIRST_SPLIT_GM,6,5,000101,0,
431,LO_SECOND,LO_SECOND_IB_ILO_DRIVER,6,16,010000,0,
425,LO_MID_RX,LO_MID_RX_IB_QH_GM_TOP_L_BOT,6,8,001000,0,
419,LO_MID_RX,LO_MID_RX_IB_QH_GM_TOP_L_TOP,6,8,001000,0,
413,LO_MID_RX,LO_MID_RX_IB_THIRD_SPLIT_GM_TOP_L,6,8,001000,0,
407,LO_MID_RX,LO_MID_RX_IB_DOUBLER_TOP_L,6,6,000110,0,
401,LO_MID_RX,LO_MID_RX_IB_DOUBLER_PREDRIVER_TOP_L,6,4,000100,0,
399,IREF,IREF,2,0,00,0,
393,LO_IQ_VM,LO_IQ_VM_IB_BUF2_Q_GM_TX1,6,4,000100,0,
387,LO_IQ_VM,LO_IQ_VM_IB_BUF2_I_GM_TX1,6,4,000100,0,
381,LO_IQ_VM,LO_IQ_VM_IB_BUF1_Q_GM_TX1,6,4,000100,0,
375,LO_IQ_VM,LO_IQ_VM_IB_BUF1_I_GM_TX1,6,4,000100,0,
369,VM,VM_IB_CMIN_CTRL_I,6,7,000111,1,
363,VM,VM_IB_AMP2_CTRL_I,6,22,010110,0,
357,VM,VM_IB_VCM_REF_CTRL_I,6,25,011001,0,
351,VM,VM_IB_PA_S1_CTRL_I,6,0,000000,0,
345,VM,VM_IB_PA_S2_CTRL_I,6,0,000000,0,
339,VM,VM_IB_PA_S3_CTRL_I,6,0,000000,0,
337,VM,VM_IB_CMFB_EN_IE_B,2,2,10,3,
