scan_address,148
domain,TX
channels,2
chain size,148
chain direction,in
LSB_Index,Signal_Name,Bit_Width,Decimal_Value,Bits,Comment
141,DCOC_CTRL_Q,7,64,1000000,
134,DCOC_CTRL_I,7,32,0100000,
128,IB_CMIN_CTRL_Q,6,1,000001,
122,IB_AMP2_CTRL_Q,6,29,011101,
116,IB_VCM_REF_CTRL_Q,6,25,011001,
114,IB_CMFB_EN_QE,2,1,01,
111,IDCOC_EN_QE,3,1,001,
110,CMFB_EN_QE,1,1,1,
109,DCOC_SN_QE,1,0,0,
108,DCOC_SP_QE,1,0,0,
76,TX_VOLT_CTRL_QE,32,2077787391,01111011110110001000010011111111,
44,TX_VOLT_CTRL_IE,32,4280359902,11111111001000010001101111011110,
43,DCOC_SP_IE,1,1,1,
42,DCOC_SN_IE,1,0,0,
41,CMFB_EN_IE,1,1,1,
38,IDCOC_EN_IE,3,4,100,
36,IB_CMFB_EN_IE,2,1,01,
30,IB_PA_S3_CTRL_I,6,10,001010,
24,IB_PA_S2_CTRL_I,6,10,001010,
18,IB_PA_S1_CTRL_I,6,1,000001,
12,IB_VCM_REF_CTRL_I,6,38,100110,
6,IB_AMP2_CTRL_I,6,46,101110,
0,IB_CMIN_CTRL_I,6,32,100000,
