Scan_Index,Domain,Bit_Name,Bit,Comment
147,TX,DCOC_CTRL_Q[6],0,
146,TX,DCOC_CTRL_Q[5],0,
145,TX,DCOC_CTRL_Q[4],0,
144,TX,DCOC_CTRL_Q[3],0,
143,TX,DCOC_CTRL_Q[2],0,
142,TX,DCOC_CTRL_Q[1],0,
141,TX,DCOC_CTRL_Q[0],0,
140,TX,DCOC_CTRL_I[6],0,
139,TX,DCOC_CTRL_I[5],0,
138,TX,DCOC_CTRL_I[4],0,
137,TX,DCOC_CTRL_I[3],0,
136,TX,DCOC_CTRL_I[2],0,
135,TX,DCOC_CTRL_I[1],0,
134,TX,DCOC_CTRL_I[0],0,
133,TX,IB_CMIN_CTRL_Q[5],0,
132,TX,IB_CMIN_CTRL_Q[4],0,
131,TX,IB_CMIN_CTRL_Q[3],0,
130,TX,IB_CMIN_CTRL_Q[2],1,
129,TX,IB_CMIN_CTRL_Q[1],1,
128,TX,IB_CMIN_CTRL_Q[0],1,
127,TX,IB_AMP2_CTRL_Q[5],0,
126,TX,IB_AMP2_CTRL_Q[4],1,
125,TX,IB_AMP2_CTRL_Q[3],0,
124,TX,IB_AMP2_CTRL_Q[2],1,
123,TX,IB_AMP2_CTRL_Q[1],1,
122,TX,IB_AMP2_CTRL_Q[0],0,
121,TX,IB_VCM_REF_CTRL_Q[5],0,
120,TX,IB_VCM_REF_CTRL_Q[4],1,
119,TX,IB_VCM_REF_CTRL_Q[3],0,
118,TX,IB_VCM_REF_CTRL_Q[2],0,
117,TX,IB_VCM_REF_CTRL_Q[1],0,
116,TX,IB_VCM_REF_CTRL_Q[0],1,
115,TX,IB_CMFB_EN_QE[1],1,
114,TX,IB_CMFB_EN_QE[0],0,
113,TX,IDCOC_EN_QE[2],0,
112,TX,IDCOC_EN_QE[1],0,
111,TX,IDCOC_EN_QE[0],1,
110,TX,CMFB_EN_QE[0],1,
109,TX,DCOC_SN_QE[0],0,
108,TX,DCOC_SP_QE[0],0,
107,TX,TX_VOLT_CTRL_QE[31],0,
106,TX,TX_VOLT_CTRL_QE[30],0,
105,TX,TX_VOLT_CTRL_QE[29],1,
104,TX,TX_VOLT_CTRL_QE[28],1,
103,TX,TX_VOLT_CTRL_QE[27],1,
102,TX,TX_VOLT_CTRL_QE[26],0,
101,TX,TX_VOLT_CTRL_QE[25],0,
100,TX,TX_VOLT_CTRL_QE[24],0,
99,TX,TX_VOLT_CTRL_QE[23],1,
98,TX,TX_VOLT_CTRL_QE[22],1,
97,TX,TX_VOLT_CTRL_QE[21],0,
96,TX,TX_VOLT_CTRL_QE[20],0,
95,TX,TX_VOLT_CTRL_QE[19],0,
94,TX,TX_VOLT_CTRL_QE[18],0,
93,TX,TX_VOLT_CTRL_QE[17],0,
92,TX,TX_VOLT_CTRL_QE[16],0,
91,TX,TX_VOLT_CTRL_QE[15],1,
90,TX,TX_VOLT_CTRL_QE[14],0,
89,TX,TX_VOLT_CTRL_QE[13],1,
88,TX,TX_VOLT_CTRL_QE[12],0,
87,TX,TX_VOLT_CTRL_QE[11],0,
86,TX,TX_VOLT_CTRL_QE[10],0,
85,TX,TX_VOLT_CTRL_QE[9],0,
84,TX,TX_VOLT_CTRL_QE[8],0,
83,TX,TX_VOLT_CTRL_QE[7],1,
82,TX,TX_VOLT_CTRL_QE[6],0,
81,TX,TX_VOLT_CTRL_QE[5],0,
80,TX,TX_VOLT_CTRL_QE[4],1,
79,TX,TX_VOLT_CTRL_QE[3],1,
78,TX,TX_VOLT_CTRL_QE[2],1,
77,TX,TX_VOLT_CTRL_QE[1],1,
76,TX,TX_VOLT_CTRL_QE[0],1,
75,TX,TX_VOLT_CTRL_IE[0],1,
74,TX,TX_VOLT_CTRL_IE[1],1,
73,TX,TX_VOLT_CTRL_IE[2],1,
72,TX,TX_VOLT_CTRL_IE[3],1,
71,TX,TX_VOLT_CTRL_IE[4],1,
70,TX,TX_VOLT_CTRL_IE[5],0,
69,TX,TX_VOLT_CTRL_IE[6],0,
68,TX,TX_VOLT_CTRL_IE[7],1,
67,TX,TX_VOLT_CTRL_IE[8],0,
66,TX,TX_VOLT_CTRL_IE[9],0,
65,TX,TX_VOLT_CTRL_IE[10],0,
64,TX,TX_VOLT_CTRL_IE[11],0,
63,TX,TX_VOLT_CTRL_IE[12],0,
62,TX,TX_VOLT_CTRL_IE[13],1,
61,TX,TX_VOLT_CTRL_IE[14],0,
60,TX,TX_VOLT_CTRL_IE[15],1,
59,TX,TX_VOLT_CTRL_IE[16],0,
58,TX,TX_VOLT_CTRL_IE[17],0,
57,TX,TX_VOLT_CTRL_IE[18],0,
56,TX,TX_VOLT_CTRL_IE[19],0,
55,TX,TX_VOLT_CTRL_IE[20],0,
54,TX,TX_VOLT_CTRL_IE[21],0,
53,TX,TX_VOLT_CTRL_IE[22],1,
52,TX,TX_VOLT_CTRL_IE[23],1,
51,TX,TX_VOLT_CTRL_IE[24],0,
50,TX,TX_VOLT_CTRL_IE[25],0,
49,TX,TX_VOLT_CTRL_IE[26],0,
