Scan_Index,Domain,Bit_Name,Bit,Comment
0,LO,v_dac_mixer[0],0,
1,LO,v_dac_mixer[1],0,
2,LO,v_dac_mixer[2],1,
3,LO,v_dac_mixer[3],1,
4,LO,v_dac_mixer[4],0,
5,LO,v_dac_mixer[5],0,
6,LO,v_dac_mixer_amp_en[0],1,
7,LO,i_bias_lo_amp_115g_s3[0],0,
8,LO,i_bias_lo_amp_115g_s3[1],0,
9,LO,i_bias_lo_amp_115g_s3[2],1,
10,LO,i_bias_lo_amp_115g_s3[3],1,
11,LO,i_bias_lo_amp_115g_s3[4],0,
12,LO,i_bias_lo_amp_115g_s3[5],0,
13,LO,i_bias_lo_amp_115g_s2[0],0,
14,LO,i_bias_lo_amp_115g_s2[1],0,
15,LO,i_bias_lo_amp_115g_s2[2],1,
16,LO,i_bias_lo_amp_115g_s2[3],1,
17,LO,i_bias_lo_amp_115g_s2[4],0,
18,LO,i_bias_lo_amp_115g_s2[5],0,
19,LO,i_bias_lo_amp_115g_s1[0],0,
20,LO,i_bias_lo_amp_115g_s1[1],0,
21,LO,i_bias_lo_amp_115g_s1[2],1,
22,LO,i_bias_lo_amp_115g_s1[3],1,
23,LO,i_bias_lo_amp_115g_s1[4],0,
24,LO,i_bias_lo_amp_115g_s1[5],0,
25,LO,i_bias_lo_quad_115g[0],1,
26,LO,i_bias_lo_quad_115g[1],0,
27,LO,i_bias_lo_quad_115g[2],0,
28,LO,i_bias_lo_quad_115g[3],0,
29,LO,i_bias_lo_quad_115g[4],1,
30,LO,i_bias_lo_quad_115g[5],0,
31,LO,i_bias_lo_amp_28g[0],0,
32,LO,i_bias_lo_amp_28g[1],0,
33,LO,i_bias_lo_amp_28g[2],1,
34,LO,i_bias_lo_amp_28g[3],1,
35,LO,i_bias_lo_amp_28g[4],0,
36,LO,i_bias_lo_amp_28g[5],0,
37,LO,i_bias_lo_quad_28g[0],1,
38,LO,i_bias_lo_quad_28g[1],0,
39,LO,i_bias_lo_quad_28g[2],0,
40,LO,i_bias_lo_quad_28g[3],0,
41,LO,i_bias_lo_quad_28g[4],1,
42,LO,i_bias_lo_quad_28g[5],0,
43,LO,i_bias_dac_mixer_amp[0],0,
44,LO,i_bias_dac_mixer_amp[1],1,
45,LO,i_bias_dac_mixer_amp[2],0,
46,LO,i_bias_dac_mixer_amp[3],0,
47,LO,i_bias_dac_mixer_amp[4],0,
48,LO,i_bias_dac_mixer_amp[5],0,
49,LO,lo_padding[0],0,
50,LO,lo_padding[1],0,
51,LO,lo_padding[2],0,
52,LO,lo_padding[3],0,
53,LO,lo_padding[4],0,
54,LO,lo_padding[5],0,
55,LO,lo_padding[6],0,
56,LO,lo_padding[7],0,
57,LO,lo_padding[8],0,
58,LO,lo_padding[9],0,
59,LO,lo_padding[10],0,
60,RX,cntr_rx_ch1_ps_q_p[0],0,
61,RX,cntr_rx_ch1_ps_q_p[1],0,
62,RX,cntr_rx_ch1_ps_q_p[2],0,
63,RX,cntr_rx_ch1_ps_q_n[0],0,
64,RX,cntr_rx_ch1_ps_q_n[1],0,
65,RX,cntr_rx_ch1_ps_q_n[2],0,
66,RX,cntr_rx_ch1_ps_i_p[0],1,
67,RX,cntr_rx_ch1_ps_i_p[1],1,
68,RX,cntr_rx_ch1_ps_i_p[2],1,
69,RX,cntr_rx_ch1_ps_i_n[0],0,
70,RX,cntr_rx_ch1_ps_i_n[1],0,
71,RX,cntr_rx_ch1_ps_i_n[2],0,
72,RX,i_bias_rx_ch1_amp_s1_cg[0],0,
73,RX,i_bias_rx_ch1_amp_s1_cg[1],0,
74,RX,i_bias_rx_ch1_amp_s1_cg[2],0,
75,RX,i_bias_rx_ch1_amp_s1_cg[3],1,
76,RX,i_bias_rx_ch1_amp_s1_cg[4],0,
77,RX,i_bias_rx_ch1_amp_s1_cg[5],0,
78,RX,i_bias_rx_ch1_amp_s1_cs[0],0,
79,RX,i_bias_rx_ch1_amp_s1_cs[1],0,
80,RX,i_bias_rx_ch1_amp_s1_cs[2],0,
81,RX,i_bias_rx_ch1_amp_s1_cs[3],1,
82,RX,i_bias_rx_ch1_amp_s1_cs[4],0,
83,RX,i_bias_rx_ch1_amp_s1_cs[5],0,
84,RX,i_bias_rx_ch1_amp_s2[0],0,
85,RX,i_bias_rx_ch1_amp_s2[1],0,
86,RX,i_bias_rx_ch1_amp_s2[2],1,
87,RX,i_bias_rx_ch1_amp_s2[3],1,
88,RX,i_bias_rx_ch1_amp_s2[4],0,
89,RX,i_bias_rx_ch1_amp_s2[5],0,
90,RX,i_bias_rx_ch1_amp_s3[0],0,
91,RX,i_bias_rx_ch1_amp_s3[1],0,
92,RX,i_bias_rx_ch1_amp_s3[2],1,
93,RX,i_bias_rx_ch1_amp_s3[3],1,
94,RX,i_bias_rx_ch1_amp_s3[4],0,
95,RX,i_bias_rx_ch1_amp_s3[5],0,
96,RX,i_bias_rx_ch1_amp_s4[0],0,
97,RX,i_bias_rx_ch1_amp_s4[1],0,
98,RX,i_bias_rx_ch1_amp_s4[2],1,
99,RX,i_bias_rx_ch1_amp_s4[3],1,
100,RX,i_bias_rx_ch1_amp_s4[4],0,
101,RX,i_bias_rx_ch1_amp_s4[5],0,
102,RX,i_bias_rx_ch1_ps[0],0,
103,RX,i_bias_rx_ch1_ps[1],0,
104,RX,i_bias_rx_ch1_ps[2],1,
105,RX,i_bias_rx_ch1_ps[3],1,
106,RX,i_bias_rx_ch1_ps[4],0,
107,RX,i_bias_rx_ch1_ps[5],0,
108,RX,cntr_rx_ch2_ps_q_p[0],0,
109,RX,cntr_rx_ch2_ps_q_p[1],0,
110,RX,cntr_rx_ch2_ps_q_p[2],0,
111,RX,cntr_rx_ch2_ps_q_n[0],0,
112,RX,cntr_rx_ch2_ps_q_n[1],0,
113,RX,cntr_rx_ch2_ps_q_n[2],0,
114,RX,cntr_rx_ch2_ps_i_p[0],1,
115,RX,cntr_rx_ch2_ps_i_p[1],1,
116,RX,cntr_rx_ch2_ps_i_p[2],1,
117,RX,cntr_rx_ch2_ps_i_n[0],0,
118,RX,cntr_rx_ch2_ps_i_n[1],0,
119,RX,cntr_rx_ch2_ps_i_n[2],0,
120,RX,i_bias_rx_ch2_amp_s1_cg[0],0,
121,RX,i_bias_rx_ch2_amp_s1_cg[1],0,
122,RX,i_bias_rx_ch2_amp_s1_cg[2],0,
123,RX,i_bias_rx_ch2_amp_s1_cg[3],1,
124,RX,i_bias_rx_ch2_amp_s1_cg[4],0,
125,RX,i_bias_rx_ch2_amp_s1_cg[5],0,
126,RX,i_bias_rx_ch2_amp_s1_cs[0],0,
127,RX,i_bias_rx_ch2_amp_s1_cs[1],0,
128,RX,i_bias_rx_ch2_amp_s1_cs[2],0,
129,RX,i_bias_rx_ch2_amp_s1_cs[3],1,
130,RX,i_bias_rx_ch2_amp_s1_cs[4],0,
131,RX,i_bias_rx_ch2_amp_s1_cs[5],0,
132,RX,i_bias_rx_ch2_amp_s2[0],0,
133,RX,i_bias_rx_ch2_amp_s2[1],0,
134,RX,i_bias_rx_ch2_amp_s2[2],1,
135,RX,i_bias_rx_ch2_amp_s2[3],1,
136,RX,i_bias_rx_ch2_amp_s2[4],0,
137,RX,i_bias_rx_ch2_amp_s2[5],0,
138,RX,i_bias_rx_ch2_amp_s3[0],0,
139,RX,i_bias_rx_ch2_amp_s3[1],0,
140,RX,i_bias_rx_ch2_amp_s3[2],1,
141,RX,i_bias_rx_ch2_amp_s3[3],1,
142,RX,i_bias_rx_ch2_amp_s3[4],0,
143,RX,i_bias_rx_ch2_amp_s3[5],0,
144,RX,i_bias_rx_ch2_amp_s4[0],0,
145,RX,i_bias_rx_ch2_amp_s4[1],0,
146,RX,i_bias_rx_ch2_amp_s4[2],1,
147,RX,i_bias_rx_ch2_amp_s4[3],1,
148,RX,i_bias_rx_ch2_amp_s4[4],0,
149,RX,i_bias_rx_ch2_amp_s4[5],0,
150,RX,i_bias_rx_ch2_ps[0],0,
151,RX,i_bias_rx_ch2_ps[1],0,
152,RX,i_bias_rx_ch2_ps[2],1,
153,RX,i_bias_rx_ch2_ps[3],1,
154,RX,i_bias_rx_ch2_ps[4],0,
155,RX,i_bias_rx_ch2_ps[5],0,
156,RX,cntr_rx_ch3_ps_q_p[0],0,
157,RX,cntr_rx_ch3_ps_q_p[1],0,
158,RX,cntr_rx_ch3_ps_q_p[2],0,
159,RX,cntr_rx_ch3_ps_q_n[0],0,
160,RX,cntr_rx_ch3_ps_q_n[1],0,
161,RX,cntr_rx_ch3_ps_q_n[2],0,
162,RX,cntr_rx_ch3_ps_i_p[0],1,
163,RX,cntr_rx_ch3_ps_i_p[1],1,
164,RX,cntr_rx_ch3_ps_i_p[2],1,
