"Freq [GHz]","Phi [deg]","Theta [deg]","dB(GainTotal) []"
140,0,-180,-9.54760185698129
140,0,-178,-10.8409646641736
140,0,-176,-14.7153197304855
140,0,-174,-19.8010902873731
140,0,-172,-15.5989981811539
140,0,-170,-12.3432085499468
140,0,-168,-11.7363702462972
140,0,-166,-13.3007645740101
140,0,-164,-16.5689110854479
140,0,-162,-17.0812151072975
140,0,-160,-13.7909769935383
140,0,-158,-11.6630872734763
140,0,-156,-11.116666281245
140,0,-154,-11.8987781020235
140,0,-152,-13.5970985536053
140,0,-150,-14.5252299868057
140,0,-148,-12.8575880659566
140,0,-146,-10.5840281997734
140,0,-144,-9.16520595501675
140,0,-142,-8.74758360526276
140,0,-140,-9.10976835756893
140,0,-138,-9.68558251557764
140,0,-136,-9.60777446624995
140,0,-134,-8.68145690087832
140,0,-132,-7.5958166021646
140,0,-130,-6.85374548461482
140,0,-128,-6.54946404171935
140,0,-126,-6.57510815620937
140,0,-124,-6.72296329544525
140,0,-122,-6.73218895130181
140,0,-120,-6.39422754564947
140,0,-118,-5.69710074738133
140,0,-116,-4.81665321948503
140,0,-114,-3.95659744276298
140,0,-112,-3.24384479074013
140,0,-110,-2.72428359298818
140,0,-108,-2.39113317092517
140,0,-106,-2.20840163456893
140,0,-104,-2.12496588245822
140,0,-102,-2.08353225027984
140,0,-100,-2.02840873175307
140,0,-98,-1.91348295931696
140,0,-96,-1.70877692816552
140,0,-94,-1.40251887172421
140,0,-92,-0.997605952681388
140,0,-90,-0.50499651306106
140,0,-88,0.0617736742486275
140,0,-86,0.688317011693295
140,0,-84,1.35760155797302
140,0,-82,2.04701762763537
140,0,-80,2.72715562901747
140,0,-78,3.36393802829559
140,0,-76,3.923848422964
140,0,-74,4.38086949144677
140,0,-72,4.72380888723815
140,0,-70,4.96282403456816
140,0,-68,5.13252861217526
140,0,-66,5.28603676288283
140,0,-64,5.47439985967502
140,0,-62,5.71720296283022
140,0,-60,5.98648775988608
140,0,-58,6.2204057665334
140,0,-56,6.35450159759998
140,0,-54,6.34689954350034
140,0,-52,6.18775595701783
140,0,-50,5.89645213388696
140,0,-48,5.51244965961309
140,0,-46,5.08540497659348
140,0,-44,4.67023509117565
140,0,-42,4.32857748536953
140,0,-40,4.12849435963928
140,0,-38,4.13028622211611
140,0,-36,4.35924400101818
140,0,-34,4.7857716788185
140,0,-32,5.33181297009607
140,0,-30,5.89842961173016
140,0,-28,6.39466865336127
140,0,-26,6.75527582097265
140,0,-24,6.94758005062815
140,0,-22,6.97298115134714
140,0,-20,6.86604568139123
140,0,-18,6.68839275392481
140,0,-16,6.51065651136025
140,0,-14,6.38252583655056
140,0,-12,6.30904598043344
140,0,-10,6.25584646281108
140,0,-8,6.17934992174733
140,0,-6,6.05546538597001
140,0,-4,5.89023607809674
140,0,-2,5.71612243816261
140,0,0,5.58435194763016
140,0,2,5.55396263943992
140,0,4,5.66540574311046
140,0,6,5.90176141138035
140,0,8,6.1765961710813
140,0,10,6.37147784008586
140,0,12,6.38845232032149
140,0,14,6.17958639272111
140,0,16,5.75284145756114
140,0,18,5.16837147836408
140,0,20,4.53169814735722
140,0,22,3.97853960697463
140,0,24,3.6381677952879
140,0,26,3.57451891570689
140,0,28,3.74589383834024
140,0,30,4.03013540782463
140,0,32,4.29152303938248
